R,mexican
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,3
9,4
10,9
11,2
12,9
13,2
14,3
15,4
16,3
17,3
18,3
19,3
20,2
21,2
22,3
23,2
24,2
25,2
26,9
27,3
28,5
29,3
30,3
31,2
32,4
33,9
34,2
35,2
36,9
37,3
38,2
39,3
40,3
41,2
42,2
43,5
44,5
45,4
46,3
47,4
48,9
49,2
50,3
51,9
52,4
53,3
54,3
55,3
56,2
57,2
58,9
59,2
60,2
61,2
62,2
63,5
64,3
65,4
66,4
67,2
68,3
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,9
77,3
78,2
79,3
80,2
81,2
82,2
83,3
84,9
85,2
86,3
87,4
88,9
89,9
90,3
91,4
92,9
93,9
94,3
95,5
96,2
97,3
98,4
99,3
100,4
101,4
102,4
103,5
104,3
105,2
106,2
107,2
108,3
109,2
110,2
111,2
112,2
113,5
114,3
115,3
116,4
117,5
118,3
119,5
120,3
121,2
122,9
123,3
124,5
125,9
126,3
127,3
128,3
129,3
130,4
131,9
132,9
133,3
134,4
135,9
136,2
137,2
138,2
139,5
140,2
141,9
142,2
143,3
144,2
145,2
146,9
147,9
148,9
149,4
150,5
151,2
152,5
153,5
154,2
155,4
156,3
157,4
158,3
159,2
160,2
161,4
162,4
163,2
164,4
165,5
166,9
167,9
168,4
169,2
170,4
171,5
172,9
173,3
174,5
175,5
176,4
177,2
178,3
179,2
180,2
181,2
182,3
183,2
184,3
185,9
186,9
187,4
188,9
189,2
190,2
191,4
192,5
193,3
194,2
195,3
196,3
197,2
198,2
199,3
200,3
201,3
202,2
203,3
204,3
205,4
206,9
207,9
208,4
209,3
210,3
211,3
212,2
213,9
214,9
215,5
216,9
217,2
218,5
219,2
220,9
221,5
222,3
223,2
224,3
225,4
226,2
227,4
228,3
229,2
230,4
231,5
232,3
233,9
234,5
235,3
236,9
237,2
238,2
239,4
240,2
241,5
242,4
243,2
244,4
245,3
246,3
247,9
248,3
249,3
250,5
251,9
252,5
253,3
254,4
255,2
256,3
257,4
258,9
259,2
260,2
261,2
262,2
263,2
264,2
265,4
266,3
267,9
268,2
