R,indian
1,9
2,5
3,4
4,3
5,3
6,3
7,4
8,2
9,9
10,2
11,4
12,9
13,2
14,3
15,4
16,4
17,9
18,9
19,3
20,2
21,4
22,2
23,2
24,4
25,2
26,9
27,3
28,5
29,3
30,3
31,3
32,4
33,3
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,1
44,2
45,2
46,2
47,3
48,2
49,3
50,9
51,2
52,4
53,4
54,3
55,3
56,2
57,3
58,9
59,5
60,3
61,3
62,5
63,2
64,3
65,9
66,4
67,4
68,9
69,5
70,9
71,9
72,9
73,3
74,2
75,2
76,9
77,4
78,3
79,5
80,9
81,9
82,5
83,5
84,5
85,2
86,4
87,5
88,9
89,2
90,3
91,3
92,4
93,9
94,4
95,5
96,9
97,3
98,4
99,9
100,9
101,3
102,3
103,4
104,3
105,9
106,3
107,2
108,2
109,3
110,9
111,3
112,9
113,9
114,4
115,3
116,9
117,5
118,5
119,5
120,4
121,3
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,4
131,5
132,5
133,5
134,4
135,5
136,4
137,4
138,4
139,4
140,4
141,4
142,3
143,2
144,3
145,9
146,3
147,5
148,4
149,2
150,5
151,2
152,9
153,9
154,3
155,5
156,2
157,4
158,4
159,3
160,4
161,3
162,3
163,5
164,3
165,3
166,5
167,5
168,5
169,4
170,4
171,5
172,9
173,4
174,9
175,5
176,3
177,3
178,3
179,2
180,2
181,2
182,9
183,2
184,9
185,5
186,9
187,3
188,5
189,9
190,4
191,9
192,5
193,4
194,3
195,9
196,3
197,9
198,4
199,5
200,9
201,3
202,9
203,2
204,5
205,9
206,5
207,5
208,3
209,9
210,2
211,4
212,4
213,3
214,3
215,4
216,9
217,3
218,5
219,2
220,2
221,5
222,2
223,9
224,3
225,9
226,3
227,4
228,9
229,9
230,5
231,4
232,5
233,5
234,9
235,2
236,2
237,9
238,5
239,4
240,5
241,5
242,5
243,3
244,5
245,4
246,3
247,5
248,3
249,3
250,5
251,9
252,5
253,5
254,5
255,3
256,4
257,5
258,5
259,5
260,5
261,3
262,5
263,5
264,9
265,2
266,2
267,2
268,2
269,4
270,3
271,4
272,3
273,5
274,5
275,5
276,5
277,4
278,5
279,5
280,5
281,4
282,5
283,5
284,5
285,4
286,5
287,4
288,5
289,5
290,5
291,5
292,4
293,5
294,5
295,9
296,3
297,9
298,9
299,9
300,2
301,3
302,3
303,4
304,2
305,5
306,9
307,3
308,2
309,5
310,4
311,3
312,4
313,4
314,2
315,5
316,9
317,3
318,2
319,2
320,3
321,4
322,5
323,2
324,9
325,9
326,3
327,4
328,2
329,5
330,5
331,9
332,3
333,9
334,3
335,2
336,2
337,2
338,3
339,4
340,9
341,2
342,2
343,2
344,9
345,3
346,5
347,2
348,2
349,3
350,5
351,5
352,9
353,9
354,9
355,5
356,4
357,5
358,5
359,4
360,3
361,4
362,5
363,5
364,4
365,5
366,4
367,2
368,9
369,2
370,2
371,4
372,2
373,3
374,2
375,5
376,9
377,5
378,9
379,5
380,5
381,2
382,3
383,5
384,4
385,3
386,2
387,3
388,5
389,3
390,4
391,3
392,5
393,5
394,5
395,5
396,4
397,4
398,4
399,4
400,9
401,4
402,2
403,5
404,5
405,9
406,4
407,2
408,2
409,2
410,2
411,4
412,4
413,2
414,2
415,2
416,2
417,5
418,5
419,3
420,5
421,4
422,4
423,9
424,5
425,5
426,2
427,3
428,3
429,5
430,3
431,5
432,4
433,9
434,3
435,3
436,4
437,5
438,5
439,5
440,4
441,9
442,3
443,5
444,5
445,4
446,4
447,2
448,2
449,2
450,5
451,3
452,3
453,3
454,4
455,4
456,4
457,2
458,2
459,9
460,5
461,5
462,4
463,3
464,4
465,5
466,3
467,9
468,4
469,2
470,4
471,3
472,4
473,3
474,4
475,3
476,4
477,2
478,4
479,2
480,5
481,4
482,3
483,4
484,4
485,9
486,5
487,3
488,5
489,9
490,3
491,9
492,2
493,4
494,4
495,4
496,3
497,5
498,9
499,5
500,2
