R,vietnamese
1,2
2,5
3,5
4,3
5,3
6,3
7,3
8,5
9,5
10,9
11,3
12,9
13,9
14,3
15,5
16,9
17,5
18,5
19,9
20,3
21,2
22,3
23,9
24,9
25,2
26,2
27,9
28,9
29,3
30,3
31,3
32,2
33,9
34,9
35,9
36,3
37,9
38,4
39,5
40,3
41,9
42,3
43,5
44,5
45,5
46,9
47,2
48,2
49,4
50,9
51,3
52,9
53,9
54,9
55,2
56,2
57,3
58,5
59,3
60,2
61,3
62,5
63,5
64,9
65,5
66,5
67,2
68,2
69,5
70,5
71,5
72,2
73,2
74,3
75,5
76,3
77,9
78,3
79,5
80,5
81,5
82,5
83,5
84,5
85,2
86,9
87,3
88,3
89,2
90,5
91,3
92,2
93,2
94,2
95,3
96,9
97,3
98,3
99,5
100,9
101,3
102,9
103,5
104,3
105,5
106,3
107,2
108,3
109,9
110,9
111,2
112,2
113,5
114,9
115,9
116,9
117,5
118,5
119,5
120,5
121,9
122,3
123,3
124,5
125,5
126,2
127,9
128,9
129,5
130,9
131,5
132,5
133,5
134,2
135,2
136,3
137,9
138,9
139,2
140,2
141,2
142,2
143,3
144,3
145,2
146,2
147,2
148,2
149,2
150,1
151,3
152,2
153,2
154,3
155,3
156,5
157,5
158,3
159,3
160,9
161,2
162,3
163,5
164,5
165,5
166,5
167,9
168,5
169,5
170,9
171,5
172,3
173,9
174,2
175,2
176,2
177,3
178,2
179,9
180,9
181,3
182,3
183,3
184,9
185,9
186,4
187,9
188,5
189,3
190,9
191,3
192,3
193,3
194,2
195,2
196,2
197,4
198,9
199,5
200,9
201,3
202,3
203,9
204,9
205,4
206,5
207,5
208,2
209,9
210,9
211,2
212,5
213,2
214,3
215,2
216,2
217,2
218,2
219,5
220,3
221,2
222,3
223,3
224,3
225,4
226,9
227,9
228,4
229,3
230,5
231,5
232,5
233,5
234,2
235,9
236,2
237,5
238,5
239,5
240,5
241,5
242,3
243,3
244,5
245,3
246,9
247,5
248,2
249,3
250,5
251,3
252,5
253,5
254,5
255,3
256,3
257,5
258,9
259,5
260,5
261,5
262,5
263,2
264,5
265,5
266,4
267,3
268,2
269,3
270,9
271,2
272,9
273,3
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,2
286,9
287,2
288,2
289,9
290,2
291,2
292,5
293,5
294,5
295,9
296,3
297,5
298,2
299,4
300,9
301,4
302,3
303,9
304,9
305,5
306,9
307,9
308,9
309,5
310,3
311,9
312,5
313,9
314,5
315,5
316,5
317,9
318,5
319,5
320,3
321,5
322,5
323,9
324,5
325,9
326,5
327,2
328,3
329,2
330,3
331,2
332,3
333,5
334,3
335,5
336,9
337,3
338,3
339,3
340,5
341,3
342,2
343,9
344,5
345,2
346,5
347,3
348,9
349,2
350,9
351,2
352,2
353,9
354,9
355,5
356,5
357,5
358,5
359,3
360,9
361,2
362,5
363,5
364,9
365,5
366,3
367,5
368,2
369,5
370,2
371,5
372,9
373,5
374,5
375,5
376,9
377,5
378,5
379,5
380,5
381,5
382,2
383,5
384,5
385,5
386,9
387,3
388,5
389,2
390,2
391,3
392,2
393,5
394,5
395,5
396,2
397,3
398,5
399,2
400,9
401,5
402,5
403,5
404,5
405,5
406,9
407,5
408,5
409,5
410,2
411,5
412,5
413,2
414,2
415,2
416,2
417,5
418,5
419,3
420,5
421,3
422,5
423,5
424,5
425,5
426,3
427,2
428,3
429,5
430,5
431,2
432,5
433,5
434,3
435,9
436,5
437,5
438,9
439,5
440,2
441,5
442,9
443,5
444,5
445,5
446,2
447,9
448,3
449,5
450,5
451,9
452,9
453,9
454,2
455,5
456,5
457,2
458,2
459,3
460,5
461,5
462,5
463,2
464,9
465,3
466,2
467,2
468,2
469,5
470,5
471,5
472,5
473,5
474,3
475,5
476,9
477,5
478,9
479,5
480,5
481,5
482,5
483,3
484,2
485,2
486,3
487,9
488,3
489,5
490,3
491,5
492,9
493,9
494,9
495,5
496,5
497,5
498,5
499,5
500,5
