R,chinese
1,3
2,5
3,4
4,3
5,3
6,9
7,3
8,4
9,4
10,3
11,3
12,4
13,4
14,9
15,4
16,3
17,4
18,5
19,9
20,2
21,9
22,2
23,9
24,3
25,3
26,2
27,4
28,5
29,3
30,3
31,3
32,3
33,2
34,9
35,9
36,3
37,3
38,4
39,5
40,2
41,4
42,2
43,4
44,5
45,5
46,4
47,2
48,2
49,4
50,9
51,2
52,3
53,9
54,9
55,3
56,3
57,9
58,4
59,3
60,2
61,3
62,5
63,5
64,3
65,3
66,9
67,3
68,2
69,5
70,4
71,4
72,2
73,9
74,9
75,5
76,4
77,4
78,3
79,4
80,3
81,4
82,5
83,5
84,5
85,2
86,2
87,9
88,2
89,2
90,3
91,3
92,2
93,2
94,2
95,1
96,3
97,2
98,2
99,4
100,3
101,3
102,9
103,9
104,3
105,5
106,3
107,9
108,4
109,9
110,4
111,9
112,2
113,5
114,9
115,3
116,4
117,5
118,4
119,5
120,4
121,9
122,5
123,3
124,5
125,5
126,2
127,9
128,9
129,4
130,9
131,5
132,4
133,5
134,2
135,9
136,3
137,2
138,9
139,2
140,2
141,2
142,9
143,2
144,2
145,2
146,2
147,2
148,2
149,9
150,3
151,2
152,3
153,2
154,5
155,5
156,4
157,5
158,2
159,2
160,3
161,2
162,2
163,9
164,3
165,9
166,5
167,9
168,5
169,4
170,9
171,2
172,2
173,3
174,2
175,2
176,2
177,2
178,3
179,4
180,9
181,9
182,2
183,9
184,3
185,2
186,4
187,4
188,3
189,3
190,3
191,2
192,2
193,2
194,2
195,2
196,2
197,9
198,4
199,5
200,3
201,2
202,9
203,4
204,9
205,4
206,5
207,5
208,2
209,3
210,4
211,2
212,3
213,2
214,3
215,4
216,3
217,9
218,5
219,4
220,9
221,2
222,3
223,2
224,3
225,4
226,4
227,4
228,3
229,9
230,4
231,5
232,5
233,5
234,2
235,3
236,2
237,3
238,5
239,5
240,5
241,5
242,5
243,2
244,9
245,9
246,4
247,3
248,3
249,3
250,5
251,5
252,5
253,5
254,5
255,9
256,9
257,9
258,9
259,5
260,9
261,3
262,5
263,4
264,4
265,9
266,4
267,9
268,9
269,2
270,3
271,2
272,4
273,2
274,9
275,9
276,9
277,5
278,5
279,5
280,5
281,4
282,5
283,4
284,4
285,3
286,3
287,2
288,2
289,3
290,2
291,2
292,4
293,5
294,5
295,5
296,3
297,5
298,9
299,9
300,9
301,3
302,2
303,4
304,9
305,5
306,3
307,4
308,9
309,3
310,2
311,5
312,4
313,9
314,4
315,5
316,9
317,3
318,5
319,5
320,3
321,5
322,5
323,5
324,5
325,3
326,5
327,9
328,9
329,3
330,2
331,2
332,9
333,2
334,3
335,4
336,9
337,4
338,9
339,3
340,4
341,2
342,2
343,4
344,5
345,2
346,5
347,9
348,3
349,2
350,9
351,3
352,2
353,4
354,9
355,3
356,5
357,5
358,5
359,3
360,9
361,2
362,5
363,5
364,9
365,5
366,3
367,5
368,2
369,4
370,2
371,2
372,4
373,5
374,5
375,5
376,3
377,5
378,4
379,5
380,4
381,5
382,3
383,5
384,5
385,5
386,9
387,3
388,5
389,9
390,9
391,4
392,5
393,9
394,5
395,9
396,9
397,9
398,5
399,3
400,9
401,5
402,9
403,5
404,5
405,5
406,9
407,5
408,5
409,5
410,3
411,5
412,3
413,3
414,3
415,5
416,4
417,5
418,5
419,9
420,3
421,3
422,5
423,4
424,9
425,5
426,9
427,2
428,3
429,5
430,4
431,3
432,9
433,5
434,2
435,4
436,4
437,5
438,5
439,5
440,9
441,5
442,3
443,5
444,5
445,5
446,5
447,9
448,4
449,4
450,5
451,3
452,3
453,4
454,2
455,9
456,4
457,2
458,2
459,4
460,5
461,9
462,3
463,2
464,3
465,3
466,2
467,2
468,2
469,9
470,5
471,9
472,9
473,9
474,5
475,3
476,4
477,5
478,9
479,9
480,3
481,9
482,5
483,2
484,2
485,2
486,2
487,5
488,2
489,4
490,9
491,9
492,3
493,9
494,3
495,2
496,5
497,5
498,5
499,5
500,4
