R,cajun_creole
1,3
2,9
3,4
4,3
5,3
6,4
7,2
8,4
9,9
10,3
11,3
12,9
13,3
14,3
15,2
16,4
17,9
18,3
19,3
20,3
21,2
22,3
23,9
24,2
25,2
26,9
27,2
28,2
29,3
30,5
31,2
32,4
33,5
34,2
35,3
36,5
37,3
38,3
39,5
40,4
41,4
42,2
43,5
44,4
45,5
46,2
47,4
48,5
49,4
50,3
51,9
52,2
53,4
54,3
55,2
56,9
57,3
58,3
59,5
60,9
61,3
62,4
63,5
64,2
65,4
66,4
67,4
68,4
69,4
70,9
71,9
72,3
73,9
74,9
75,2
76,4
77,4
78,3
79,2
80,2
81,2
82,9
83,4
84,2
85,2
86,3
87,2
88,5
89,9
90,3
91,4
92,2
93,9
94,3
95,5
96,4
97,3
98,4
99,4
100,5
101,9
102,3
103,4
104,3
105,5
106,4
107,9
108,9
109,3
110,9
111,9
112,9
113,9
114,3
115,3
116,3
117,5
118,4
119,5
120,4
121,3
122,9
123,3
124,5
125,9
126,9
127,4
128,4
129,5
130,2
131,9
132,4
133,5
134,5
135,5
136,2
137,2
138,3
139,5
140,2
141,5
142,9
143,2
144,3
145,9
146,5
147,5
148,5
149,9
150,5
151,2
152,9
153,5
154,4
155,2
156,4
157,3
158,5
159,2
160,2
161,9
162,9
163,2
164,5
165,5
166,9
167,2
168,3
169,4
170,4
171,5
172,5
173,3
174,5
175,5
176,9
177,4
178,3
179,3
180,2
181,4
182,2
183,4
184,3
185,3
186,4
187,3
188,4
189,3
190,2
191,5
192,5
193,5
194,9
195,4
196,4
197,9
198,4
199,5
200,3
201,4
202,2
203,9
204,2
205,2
206,1
207,2
208,3
209,2
210,2
211,2
212,2
213,5
214,5
215,5
216,5
217,9
218,5
219,4
220,5
221,5
222,3
223,2
224,4
225,2
226,2
227,2
228,2
229,2
230,2
231,3
232,3
233,5
234,5
235,3
236,5
237,3
238,9
239,2
240,5
241,3
242,2
243,2
244,4
245,3
246,2
247,2
248,3
249,3
250,2
251,2
252,2
253,4
254,5
255,4
256,3
257,4
258,4
259,5
260,4
261,2
262,9
263,9
264,4
265,4
266,9
267,9
268,9
269,2
270,3
271,3
272,2
273,5
274,5
275,5
276,3
277,9
278,4
279,9
280,2
281,3
282,2
283,2
284,2
285,4
286,5
287,3
288,5
289,5
290,9
291,9
292,3
293,5
294,3
295,3
296,3
297,9
298,3
299,3
300,2
301,4
302,9
303,3
304,3
305,5
306,2
307,3
308,5
309,5
310,4
311,4
312,2
313,4
314,2
315,5
316,5
317,3
318,5
319,5
320,2
321,5
322,9
323,9
324,4
325,4
326,9
327,5
328,5
329,5
330,5
331,5
332,4
333,4
334,4
335,9
336,2
337,9
338,2
339,5
340,2
341,9
342,9
343,2
344,4
345,4
346,5
347,9
348,9
349,3
350,5
351,4
352,9
353,2
354,4
355,5
356,5
357,4
358,5
359,3
360,4
361,4
362,5
363,5
364,3
365,5
366,4
367,5
368,4
369,9
370,3
371,5
372,4
373,4
374,9
375,2
376,4
377,3
378,9
379,3
380,4
381,9
382,3
383,5
384,5
385,9
386,2
387,5
388,9
389,4
390,4
391,3
392,5
393,4
394,2
395,3
396,4
397,3
398,2
399,3
400,4
401,3
402,2
403,3
404,5
405,5
406,4
407,5
408,5
409,5
410,9
411,5
412,5
413,3
414,9
415,5
416,9
417,9
418,3
419,2
420,5
421,3
422,5
423,9
424,4
425,5
426,4
427,2
428,2
429,2
430,4
431,4
432,3
433,3
434,4
435,3
436,3
437,5
438,5
439,4
440,5
441,2
442,3
443,5
444,5
445,5
446,2
447,4
448,9
449,4
450,5
451,3
452,3
453,2
454,9
455,2
456,2
457,5
458,5
459,2
460,9
461,5
462,2
463,2
464,3
465,3
466,5
467,5
468,5
469,4
470,4
471,5
472,2
473,4
474,4
475,2
476,3
477,9
478,2
479,9
480,5
481,4
482,5
483,4
484,9
485,5
486,5
487,2
488,5
489,9
490,4
491,4
492,3
493,2
494,3
495,2
496,5
497,5
498,5
499,5
500,5
