R,british
1,4
2,4
3,4
4,7
5,3
6,7
7,3
8,4
9,4
10,2
11,3
12,7
13,7
14,3
15,3
16,2
17,2
18,7
19,2
20,3
21,3
22,3
23,4
24,7
25,3
26,7
27,2
28,4
29,3
30,4
31,3
32,3
33,2
34,3
35,3
36,4
37,3
38,7
39,3
40,3
41,7
42,4
43,7
44,2
45,4
46,3
47,2
48,7
49,2
50,2
51,2
52,2
53,2
54,7
55,4
56,4
57,7
58,7
59,3
60,3
61,3
62,4
63,3
64,2
65,2
66,2
67,4
68,2
69,4
70,4
71,2
72,4
73,7
74,4
75,7
76,4
77,7
78,3
79,4
80,4
81,7
82,2
83,4
84,4
85,3
86,2
87,2
88,7
89,7
90,2
91,7
92,3
93,7
94,7
95,4
96,7
97,7
98,3
99,7
100,2
101,4
102,3
103,4
104,7
105,4
106,3
107,7
108,7
109,7
110,4
111,7
112,7
113,4
114,2
115,4
116,2
117,4
118,3
119,4
120,4
121,7
122,3
123,3
124,4
125,7
126,4
127,7
128,3
129,7
130,2
131,2
132,7
133,4
134,3
135,4
136,7
137,7
138,4
139,4
140,4
141,4
142,7
143,7
144,7
145,4
146,4
147,4
148,4
149,7
150,4
151,7
152,4
153,4
154,4
155,4
156,2
157,4
158,4
159,7
160,3
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,7
169,7
170,2
171,4
172,4
173,2
174,4
175,4
176,7
177,3
178,3
179,4
180,3
181,4
182,4
183,4
184,3
185,2
186,7
187,2
188,4
189,4
190,7
191,4
192,4
193,2
194,4
195,3
196,3
197,4
198,3
199,3
200,2
201,2
202,7
203,2
204,3
205,3
206,4
207,4
208,7
209,3
210,4
211,7
212,3
213,4
214,2
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,7
223,7
224,2
225,7
226,7
227,2
228,2
229,7
230,4
231,2
232,4
233,7
234,4
235,4
236,7
237,3
238,3
239,4
240,4
241,4
242,4
243,3
244,4
245,3
246,3
247,4
248,2
249,7
250,4
251,4
252,4
253,4
254,4
255,4
256,2
257,4
258,3
259,4
260,4
261,7
262,4
263,4
264,3
265,3
266,7
267,3
268,4
269,3
270,4
271,3
272,7
273,4
274,3
275,3
276,4
277,4
278,4
279,4
280,3
281,2
282,4
283,2
284,4
285,2
286,4
287,3
288,4
289,4
290,7
291,4
292,2
293,2
294,4
295,4
296,7
297,7
298,7
299,3
300,7
301,2
302,7
303,2
304,2
305,4
306,7
307,2
308,4
309,2
310,2
311,2
312,3
313,3
314,2
315,4
316,2
317,3
318,4
319,4
320,4
321,4
322,4
323,2
324,3
325,2
326,4
327,4
328,4
329,4
330,4
331,4
332,2
333,3
334,4
335,7
336,3
337,7
338,2
339,2
340,2
341,7
342,7
343,7
344,3
345,3
346,4
347,4
348,4
349,7
350,4
351,3
352,4
353,2
354,2
355,4
356,4
357,4
358,4
359,3
360,2
361,2
362,4
363,4
364,2
365,3
366,7
367,4
368,4
369,4
370,7
371,4
372,2
373,4
374,7
375,4
376,2
377,3
378,4
379,4
380,4
381,3
382,2
383,4
384,4
385,4
386,3
387,4
388,4
389,2
390,2
391,4
392,4
393,4
394,2
395,4
396,3
397,4
398,4
399,2
400,2
401,2
402,4
403,2
404,2
405,7
406,2
407,4
408,7
409,4
410,7
411,3
412,4
413,3
414,3
415,7
416,4
417,4
418,4
419,7
420,2
421,2
422,4
423,3
424,2
425,2
426,4
427,3
428,7
429,3
430,2
431,2
432,2
433,3
434,3
435,2
436,2
437,4
438,2
439,4
440,3
441,7
442,7
443,4
444,4
445,4
446,4
447,3
448,2
449,4
450,3
451,7
452,3
453,4
454,4
455,3
456,4
457,4
458,3
459,7
460,4
461,4
462,4
463,7
464,3
465,4
466,4
467,4
468,4
469,2
470,3
471,3
472,3
473,2
474,2
475,7
476,3
477,2
478,2
479,2
480,2
481,3
482,1
483,2
484,4
485,4
486,4
487,3
488,4
489,4
490,4
491,7
492,7
493,4
494,3
495,4
496,4
497,4
498,4
499,4
500,3
