R,japanese
1,5
2,5
3,4
4,3
5,9
6,9
7,3
8,5
9,5
10,2
11,3
12,4
13,9
14,9
15,5
16,2
17,5
18,5
19,3
20,2
21,2
22,3
23,2
24,9
25,3
26,2
27,9
28,5
29,2
30,5
31,9
32,3
33,2
34,9
35,3
36,2
37,3
38,3
39,5
40,2
41,4
42,2
43,2
44,3
45,5
46,3
47,2
48,2
49,4
50,9
51,3
52,9
53,3
54,9
55,3
56,9
57,4
58,4
59,3
60,3
61,2
62,5
63,5
64,2
65,9
66,5
67,3
68,2
69,5
70,4
71,5
72,4
73,9
74,9
75,3
76,4
77,9
78,3
79,5
80,9
81,5
82,9
83,5
84,5
85,2
86,2
87,5
88,2
89,2
90,3
91,3
92,2
93,2
94,2
95,3
96,5
97,9
98,2
99,9
100,3
101,9
102,3
103,5
104,9
105,5
106,2
107,9
108,9
109,4
110,2
111,9
112,2
113,5
114,9
115,9
116,9
117,5
118,5
119,5
120,5
121,9
122,2
123,3
124,5
125,5
126,2
127,2
128,3
129,5
130,9
131,9
132,4
133,5
134,5
135,4
136,3
137,9
138,3
139,2
140,2
141,2
142,3
143,2
144,3
145,2
146,9
147,3
148,3
149,4
150,5
151,2
152,3
153,2
154,4
155,5
156,5
157,5
158,2
159,9
160,5
161,2
162,2
163,5
164,5
165,5
166,5
167,4
168,5
169,5
170,3
171,5
172,2
173,2
174,3
175,2
176,4
177,2
178,5
179,9
180,9
181,3
182,2
183,9
184,4
185,9
186,4
187,9
188,5
189,9
190,4
191,9
192,5
193,9
194,2
195,2
196,2
197,5
198,5
199,5
200,3
201,3
202,9
203,2
204,9
205,4
206,5
207,5
208,3
209,3
210,9
211,2
212,9
213,2
214,3
215,9
216,9
217,9
218,5
219,9
220,5
221,3
222,3
223,2
224,2
225,4
226,4
227,4
228,3
229,9
230,5
231,5
232,5
233,5
234,9
235,2
236,3
237,3
238,5
239,5
240,5
241,5
242,5
243,2
244,5
245,3
246,9
247,3
248,3
249,9
250,5
251,5
252,5
253,4
254,5
255,3
256,3
257,5
258,3
259,5
260,5
261,9
262,9
263,5
264,4
265,2
266,2
267,3
268,5
269,2
270,9
271,3
272,4
273,3
274,5
275,5
276,5
277,4
278,2
279,5
280,5
281,5
282,5
283,5
284,5
285,3
286,2
287,3
288,2
289,1
290,2
291,2
292,5
293,5
294,5
295,5
296,3
297,5
298,5
299,4
300,9
301,3
302,2
303,9
304,3
305,5
306,9
307,9
308,2
309,5
310,2
311,5
312,4
313,9
314,9
315,2
316,9
317,9
318,5
319,3
320,2
321,5
322,5
323,3
324,5
325,2
326,4
327,3
328,5
329,5
330,5
331,2
332,3
333,3
334,2
335,2
336,9
337,2
338,9
339,3
340,4
341,2
342,2
343,4
344,5
345,9
346,5
347,3
348,2
349,9
350,9
351,3
352,2
353,5
354,3
355,3
356,3
357,5
358,3
359,3
360,4
361,2
362,5
363,5
364,3
365,5
366,2
367,5
368,2
369,9
370,5
371,2
372,9
373,5
374,2
375,5
376,9
377,5
378,4
379,4
380,5
381,3
382,3
383,5
384,5
385,5
386,9
387,3
388,5
389,5
390,3
391,3
392,5
393,9
394,9
395,5
396,9
397,5
398,5
399,2
400,4
401,5
402,9
403,5
404,5
405,3
406,9
407,2
408,5
409,2
410,3
411,5
412,5
413,9
414,9
415,3
416,2
417,5
418,5
419,3
420,3
421,2
422,9
423,9
424,5
425,4
426,3
427,3
428,2
429,3
430,5
431,3
432,5
433,5
434,3
435,9
436,9
437,5
438,5
439,5
440,2
441,5
442,3
443,5
444,5
445,5
446,5
447,9
448,3
449,9
450,3
451,9
452,9
453,4
454,2
455,4
456,5
457,2
458,2
459,3
460,5
461,5
462,9
463,3
464,9
465,2
466,3
467,9
468,2
469,9
470,5
471,9
472,9
473,3
474,9
475,9
476,5
477,5
478,5
479,3
480,5
481,9
482,5
483,2
484,2
485,2
486,5
487,5
488,5
489,4
490,9
491,9
492,2
493,3
494,3
495,5
496,5
497,5
498,5
499,5
500,5
