R,irish
1,3
2,4
3,4
4,7
5,2
6,3
7,7
8,4
9,4
10,2
11,2
12,2
13,3
14,7
15,2
16,2
17,4
18,7
19,2
20,7
21,7
22,3
23,4
24,7
25,7
26,3
27,2
28,4
29,7
30,4
31,7
32,3
33,4
34,3
35,7
36,4
37,3
38,4
39,4
40,3
41,3
42,4
43,4
44,7
45,4
46,2
47,2
48,3
49,2
50,2
51,7
52,2
53,2
54,7
55,4
56,4
57,3
58,3
59,4
60,7
61,7
62,4
63,4
64,2
65,2
66,2
67,4
68,4
69,4
70,4
71,2
72,4
73,3
74,3
75,3
76,3
77,3
78,7
79,4
80,4
81,4
82,7
83,7
84,7
85,3
86,7
87,2
88,4
89,3
90,2
91,3
92,7
93,3
94,3
95,4
96,7
97,4
98,3
99,3
100,7
101,4
102,7
103,7
104,3
105,3
106,7
107,4
108,4
109,3
110,3
111,4
112,4
113,7
114,2
115,7
116,2
117,4
118,7
119,4
120,2
121,2
122,3
123,7
124,4
125,4
126,3
127,4
128,3
129,7
130,2
131,7
132,3
133,4
134,4
135,4
136,3
137,3
138,3
139,4
140,3
141,4
142,3
143,3
144,4
145,4
146,4
147,4
148,3
149,3
150,4
151,4
152,4
153,4
154,4
155,4
156,2
157,2
158,3
159,4
160,7
161,4
162,4
163,4
164,2
165,4
166,4
167,4
168,3
169,3
170,7
171,4
172,4
173,2
174,4
175,4
176,3
177,1
178,2
179,3
180,7
181,4
182,7
183,4
184,7
185,4
186,3
187,2
188,4
189,3
190,3
191,7
192,4
193,2
194,2
195,3
196,2
197,3
198,7
199,7
200,2
201,2
202,3
203,2
204,2
205,2
206,4
207,4
208,3
209,7
210,7
211,4
212,3
213,4
214,2
215,4
216,4
217,3
218,4
219,4
220,4
221,4
222,4
223,7
224,2
225,4
226,3
227,2
228,2
229,3
230,4
231,4
232,4
233,3
234,4
235,4
236,3
237,7
238,7
239,4
240,4
241,4
242,2
243,2
244,2
245,7
246,2
247,2
248,2
249,3
250,4
251,4
252,4
253,3
254,4
255,7
256,7
257,4
258,2
259,4
260,4
261,4
262,4
263,4
264,7
265,7
266,4
267,4
268,4
269,3
270,4
271,3
272,7
273,4
274,7
275,4
276,4
277,7
278,4
279,4
280,7
281,2
282,4
283,4
284,4
285,4
286,4
287,3
288,4
289,4
290,4
291,7
292,2
293,4
294,4
295,4
296,3
297,3
298,3
299,3
300,7
301,2
302,7
303,2
304,7
305,4
306,7
307,3
308,4
309,2
310,7
311,7
312,2
313,3
314,2
315,4
316,2
317,7
318,4
319,4
320,4
321,4
322,3
323,2
324,2
325,2
326,2
327,4
328,4
329,4
330,4
331,4
332,7
333,7
334,4
335,4
336,7
337,4
338,7
339,4
340,2
341,3
342,4
343,4
344,7
345,4
346,4
347,3
348,4
349,4
350,4
351,4
352,4
353,2
354,7
355,4
356,4
357,2
358,7
359,2
360,2
361,2
362,4
363,4
364,2
365,4
366,4
367,4
368,4
369,4
370,7
371,4
372,2
373,4
374,7
375,3
376,7
377,3
378,3
379,4
380,4
381,4
382,7
383,4
384,4
385,4
386,3
387,4
388,4
389,7
390,7
391,7
392,2
393,7
394,7
395,2
396,2
397,4
398,4
399,7
400,2
401,2
402,7
403,2
404,4
405,7
406,7
407,4
408,4
409,4
410,3
411,4
412,4
413,2
414,7
415,4
416,3
417,7
418,4
419,7
420,4
421,2
422,4
423,4
424,7
425,7
426,4
427,4
428,4
429,7
430,2
431,4
432,7
433,7
434,3
435,7
436,2
437,4
438,2
439,4
440,3
441,3
442,7
443,4
444,4
445,4
446,4
447,4
448,7
449,3
450,4
451,3
452,7
453,3
454,3
455,2
456,3
457,4
458,4
459,2
460,4
461,7
462,2
463,3
464,7
465,4
466,4
467,4
468,4
469,2
470,2
471,4
472,2
473,4
474,2
475,7
476,7
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,4
485,4
486,4
487,2
488,4
489,4
490,4
491,4
492,7
493,4
494,2
495,4
496,2
497,4
498,4
499,4
500,2
