R,mexican
1,2
2,2
3,2
4,3
5,3
6,2
7,2
8,3
9,4
10,5
11,2
12,11
13,2
14,3
15,5
16,3
17,4
18,4
19,3
20,3
21,2
22,4
23,2
24,2
25,2
26,5
27,4
28,6
29,3
30,3
31,3
32,5
33,5
34,2
35,3
36,11
37,4
38,2
39,4
40,3
41,2
42,3
43,6
44,6
45,5
46,3
47,4
48,11
49,3
50,4
51,11
52,4
53,3
54,3
55,3
56,2
57,2
58,5
59,2
60,3
61,3
62,2
63,6
64,3
65,5
66,5
67,2
68,3
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,5
77,4
78,3
79,3
80,2
81,2
82,2
83,4
84,5
85,2
86,4
87,5
88,5
89,11
90,4
91,5
92,5
93,11
94,3
95,6
96,2
97,4
98,5
99,4
100,4
101,5
102,4
103,6
104,3
105,2
106,3
107,2
108,3
109,2
110,2
111,2
112,2
113,6
114,4
115,3
116,4
117,6
118,4
119,6
120,3
121,3
122,11
123,3
124,6
125,5
126,4
127,4
128,3
129,3
130,4
131,5
132,5
133,4
134,5
135,11
136,2
137,2
138,3
139,6
140,2
141,5
142,2
143,3
144,2
145,3
146,11
147,11
148,5
149,4
150,6
151,3
152,6
153,6
154,2
155,5
156,4
157,5
158,4
159,2
160,2
161,4
162,4
163,2
164,5
165,6
166,11
167,5
168,4
169,2
170,5
171,6
172,11
173,4
174,6
175,6
176,5
177,3
178,4
179,2
180,3
181,2
182,3
183,2
184,4
185,5
186,5
187,4
188,5
189,2
190,2
191,4
192,6
193,4
194,2
195,4
196,4
197,2
198,2
199,3
200,4
201,3
202,2
203,4
204,3
205,5
206,11
207,5
208,5
209,4
210,3
211,4
212,2
213,5
214,11
215,6
216,11
217,2
218,6
219,2
220,5
221,6
222,3
223,2
224,4
225,5
226,2
227,4
228,3
229,2
230,5
231,6
232,4
233,11
234,6
235,3
236,11
237,2
238,2
239,4
240,2
241,6
242,5
243,3
244,5
245,3
246,3
247,5
248,4
249,3
250,6
251,5
252,6
253,4
254,5
255,2
256,4
257,5
258,5
259,1
260,2
261,2
262,2
263,2
264,2
265,5
266,3
267,11
268,2
269,3
270,2
271,3
272,2
273,5
274,2
275,6
276,5
277,11
278,4
279,5
280,4
281,5
282,6
283,4
284,6
285,6
286,11
287,2
288,6
289,6
290,5
291,5
292,4
293,3
294,5
295,2
296,5
297,5
298,5
299,11
300,3
301,5
302,3
303,4
304,5
305,11
306,5
307,4
308,6
309,3
310,4
311,4
312,5
313,2
314,4
315,6
316,5
317,2
318,6
319,6
320,2
321,4
322,4
323,4
324,2
325,11
326,4
327,6
328,5
329,6
330,5
331,5
332,4
333,5
334,4
335,11
336,3
337,5
338,3
339,5
340,4
341,11
342,3
343,3
344,5
345,2
346,6
347,11
348,11
349,4
350,6
351,4
352,5
353,3
354,4
355,4
356,5
357,5
358,6
359,5
360,5
361,4
362,5
363,3
364,5
365,6
366,3
367,6
368,4
369,4
370,4
371,5
372,2
373,6
374,11
375,11
376,4
377,4
378,4
379,3
380,4
381,5
382,3
383,6
384,6
385,5
386,3
387,3
388,6
389,2
390,3
391,3
392,5
393,4
394,4
395,5
396,3
397,3
398,6
399,4
400,5
401,5
402,6
403,6
404,6
405,4
406,4
407,6
408,11
409,6
410,3
411,5
412,5
413,3
414,3
415,6
416,3
417,6
418,5
419,3
420,6
421,4
422,6
423,5
424,4
425,3
426,4
427,3
428,4
429,3
430,11
431,3
432,3
433,5
434,4
435,4
436,4
437,4
438,3
439,2
440,2
441,2
442,2
443,2
444,2
445,2
446,5
447,5
448,4
449,2
450,6
451,3
452,4
453,2
454,5
455,2
456,3
457,5
458,11
459,3
460,4
461,2
462,3
463,3
464,3
465,4
466,6
467,5
468,5
469,3
470,5
471,4
472,4
473,4
474,3
475,2
476,4
477,4
478,3
479,6
480,6
481,5
482,5
483,3
484,5
485,5
486,6
487,3
488,6
489,2
490,2
491,2
492,3
493,3
494,3
495,5
496,6
497,6
498,3
499,6
500,6
