R,moroccan
1,4
2,2
3,4
4,3
5,3
6,2
7,3
8,2
9,3
10,3
11,2
12,7
13,3
14,3
15,3
16,7
17,4
18,4
19,7
20,7
21,7
22,7
23,7
24,7
25,2
26,7
27,3
28,4
29,3
30,3
31,2
32,3
33,7
34,2
35,2
36,4
37,2
38,7
39,4
40,7
41,2
42,2
43,7
44,4
45,3
46,3
47,3
48,3
49,2
50,7
51,2
52,3
53,7
54,2
55,4
56,2
57,7
58,2
59,4
60,7
61,2
62,4
63,2
64,3
65,7
66,2
67,4
68,4
69,4
70,4
71,4
72,4
73,7
74,2
75,2
76,7
77,2
78,3
79,7
80,4
81,7
82,4
83,4
84,4
85,3
86,7
87,4
88,4
89,3
90,4
91,3
92,3
93,4
94,7
95,4
96,3
97,7
98,4
99,2
100,3
101,3
102,2
103,3
104,2
105,4
106,3
107,2
108,2
109,3
110,7
111,4
112,3
113,4
114,7
115,2
116,4
117,7
118,4
119,4
120,4
121,3
122,2
123,2
124,3
125,2
126,3
127,3
128,2
129,2
130,3
131,4
132,4
133,4
134,4
135,4
136,3
137,3
138,2
139,4
140,4
141,4
142,7
143,4
144,3
145,7
146,4
147,4
148,4
149,2
150,4
151,3
152,4
153,4
154,7
155,4
156,7
157,4
158,3
159,3
160,3
161,4
162,3
163,7
164,4
165,4
166,4
167,4
168,3
169,2
170,2
171,4
172,4
173,7
174,4
175,4
176,7
177,7
178,3
179,3
180,2
181,7
182,3
183,4
184,4
185,7
186,7
187,7
188,4
189,7
190,7
191,4
192,4
193,4
194,4
195,7
196,2
197,4
198,4
199,4
200,7
201,2
202,4
203,3
204,4
205,2
206,4
207,4
208,7
209,3
210,2
211,7
212,7
213,4
214,2
215,4
216,4
217,7
218,4
219,3
220,4
221,4
222,3
223,7
224,7
225,7
226,2
227,2
228,4
229,7
230,4
231,4
232,4
233,4
234,4
235,2
236,3
237,4
238,4
239,4
240,4
241,7
242,4
243,2
244,4
245,2
246,7
247,4
248,7
249,2
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,7
262,4
263,4
264,7
265,2
266,2
267,3
268,7
269,3
270,2
271,7
272,3
273,4
274,3
275,4
276,4
277,2
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,3
288,4
289,4
290,4
291,4
292,7
293,4
294,4
295,4
296,3
297,3
298,7
299,7
300,3
301,4
302,2
303,3
304,2
305,4
306,7
307,7
308,2
309,2
310,7
311,2
312,3
313,3
314,3
315,4
316,3
317,2
318,4
319,4
320,4
321,4
322,4
323,2
324,4
325,7
326,7
327,4
328,7
329,4
330,4
331,4
332,7
333,3
334,2
335,4
336,2
337,2
338,3
339,3
340,7
341,2
342,4
343,2
344,7
345,3
346,4
347,7
348,2
349,4
350,4
351,4
352,4
353,7
354,7
355,3
356,4
357,4
358,4
359,3
360,2
361,7
362,4
363,4
364,7
365,4
366,7
367,3
368,4
369,2
370,3
371,3
372,2
373,3
374,2
375,7
376,7
377,7
378,4
379,3
380,4
381,2
382,2
383,2
384,2
385,1
386,2
387,2
388,3
389,2
390,4
391,7
392,4
393,4
394,4
395,4
396,3
397,2
398,4
399,7
400,4
401,4
402,2
403,4
404,4
405,3
406,4
407,4
408,7
409,4
410,2
411,4
412,4
413,3
414,2
415,2
416,2
417,4
418,4
419,3
420,3
421,7
422,4
423,4
424,4
425,4
426,3
427,3
428,7
429,4
430,3
431,3
432,4
433,2
434,7
435,7
436,4
437,4
438,4
439,4
440,7
441,7
442,3
443,4
444,4
445,4
446,4
447,3
448,3
449,2
450,3
451,2
452,3
453,7
454,7
455,7
456,4
457,4
458,4
459,7
460,4
461,4
462,4
463,3
464,3
465,4
466,3
467,4
468,4
469,2
470,4
471,2
472,3
473,3
474,3
475,7
476,7
477,2
478,3
479,2
480,4
481,2
482,2
483,4
484,7
485,4
486,4
487,7
488,4
489,4
490,2
491,4
492,2
493,2
494,2
495,4
496,2
497,3
498,3
499,2
500,2
