R,greek
1,2
2,2
3,2
4,3
5,2
6,2
7,3
8,2
9,2
10,2
11,2
12,9
13,2
14,2
15,3
16,3
17,5
18,5
19,3
20,9
21,3
22,9
23,5
24,3
25,9
26,4
27,3
28,5
29,3
30,2
31,2
32,3
33,5
34,9
35,3
36,5
37,2
38,4
39,2
40,9
41,9
42,9
43,5
44,5
45,5
46,3
47,9
48,5
49,2
50,3
51,9
52,9
53,3
54,2
55,3
56,4
57,4
58,2
59,5
60,3
61,2
62,5
63,5
64,9
65,3
66,5
67,5
68,9
69,5
70,5
71,9
72,2
73,4
74,9
75,2
76,3
77,2
78,3
79,3
80,3
81,2
82,5
83,5
84,5
85,9
86,9
87,9
88,4
89,5
90,5
91,3
92,9
93,5
94,9
95,5
96,3
97,9
98,9
99,9
100,2
101,3
102,2
103,5
104,2
105,5
106,9
107,4
108,3
109,2
110,9
111,4
112,3
113,9
114,3
115,3
116,3
117,5
118,5
119,5
120,3
121,2
122,5
123,3
124,2
125,5
126,9
127,2
128,4
129,2
130,3
131,5
132,9
133,3
134,5
135,5
136,3
137,9
138,3
139,5
140,3
141,5
142,4
143,9
144,3
145,9
146,5
147,5
148,9
149,2
150,5
151,9
152,5
153,5
154,2
155,5
156,2
157,5
158,3
159,3
160,9
161,5
162,9
163,3
164,5
165,5
166,9
167,9
168,2
169,2
170,2
171,5
172,5
173,2
174,5
175,5
176,5
177,5
178,3
179,2
180,3
181,9
182,5
183,9
184,9
185,5
186,3
187,9
188,9
189,9
190,3
191,5
192,5
193,5
194,5
195,9
196,9
197,4
198,2
199,3
200,3
201,3
202,9
203,3
204,4
205,2
206,5
207,5
208,5
209,3
210,3
211,9
212,3
213,5
214,5
215,5
216,5
217,5
218,5
219,5
220,5
221,5
222,2
223,3
224,3
225,2
226,2
227,2
228,9
229,9
230,9
231,9
232,2
233,9
234,5
235,9
236,9
237,3
238,9
239,3
240,5
241,5
242,5
243,9
244,5
245,2
246,3
247,3
248,9
249,2
250,5
251,5
252,5
253,9
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,3
262,5
263,3
264,9
265,9
266,9
267,9
268,5
269,3
270,2
271,2
272,2
273,5
274,5
275,5
276,5
277,2
278,5
279,5
280,5
281,4
282,5
283,5
284,5
285,5
286,5
287,9
288,5
289,5
290,5
291,5
292,9
293,9
294,5
295,5
296,3
297,3
298,3
299,3
300,2
301,3
302,2
303,3
304,2
305,9
306,3
307,2
308,5
309,5
310,9
311,2
312,9
313,3
314,3
315,5
316,2
317,2
318,5
319,5
320,2
321,9
322,3
323,3
324,5
325,3
326,3
327,5
328,5
329,5
330,5
331,5
332,5
333,5
334,3
335,5
336,3
337,9
338,2
339,3
340,2
341,4
342,5
343,3
344,2
345,5
346,5
347,5
348,2
349,5
350,5
351,5
352,9
353,9
354,3
355,5
356,3
357,5
358,5
359,9
360,2
361,9
362,5
363,9
364,3
365,5
366,9
367,5
368,5
369,2
370,5
371,2
372,2
373,5
374,9
375,9
376,2
377,5
378,9
379,2
380,2
381,5
382,3
383,5
384,9
385,2
386,9
387,9
388,2
389,3
390,5
391,5
392,5
393,9
394,2
395,9
396,5
397,2
398,5
399,3
400,5
401,5
402,5
403,5
404,5
405,3
406,2
407,5
408,5
409,5
410,9
411,2
412,5
413,9
414,2
415,5
416,9
417,5
418,3
419,2
420,3
421,9
422,5
423,5
424,5
425,5
426,2
427,3
428,2
429,5
430,2
431,5
432,5
433,2
434,9
435,3
436,5
437,5
438,5
439,5
440,3
441,2
442,9
443,5
444,5
445,5
446,5
447,3
448,9
449,9
450,5
451,3
452,2
453,3
454,9
455,2
456,3
457,9
458,5
459,9
460,5
461,9
462,5
463,2
464,2
465,3
466,5
467,5
468,5
469,3
470,3
471,2
472,3
473,9
474,3
475,2
476,2
477,3
478,3
479,5
480,5
481,2
482,2
483,5
484,9
485,5
486,5
487,2
488,5
489,5
490,2
491,5
492,9
493,2
494,2
495,5
496,2
497,5
498,1
499,9
500,2
