R,filipino
1,5
2,5
3,3
4,2
5,2
6,3
7,9
8,2
9,5
10,9
11,2
12,3
13,9
14,2
15,5
16,2
17,5
18,5
19,9
20,2
21,9
22,2
23,2
24,9
25,2
26,2
27,9
28,2
29,2
30,5
31,9
32,9
33,9
34,3
35,2
36,3
37,3
38,3
39,5
40,2
41,3
42,2
43,5
44,5
45,5
46,2
47,9
48,2
49,3
50,9
51,9
52,9
53,9
54,3
55,9
56,3
57,3
58,3
59,5
60,2
61,9
62,9
63,5
64,2
65,3
66,5
67,9
68,2
69,5
70,5
71,2
72,5
73,9
74,5
75,5
76,5
77,3
78,3
79,9
80,5
81,3
82,3
83,5
84,5
85,2
86,3
87,9
88,2
89,9
90,5
91,2
92,3
93,9
94,9
95,9
96,3
97,9
98,2
99,3
100,5
101,9
102,3
103,9
104,9
105,5
106,3
107,3
108,3
109,3
110,3
111,9
112,3
113,5
114,3
115,5
116,5
117,5
118,5
119,5
120,5
121,3
122,3
123,3
124,5
125,5
126,9
127,2
128,9
129,5
130,9
131,5
132,3
133,5
134,5
135,3
136,2
137,2
138,9
139,2
140,3
141,5
142,5
143,9
144,9
145,2
146,5
147,2
148,9
149,5
150,5
151,2
152,2
153,2
154,2
155,5
156,5
157,5
158,9
159,9
160,5
161,5
162,2
163,9
164,5
165,5
166,5
167,5
168,5
169,5
170,3
171,5
172,2
173,9
174,2
175,2
176,9
177,2
178,5
179,9
180,3
181,9
182,9
183,3
184,9
185,5
186,4
187,3
188,3
189,3
190,9
191,2
192,9
193,5
194,2
195,2
196,2
197,3
198,9
199,5
200,3
201,9
202,5
203,2
204,3
205,4
206,5
207,5
208,9
209,2
210,5
211,2
212,3
213,2
214,5
215,9
216,2
217,3
218,2
219,5
220,5
221,5
222,2
223,2
224,2
225,3
226,3
227,3
228,9
229,3
230,5
231,5
232,5
233,5
234,9
235,2
236,2
237,3
238,3
239,5
240,5
241,5
242,5
243,9
244,2
245,9
246,2
247,5
248,9
249,5
250,5
251,5
252,5
253,5
254,5
255,2
256,5
257,5
258,9
259,5
260,5
261,9
262,5
263,3
264,3
265,9
266,3
267,9
268,3
269,2
270,3
271,9
272,3
273,5
274,5
275,5
276,5
277,5
278,5
279,5
280,9
281,5
282,5
283,5
284,5
285,9
286,5
287,5
288,2
289,3
290,9
291,2
292,5
293,5
294,5
295,5
296,3
297,2
298,3
299,3
300,9
301,3
302,9
303,3
304,2
305,5
306,3
307,2
308,5
309,5
310,9
311,5
312,3
313,2
314,2
315,5
316,5
317,3
318,5
319,5
320,2
321,5
322,5
323,9
324,5
325,3
326,5
327,2
328,9
329,9
330,5
331,9
332,5
333,3
334,2
335,3
336,3
337,3
338,3
339,9
340,3
341,2
342,9
343,5
344,5
345,2
346,5
347,2
348,2
349,2
350,5
351,5
352,9
353,2
354,3
355,5
356,5
357,5
358,5
359,5
360,3
361,2
362,5
363,5
364,3
365,5
366,2
367,5
368,9
369,3
370,9
371,5
372,3
373,5
374,3
375,5
376,3
377,5
378,3
379,5
380,5
381,9
382,9
383,5
384,5
385,5
386,3
387,5
388,5
389,9
390,2
391,2
392,5
393,5
394,5
395,5
396,2
397,5
398,9
399,5
400,5
401,2
402,9
403,5
404,5
405,9
406,5
407,5
408,5
409,5
410,3
411,9
412,5
413,2
414,3
415,5
416,3
417,5
418,5
419,9
420,5
421,2
422,5
423,5
424,9
425,3
426,5
427,3
428,2
429,2
430,5
431,9
432,2
433,5
434,1
435,9
436,5
437,5
438,5
439,5
440,2
441,5
442,9
443,5
444,5
445,5
446,5
447,5
448,3
449,5
450,5
451,3
452,3
453,2
454,2
455,5
456,9
457,2
458,2
459,9
460,5
461,5
462,2
463,2
464,3
465,2
466,5
467,9
468,3
469,2
470,5
471,5
472,3
473,5
474,5
475,2
476,3
477,9
478,2
479,5
480,5
481,3
482,5
483,9
484,2
485,9
486,5
487,3
488,3
489,3
490,9
491,9
492,9
493,5
494,9
495,5
496,5
497,5
498,5
499,5
500,5
