R,russian
1,4
2,3
3,4
4,7
5,2
6,7
7,7
8,4
9,4
10,2
11,7
12,2
13,7
14,2
15,7
16,2
17,4
18,4
19,2
20,2
21,2
22,7
23,4
24,7
25,7
26,3
27,2
28,4
29,2
30,4
31,2
32,7
33,4
34,7
35,2
36,4
37,2
38,3
39,7
40,7
41,3
42,4
43,4
44,4
45,4
46,2
47,2
48,4
49,7
50,2
51,3
52,2
53,2
54,2
55,3
56,3
57,3
58,7
59,4
60,2
61,7
62,4
63,4
64,2
65,2
66,2
67,4
68,2
69,4
70,4
71,3
72,4
73,4
74,4
75,7
76,3
77,3
78,7
79,4
80,4
81,4
82,4
83,4
84,4
85,7
86,2
87,2
88,4
89,3
90,7
91,3
92,7
93,4
94,7
95,4
96,2
97,3
98,7
99,4
100,2
101,7
102,7
103,4
104,2
105,4
106,7
107,7
108,3
109,3
110,3
111,4
112,3
113,4
114,2
115,4
116,2
117,4
118,7
119,4
120,4
121,3
122,3
123,2
124,4
125,7
126,3
127,3
128,3
129,3
130,2
131,2
132,3
133,4
134,4
135,4
136,3
137,7
138,4
139,4
140,3
141,4
142,4
143,4
144,7
145,2
146,4
147,4
148,4
149,4
150,4
151,3
152,4
153,4
154,4
155,2
156,2
157,7
158,4
159,3
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,2
169,2
170,2
171,4
172,4
173,7
174,4
175,4
176,4
177,2
178,7
179,7
180,7
181,4
182,4
183,4
184,7
185,4
186,4
187,2
188,4
189,4
190,7
191,4
192,4
193,2
194,2
195,2
196,2
197,4
198,3
199,4
200,2
201,2
202,3
203,2
204,7
205,2
206,4
207,4
208,4
209,2
210,4
211,3
212,4
213,4
214,2
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,7
224,2
225,3
226,7
227,2
228,7
229,4
230,4
231,7
232,4
233,4
234,4
235,3
236,4
237,2
238,3
239,4
240,4
241,4
242,4
243,7
244,7
245,7
246,2
247,4
248,4
249,7
250,4
251,7
252,4
253,7
254,4
255,4
256,4
257,4
258,7
259,4
260,4
261,7
262,4
263,4
264,1
265,2
266,4
267,4
268,4
269,7
270,4
271,3
272,7
273,4
274,4
275,4
276,4
277,3
278,4
279,4
280,4
281,7
282,4
283,4
284,7
285,4
286,4
287,7
288,4
289,4
290,3
291,4
292,2
293,4
294,4
295,4
296,4
297,4
298,4
299,7
300,7
301,2
302,2
303,2
304,2
305,4
306,7
307,2
308,4
309,4
310,2
311,7
312,7
313,7
314,2
315,4
316,2
317,2
318,4
319,4
320,7
321,4
322,4
323,2
324,7
325,2
326,3
327,4
328,4
329,4
330,4
331,4
332,2
333,4
334,4
335,4
336,2
337,4
338,7
339,7
340,3
341,3
342,4
343,4
344,3
345,4
346,4
347,4
348,3
349,4
350,4
351,4
352,4
353,2
354,2
355,4
356,4
357,4
358,4
359,7
360,7
361,7
362,4
363,4
364,2
365,4
366,7
367,4
368,4
369,3
370,4
371,4
372,2
373,4
374,2
375,4
376,7
377,4
378,3
379,4
380,4
381,7
382,2
383,4
384,4
385,4
386,3
387,4
388,4
389,2
390,7
391,4
392,4
393,4
394,4
395,4
396,2
397,4
398,4
399,7
400,4
401,2
402,7
403,4
404,4
405,7
406,2
407,4
408,4
409,4
410,4
411,4
412,2
413,2
414,7
415,7
416,7
417,4
418,4
419,7
420,4
421,2
422,4
423,4
424,2
425,2
426,4
427,7
428,4
429,2
430,7
431,7
432,4
433,2
434,2
435,2
436,7
437,4
438,4
439,4
440,2
441,3
442,3
443,4
444,4
445,4
446,4
447,7
448,4
449,3
450,4
451,3
452,2
453,7
454,7
455,4
456,3
457,4
458,7
459,7
460,3
461,4
462,7
463,7
464,2
465,4
466,4
467,4
468,4
469,2
470,2
471,2
472,3
473,4
474,4
475,7
476,2
477,2
478,7
479,7
480,2
481,3
482,4
483,7
484,4
485,4
486,4
487,7
488,4
489,4
490,4
491,7
492,7
493,4
494,3
495,4
496,4
497,4
498,7
499,4
500,7
