R,thai
1,2
2,5
3,9
4,3
5,9
6,3
7,3
8,4
9,5
10,4
11,3
12,4
13,9
14,9
15,5
16,3
17,9
18,5
19,4
20,2
21,9
22,2
23,3
24,9
25,3
26,2
27,4
28,9
29,3
30,3
31,9
32,2
33,9
34,9
35,9
36,3
37,9
38,9
39,5
40,3
41,9
42,2
43,4
44,5
45,5
46,4
47,3
48,2
49,4
50,4
51,3
52,5
53,4
54,9
55,2
56,2
57,3
58,4
59,3
60,3
61,3
62,5
63,5
64,4
65,5
66,5
67,2
68,3
69,5
70,4
71,5
72,3
73,2
74,2
75,9
76,2
77,4
78,9
79,5
80,2
81,4
82,5
83,5
84,5
85,3
86,3
87,5
88,2
89,2
90,5
91,2
92,3
93,2
94,2
95,9
96,3
97,2
98,3
99,5
100,5
101,3
102,9
103,3
104,3
105,5
106,9
107,2
108,2
109,9
110,9
111,2
112,2
113,5
114,4
115,3
116,9
117,5
118,5
119,5
120,9
121,3
122,3
123,2
124,9
125,9
126,2
127,9
128,2
129,5
130,5
131,5
132,5
133,5
134,2
135,2
136,2
137,3
138,3
139,2
140,2
141,3
142,2
143,2
144,2
145,3
146,2
147,3
148,2
149,2
150,2
151,3
152,2
153,2
154,9
155,5
156,5
157,5
158,3
159,2
160,3
161,2
162,2
163,3
164,3
165,1
166,4
167,3
168,5
169,5
170,3
171,3
172,2
173,9
174,2
175,2
176,2
177,3
178,3
179,3
180,9
181,2
182,3
183,3
184,3
185,9
186,4
187,9
188,9
189,3
190,9
191,9
192,5
193,3
194,2
195,3
196,3
197,9
198,4
199,5
200,9
201,3
202,9
203,9
204,4
205,4
206,5
207,5
208,2
209,9
210,9
211,2
212,4
213,2
214,3
215,2
216,2
217,2
218,2
219,3
220,2
221,2
222,3
223,2
224,3
225,5
226,4
227,9
228,4
229,3
230,5
231,5
232,5
233,5
234,9
235,2
236,3
237,4
238,5
239,5
240,4
241,5
242,5
243,2
244,5
245,9
246,4
247,9
248,2
249,3
250,5
251,5
252,5
253,4
254,5
255,9
256,5
257,9
258,9
259,5
260,5
261,4
262,5
263,9
264,5
265,2
266,3
267,2
268,2
269,3
270,9
271,2
272,9
273,3
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,4
282,5
283,5
284,5
285,3
286,9
287,3
288,2
289,9
290,2
291,2
292,4
293,5
294,5
295,4
296,2
297,2
298,2
299,9
300,4
301,4
302,3
303,4
304,9
305,5
306,9
307,9
308,3
309,5
310,3
311,5
312,4
313,9
314,5
315,5
316,5
317,9
318,5
319,5
320,3
321,9
322,4
323,9
324,5
325,9
326,5
327,2
328,2
329,2
330,9
331,2
332,3
333,9
334,3
335,4
336,9
337,3
338,9
339,5
340,4
341,2
342,2
343,5
344,5
345,5
346,5
347,2
348,3
349,2
350,4
351,9
352,2
353,4
354,4
355,5
356,3
357,5
358,5
359,3
360,9
361,2
362,5
363,5
364,4
365,5
366,9
367,5
368,2
369,9
370,3
371,3
372,9
373,5
374,4
375,5
376,9
377,5
378,5
379,9
380,4
381,9
382,9
383,5
384,5
385,9
386,3
387,3
388,5
389,9
390,9
391,9
392,9
393,3
394,5
395,5
396,3
397,3
398,5
399,2
400,5
401,5
402,5
403,5
404,5
405,5
406,9
407,5
408,5
409,5
410,2
411,5
412,5
413,3
414,9
415,3
416,2
417,5
418,5
419,9
420,5
421,3
422,5
423,5
424,5
425,5
426,2
427,3
428,2
429,5
430,4
431,3
432,5
433,5
434,3
435,4
436,5
437,5
438,5
439,5
440,2
441,5
442,9
443,5
444,5
445,5
446,9
447,3
448,3
449,9
450,5
451,3
452,9
453,4
454,2
455,9
456,9
457,2
458,3
459,5
460,5
461,5
462,9
463,3
464,9
465,3
466,2
467,2
468,2
469,4
470,5
471,4
472,9
473,9
474,5
475,9
476,9
477,9
478,5
479,9
480,5
481,9
482,5
483,2
484,2
485,2
486,3
487,5
488,5
489,4
490,3
491,4
492,2
493,3
494,3
495,3
496,5
497,5
498,4
499,5
500,9
