R,jamaican
1,4
2,4
3,4
4,2
5,2
6,7
7,2
8,4
9,4
10,2
11,2
12,2
13,7
14,2
15,2
16,7
17,4
18,3
19,7
20,2
21,7
22,2
23,3
24,2
25,2
26,2
27,7
28,4
29,2
30,4
31,2
32,7
33,4
34,2
35,2
36,7
37,7
38,7
39,4
40,2
41,7
42,2
43,3
44,4
45,4
46,7
47,2
48,2
49,2
50,2
51,2
52,7
53,2
54,7
55,7
56,3
57,2
58,3
59,7
60,2
61,2
62,4
63,4
64,2
65,7
66,4
67,2
68,7
69,7
70,3
71,3
72,4
73,2
74,3
75,4
76,7
77,3
78,7
79,2
80,2
81,3
82,4
83,4
84,4
85,7
86,3
87,4
88,2
89,2
90,7
91,4
92,7
93,3
94,2
95,4
96,7
97,7
98,7
99,4
100,4
101,4
102,3
103,4
104,2
105,7
106,7
107,7
108,7
109,7
110,7
111,2
112,4
113,4
114,7
115,3
116,4
117,2
118,3
119,4
120,2
121,7
122,2
123,2
124,4
125,4
126,7
127,7
128,2
129,3
130,3
131,4
132,4
133,4
134,4
135,4
136,2
137,7
138,4
139,4
140,3
141,4
142,2
143,7
144,2
145,2
146,4
147,4
148,4
149,3
150,4
151,2
152,4
153,4
154,7
155,4
156,4
157,4
158,4
159,2
160,7
161,4
162,3
163,7
164,2
165,4
166,4
167,4
168,3
169,4
170,4
171,4
172,4
173,2
174,3
175,7
176,7
177,7
178,4
179,4
180,2
181,2
182,7
183,2
184,4
185,2
186,3
187,3
188,4
189,3
190,2
191,4
192,2
193,2
194,7
195,3
196,2
197,3
198,3
199,4
200,7
201,7
202,7
203,2
204,7
205,3
206,4
207,4
208,7
209,7
210,2
211,7
212,2
213,4
214,7
215,4
216,4
217,7
218,4
219,7
220,4
221,4
222,4
223,2
224,7
225,3
226,7
227,7
228,7
229,2
230,3
231,4
232,4
233,4
234,2
235,2
236,4
237,7
238,4
239,2
240,4
241,7
242,4
243,2
244,4
245,7
246,2
247,4
248,2
249,7
250,4
251,7
252,4
253,3
254,4
255,7
256,4
257,2
258,7
259,4
260,4
261,7
262,2
263,4
264,3
265,2
266,3
267,2
268,3
269,7
270,7
271,7
272,7
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,4
286,4
287,7
288,4
289,4
290,4
291,4
292,3
293,4
294,4
295,4
296,7
297,4
298,3
299,3
300,2
301,7
302,7
303,7
304,7
305,4
306,4
307,2
308,2
309,7
310,2
311,1
312,2
313,2
314,7
315,4
316,4
317,7
318,4
319,4
320,2
321,4
322,4
323,7
324,4
325,3
326,4
327,3
328,2
329,4
330,4
331,7
332,4
333,4
334,2
335,3
336,7
337,7
338,7
339,2
340,2
341,2
342,2
343,4
344,3
345,4
346,4
347,2
348,3
349,4
350,4
351,4
352,4
353,2
354,4
355,2
356,4
357,4
358,2
359,4
360,2
361,2
362,4
363,4
364,7
365,4
366,7
367,4
368,3
369,4
370,2
371,4
372,2
