R,spanish
1,3
2,3
3,3
4,3
5,2
6,2
7,3
8,2
9,7
10,7
11,2
12,7
13,2
14,2
15,3
16,3
17,7
18,7
19,3
20,7
21,3
22,7
23,7
24,7
25,2
26,7
27,7
28,4
29,3
30,4
31,3
32,3
33,3
34,3
35,2
36,4
37,3
38,7
39,4
40,7
41,3
42,3
43,4
44,4
45,4
46,2
47,3
48,4
49,3
50,3
51,7
52,3
53,7
54,2
55,2
56,3
57,3
58,2
59,3
60,3
61,2
62,2
63,3
64,3
65,7
66,7
67,7
68,3
69,4
70,7
71,7
72,7
73,7
74,3
75,2
76,3
77,2
78,2
79,2
80,2
81,3
82,7
83,7
84,4
85,7
86,3
87,2
88,4
89,7
90,7
91,2
92,7
93,4
94,7
95,4
96,7
97,3
98,7
99,2
100,7
101,2
102,2
103,4
104,2
105,3
106,3
107,7
108,7
109,2
110,3
111,7
112,7
113,7
114,7
115,2
116,2
117,4
118,3
119,4
120,3
121,2
122,7
123,3
124,4
125,7
126,7
127,3
128,7
129,4
130,3
131,7
132,7
133,4
134,4
135,4
136,2
137,3
138,3
139,4
140,3
141,4
142,3
143,3
144,7
145,7
146,4
147,4
148,4
149,2
150,4
151,2
152,4
153,4
154,3
155,4
156,2
157,4
158,7
159,2
160,2
161,4
162,4
163,2
164,4
165,4
166,7
167,7
168,2
169,2
170,2
171,4
172,4
173,3
174,4
175,4
176,4
177,7
178,7
179,2
180,2
181,3
182,2
183,3
184,7
185,7
186,7
187,3
188,3
189,3
190,2
191,4
192,4
193,7
194,4
195,3
196,3
197,7
198,7
199,4
200,2
201,3
202,3
203,2
204,3
205,2
206,3
207,4
208,4
209,7
210,3
211,2
212,7
213,4
214,3
215,4
216,4
217,3
218,3
219,7
220,7
221,4
222,3
223,7
224,3
225,7
226,2
227,2
228,3
229,2
230,4
231,3
232,2
233,7
234,4
235,2
236,4
237,7
238,7
239,4
240,7
241,7
242,3
243,2
244,4
245,2
246,2
247,7
248,7
249,2
250,4
251,4
252,4
253,4
254,7
255,2
256,2
257,4
258,4
259,4
260,4
261,2
262,4
263,4
264,7
265,7
266,7
267,7
268,3
269,7
270,3
271,3
272,2
273,4
274,3
275,4
276,4
277,2
278,4
279,7
280,7
281,7
282,4
283,4
284,7
285,4
286,4
287,7
288,4
289,4
290,7
291,4
292,3
293,4
294,4
295,7
296,2
297,2
298,2
299,2
300,2
301,7
302,3
303,3
304,2
305,4
306,2
307,2
308,4
309,4
310,7
311,7
312,2
313,3
314,7
315,4
316,4
317,3
318,4
319,4
320,2
321,4
322,7
323,2
324,3
325,3
326,2
327,7
328,4
329,4
330,4
331,4
332,4
333,2
334,2
335,4
336,2
337,7
338,3
339,3
340,3
341,7
342,7
343,2
344,3
345,4
346,4
347,7
348,3
349,4
350,4
351,4
352,7
353,3
354,2
355,4
356,4
357,4
358,4
359,4
360,3
361,7
362,2
363,2
364,3
365,3
366,4
367,7
368,4
369,2
370,3
371,4
372,3
373,4
374,7
375,3
376,2
377,2
378,4
379,2
380,7
381,2
382,3
383,7
384,3
385,3
386,3
387,2
388,7
389,3
390,2
391,2
392,4
393,4
394,4
395,4
396,3
397,4
398,4
399,3
400,7
401,4
402,4
403,4
404,4
405,1
406,2
407,4
408,4
409,4
410,7
411,2
412,4
413,3
414,2
415,4
416,7
417,7
418,4
419,2
420,4
421,7
422,4
423,4
424,7
425,7
426,4
427,3
428,2
429,2
430,7
431,4
432,3
433,2
434,3
435,3
436,4
437,4
438,7
439,4
440,7
441,3
442,3
443,4
444,7
445,4
446,4
447,7
448,7
449,7
450,4
451,2
452,2
453,3
454,4
455,7
456,2
457,2
458,4
459,4
460,4
461,4
462,3
463,2
464,2
465,4
466,4
467,4
468,4
469,2
470,4
471,2
472,3
473,4
474,2
475,2
476,2
477,2
478,4
479,4
480,4
481,2
482,4
483,7
484,4
485,4
486,4
487,2
488,4
489,7
490,3
491,4
492,3
493,2
494,2
495,4
496,4
497,4
498,7
499,4
500,7
501,3
502,4
503,4
504,4
505,2
506,2
507,2
508,2
509,4
510,7
511,2
512,4
513,3
514,2
515,4
516,2
517,3
518,3
519,3
520,7
521,2
522,2
523,7
524,4
525,7
526,4
527,3
528,4
529,4
530,7
531,7
532,2
533,4
534,2
535,2
536,4
537,3
538,3
539,7
540,3
541,3
542,7
543,2
544,3
545,4
546,4
547,4
548,4
549,4
550,4
551,4
552,3
553,4
554,4
555,4
556,2
557,2
558,7
559,4
560,3
561,2
562,4
563,2
564,7
565,4
566,3
567,4
568,7
569,4
570,4
571,2
572,7
573,4
574,4
575,4
576,7
577,2
578,3
579,7
580,2
581,4
582,4
583,4
584,4
585,4
586,2
587,4
588,4
589,3
590,2
591,7
592,2
593,4
594,3
595,4
596,7
597,4
598,2
599,2
600,2
601,3
602,3
603,4
604,4
605,3
606,7
607,4
608,7
609,4
610,3
611,4
612,4
613,3
614,2
615,4
