R,moroccan
1,4
2,2
3,4
4,7
5,7
6,2
7,7
8,2
9,7
10,7
11,2
12,3
13,2
14,2
15,7
16,7
17,4
18,4
19,3
20,7
21,7
22,3
23,3
24,3
25,2
26,3
27,7
28,4
29,2
30,7
31,2
32,7
33,7
34,2
35,2
36,4
37,2
38,3
39,4
40,3
41,2
42,2
43,3
44,4
45,7
46,7
47,7
48,7
49,2
50,3
51,2
52,2
53,3
54,2
55,4
56,2
57,3
58,2
59,4
60,7
61,2
62,4
63,2
64,7
65,3
66,2
67,4
68,4
69,4
70,4
71,4
72,4
73,3
74,2
75,2
76,3
77,2
78,2
79,3
80,4
81,3
82,4
83,4
84,4
85,7
86,3
87,4
88,4
89,2
90,4
91,7
92,7
93,4
94,3
95,4
96,7
97,7
98,4
99,2
100,7
101,2
102,2
103,7
104,2
105,4
106,7
107,2
108,2
109,2
110,3
111,4
112,7
113,4
114,7
115,2
116,4
117,7
118,4
119,4
120,4
121,2
122,2
123,2
124,2
125,2
126,7
127,7
128,2
129,2
130,2
131,4
132,4
133,4
134,4
135,4
136,2
137,7
138,2
139,4
140,4
141,4
142,7
143,4
144,7
145,7
146,4
147,4
148,4
149,2
150,4
151,7
152,4
153,4
154,7
155,4
156,7
157,4
158,7
159,7
160,7
161,4
162,7
163,7
164,4
165,4
166,4
167,4
168,7
169,2
170,2
171,4
172,4
173,3
174,4
175,4
176,3
177,3
178,7
179,2
180,2
181,3
182,2
183,4
184,4
185,7
186,3
187,3
188,4
189,3
190,7
191,4
192,4
193,4
194,4
195,3
196,2
197,4
198,4
199,4
200,7
201,2
202,4
203,7
204,4
205,2
206,4
207,4
208,3
209,7
210,2
211,3
212,3
213,4
214,2
215,4
216,4
217,3
218,4
219,2
220,4
221,4
222,2
223,3
224,3
225,3
226,2
227,2
228,4
229,3
230,4
231,4
232,4
233,4
234,4
235,2
236,7
237,4
238,4
239,4
240,4
241,3
242,4
243,2
244,4
245,2
246,7
247,4
248,7
249,2
250,4
251,4
252,4
253,4
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,3
262,4
263,4
264,3
265,2
266,2
267,2
268,3
269,7
270,2
271,3
272,2
273,4
274,2
275,4
276,4
277,2
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,4
286,4
287,7
288,4
289,4
290,4
291,4
292,3
293,4
294,4
295,4
296,7
297,7
298,3
299,7
300,7
301,4
302,2
303,7
304,2
305,4
306,7
307,7
308,2
309,2
310,3
311,2
312,7
313,7
314,7
315,4
316,7
317,2
318,4
319,4
320,4
321,4
322,4
323,2
324,4
325,7
326,3
327,4
328,3
329,4
330,4
331,4
332,7
333,7
334,2
335,4
336,2
337,2
338,7
339,7
340,3
341,2
342,4
343,2
344,7
345,7
346,4
347,3
348,2
349,4
350,4
351,4
352,4
353,3
354,3
355,7
356,4
357,4
358,4
359,7
360,2
361,3
362,4
363,4
364,3
365,4
366,3
367,7
368,4
369,2
370,7
371,2
372,2
373,7
374,2
375,7
376,7
377,7
378,4
379,7
380,4
381,2
382,2
383,2
384,2
385,1
386,2
387,2
388,2
389,2
390,4
391,7
392,4
393,4
394,4
395,4
396,7
397,2
398,4
399,7
400,4
401,4
402,2
403,4
404,4
405,2
406,4
407,4
408,7
409,4
410,2
411,4
412,4
413,7
414,2
415,2
416,2
417,4
418,4
419,2
420,7
421,7
422,4
423,4
424,4
425,4
426,2
427,7
428,3
