R,greek
1,2
2,2
3,2
4,3
5,2
6,2
7,3
8,2
9,1
10,2
11,2
12,7
13,2
14,2
15,3
16,3
17,4
18,4
19,3
20,7
21,3
22,7
23,4
24,3
25,3
26,7
27,3
28,4
29,3
30,2
31,2
32,3
33,4
34,3
35,3
36,4
37,2
38,7
39,2
40,7
41,3
42,3
43,4
44,4
45,4
46,3
47,7
48,4
49,2
50,3
51,7
52,7
53,3
54,2
55,3
56,7
57,7
58,2
59,4
60,2
61,2
62,4
63,4
64,7
65,3
66,4
67,4
68,7
69,4
70,4
71,7
72,2
73,7
74,7
75,2
76,2
77,2
78,3
79,3
80,3
81,2
82,4
83,4
84,4
85,7
86,7
87,7
88,7
89,4
90,4
91,3
92,3
93,4
94,7
95,4
96,3
97,3
98,7
99,7
100,2
101,3
102,2
103,4
104,2
105,4
106,7
107,7
108,3
109,2
110,7
111,7
112,3
113,3
114,3
115,3
116,3
117,4
118,4
119,4
120,3
121,2
122,4
123,3
124,2
125,4
126,7
127,2
128,7
129,2
130,3
131,4
132,7
133,3
134,4
135,4
136,3
137,3
138,3
139,4
140,3
141,4
142,7
143,7
144,3
145,7
146,4
147,4
148,7
149,2
150,4
151,3
152,4
153,4
154,2
155,4
156,2
157,4
158,3
159,3
160,3
161,4
162,7
163,3
164,4
165,4
166,7
167,3
168,2
169,2
170,2
171,4
172,4
173,2
174,4
175,4
176,4
177,4
178,3
179,2
180,3
181,7
182,4
183,7
184,7
185,4
186,3
187,7
188,3
189,3
190,2
191,4
192,4
193,4
194,4
195,7
196,7
197,7
198,2
199,3
200,3
201,3
202,7
203,2
204,7
205,2
206,4
207,4
208,4
209,3
210,3
211,7
212,3
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,2
223,3
224,2
225,2
226,2
227,2
228,7
229,7
230,7
231,3
232,2
233,7
234,4
235,7
236,7
237,3
238,7
239,3
240,4
241,4
242,4
243,3
244,4
245,2
246,3
247,3
248,7
249,2
250,4
251,4
252,4
253,7
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,3
262,4
263,3
264,7
265,3
266,7
267,7
268,4
