R,korean
1,7
2,4
3,4
4,2
5,7
6,7
7,2
8,4
9,4
10,7
11,7
12,3
13,3
14,7
15,4
16,2
17,4
18,4
19,3
20,2
21,7
22,7
23,2
24,7
25,2
26,2
27,3
28,4
29,2
30,7
31,2
32,3
33,4
34,7
35,2
36,7
37,7
38,7
39,4
40,7
41,4
42,7
43,4
44,4
45,4
46,3
47,2
48,2
49,3
50,3
51,2
52,4
53,3
54,3
55,7
56,3
57,7
58,3
59,2
60,2
61,2
62,4
63,4
64,7
65,4
66,4
67,4
68,2
69,4
70,7
71,7
72,7
73,3
74,3
75,4
76,4
77,3
78,2
79,4
80,2
81,4
82,4
83,4
84,4
85,2
86,2
87,7
88,2
89,2
90,7
91,7
92,7
93,2
94,2
95,4
96,7
97,2
98,7
99,4
100,2
101,2
102,3
103,4
104,2
105,4
106,3
107,3
108,3
109,3
110,3
111,3
112,2
113,4
114,7
115,7
116,7
117,4
118,7
119,4
120,4
121,7
122,4
123,7
124,4
125,4
126,2
127,2
128,7
129,7
130,4
131,4
132,4
133,4
134,4
135,2
136,7
137,7
138,7
139,2
140,2
141,4
142,3
143,2
144,3
145,2
146,4
147,7
148,4
149,4
150,7
151,2
152,7
153,2
154,7
155,4
156,4
157,4
158,2
159,2
160,7
161,2
162,7
163,7
164,4
165,4
166,4
167,4
168,4
169,4
170,4
171,4
172,2
173,2
174,7
175,2
176,7
177,2
178,4
179,4
180,7
181,7
182,2
183,7
184,7
185,4
186,4
187,3
188,4
189,4
190,3
191,4
192,4
193,2
194,2
195,7
196,2
197,4
198,3
199,4
200,7
201,7
202,7
203,2
204,7
205,4
206,4
207,4
208,2
209,7
210,7
211,2
212,7
213,2
214,7
215,7
216,2
217,4
218,4
219,2
220,4
221,2
222,2
223,2
224,2
225,4
226,4
227,7
228,3
229,4
230,4
231,4
232,4
233,4
234,4
235,7
236,3
237,4
238,3
239,7
240,3
241,4
242,4
243,7
244,7
245,7
246,3
247,7
248,2
249,7
250,4
251,4
252,4
253,4
254,4
255,7
256,2
257,4
258,2
259,4
260,4
261,7
262,4
263,4
264,3
265,7
266,4
267,3
268,7
269,2
270,4
271,2
272,3
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,2
286,2
287,7
288,2
289,2
290,2
291,2
292,4
293,4
294,4
295,4
296,7
297,7
298,3
299,3
300,3
301,7
302,2
303,3
304,3
305,4
306,7
307,4
308,4
309,7
310,2
311,4
312,4
313,2
314,4
315,4
316,7
317,7
318,4
319,4
320,2
321,4
322,4
323,4
324,4
325,2
326,4
327,3
328,4
329,4
330,4
331,2
332,4
333,7
334,7
335,4
336,3
337,4
338,7
339,2
340,4
341,2
342,7
343,4
344,3
345,7
346,4
347,4
348,7
349,2
350,1
351,2
352,2
353,3
354,7
355,4
356,4
357,4
358,4
359,2
360,4
361,2
362,4
363,4
364,7
365,4
366,7
367,4
368,2
369,3
370,2
371,4
372,4
373,4
374,4
375,4
376,7
377,4
378,3
379,4
380,4
381,4
382,7
383,4
384,4
385,4
386,7
387,4
388,4
389,7
390,4
391,4
392,4
393,4
394,4
395,4
396,2
397,7
398,4
399,2
400,7
401,4
402,2
403,4
404,4
405,2
406,4
407,4
408,4
409,4
410,7
411,4
412,4
413,3
414,3
415,4
416,4
417,4
418,4
419,7
420,2
421,2
422,4
423,4
424,4
425,4
426,7
427,2
428,4
429,7
430,4
431,2
432,4
433,4
434,2
435,3
436,4
437,4
438,4
439,4
440,2
441,4
442,7
443,4
444,4
445,4
446,4
447,3
448,7
449,3
450,4
451,4
452,7
453,4
454,2
455,4
456,4
457,7
458,2
459,4
460,4
461,4
462,4
463,2
464,3
465,7
466,2
467,2
468,2
469,7
470,7
471,4
472,4
473,2
474,7
475,4
476,4
477,4
478,4
479,4
480,4
481,3
482,4
483,2
484,2
485,2
486,2
487,7
488,7
489,3
490,7
491,4
492,7
493,7
494,7
495,4
496,4
497,4
498,4
499,4
500,7
501,7
502,4
503,2
504,4
505,2
506,7
507,4
508,4
509,4
510,4
511,4
512,4
513,4
514,4
515,4
516,2
517,2
518,7
519,4
520,2
521,7
522,4
523,4
524,4
525,3
526,2
527,4
528,4
529,4
530,2
531,4
532,4
533,4
534,7
535,4
536,2
537,2
538,2
539,3
540,4
541,7
542,7
543,4
544,4
545,4
546,2
547,4
548,4
549,4
550,7
551,4
552,2
553,4
554,4
555,4
556,7
557,2
558,4
559,4
560,4
561,4
562,4
563,7
564,4
565,4
566,4
567,4
568,2
569,4
570,4
571,4
572,4
573,4
574,4
575,4
576,4
577,4
578,4
579,3
580,7
581,4
582,4
583,4
584,2
585,2
586,2
587,2
588,7
589,4
590,4
591,4
592,4
593,4
594,4
595,7
596,4
597,4
598,4
599,4
600,4
601,4
602,7
603,4
604,2
605,2
606,2
607,7
608,7
609,2
610,2
611,2
612,2
613,4
614,2
615,4
616,3
617,7
618,2
619,7
620,2
621,2
622,4
623,4
624,4
625,4
626,7
627,7
628,4
629,2
630,4
631,2
632,4
633,2
634,2
635,2
636,4
637,4
638,4
639,4
640,4
641,4
642,2
643,2
644,2
645,7
646,4
647,4
648,4
649,4
650,4
651,4
652,7
653,4
654,4
655,4
656,4
657,3
658,4
659,4
660,4
661,4
662,4
663,4
664,4
665,7
666,7
667,4
668,4
669,4
670,4
671,4
672,7
673,4
674,4
675,2
