R,vietnamese
1,2
2,4
3,4
4,3
5,3
6,3
7,3
8,4
9,4
10,7
11,3
12,7
13,7
14,3
15,4
16,3
17,4
18,4
19,7
20,3
21,2
22,2
23,7
24,3
25,2
26,2
27,7
28,3
29,3
30,3
31,3
32,2
33,7
34,7
35,3
36,3
37,7
38,7
39,4
40,2
41,7
42,3
43,4
44,4
45,4
46,7
47,2
48,2
49,7
50,7
51,3
52,7
53,7
54,7
55,2
56,2
57,2
58,4
59,3
60,2
61,3
62,4
63,4
64,7
65,4
66,4
67,2
68,2
69,4
70,4
71,4
72,2
73,2
74,2
75,4
76,3
77,7
78,3
79,4
80,4
81,4
82,4
83,4
84,4
85,2
86,3
87,3
88,3
89,2
90,4
91,3
92,2
93,2
94,2
95,3
96,7
97,3
98,3
99,4
100,7
101,3
102,7
103,4
104,3
105,4
106,3
107,2
108,3
109,7
110,7
111,2
112,2
113,4
114,7
115,7
116,7
117,4
118,4
119,4
120,4
121,3
122,3
123,3
124,4
125,4
126,2
127,7
128,7
129,4
130,7
131,4
132,4
133,4
134,2
135,2
136,3
137,3
138,7
139,2
140,2
141,2
142,2
143,3
144,3
145,2
146,2
147,2
148,2
149,2
150,2
151,2
152,2
153,2
154,3
155,3
156,4
157,4
158,3
159,3
160,3
161,2
162,3
163,4
164,4
165,4
166,4
167,3
168,4
169,4
170,7
171,4
172,2
173,3
174,2
175,2
176,2
177,2
178,2
179,7
180,7
181,3
182,3
183,3
184,3
185,3
186,7
187,7
188,4
189,3
190,7
191,3
192,3
193,3
194,2
195,2
196,2
197,7
198,7
199,4
200,7
201,3
202,3
203,7
204,7
205,7
206,4
207,4
208,2
209,3
210,7
211,2
212,4
213,2
214,3
215,2
216,2
217,2
218,2
219,4
220,3
221,2
222,3
223,2
224,3
225,7
226,7
227,7
228,7
229,3
230,4
231,4
232,4
233,4
234,2
235,7
236,2
237,4
238,4
239,4
240,4
241,4
242,3
243,3
244,4
245,3
246,7
247,4
248,2
249,3
250,4
251,3
252,4
253,4
254,4
255,3
256,3
257,4
258,3
259,4
260,4
261,4
262,4
263,2
264,4
265,4
266,7
267,3
268,2
269,3
270,7
271,2
272,7
273,3
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,4
282,4
283,4
284,4
285,2
286,3
287,2
288,2
289,7
290,2
291,2
292,4
293,4
294,4
295,7
296,3
297,4
298,2
299,7
300,7
301,7
302,3
303,7
304,3
305,4
306,3
307,7
308,3
309,4
310,3
311,7
312,4
313,7
314,4
315,4
316,4
317,7
318,4
319,4
320,3
321,4
322,4
323,7
324,4
325,3
326,4
327,2
328,3
329,2
330,3
331,2
332,3
333,4
334,3
335,4
336,7
337,3
338,2
339,3
340,4
341,2
342,2
343,7
344,4
345,2
346,4
347,2
348,7
349,2
350,7
351,2
352,2
353,7
354,7
355,4
356,4
357,4
358,4
359,3
360,7
361,2
362,4
363,4
364,7
365,4
366,3
367,4
368,2
369,4
370,2
371,4
372,7
373,4
374,4
375,4
376,7
377,4
378,4
379,4
380,4
381,4
382,2
383,4
384,4
385,4
386,3
387,3
388,4
389,2
390,2
391,3
392,2
393,4
394,4
395,4
396,2
397,2
398,4
399,2
400,3
401,4
402,4
403,4
404,4
405,4
406,7
407,4
408,4
409,4
410,2
411,4
412,4
413,2
414,2
415,2
416,2
417,4
418,4
419,3
420,4
421,3
422,4
423,4
424,4
425,4
426,3
427,2
428,3
429,4
430,4
431,2
432,4
433,4
434,3
435,7
436,4
437,4
438,3
439,4
440,2
441,4
442,3
443,4
444,4
445,4
446,2
447,7
448,3
449,4
450,4
451,3
452,7
453,7
454,2
455,4
456,4
457,2
458,2
459,3
460,4
461,4
462,4
463,2
464,7
465,3
466,2
467,2
468,2
469,4
470,4
471,4
472,4
473,4
474,3
475,4
476,7
477,4
478,7
479,4
480,4
481,4
482,4
483,2
484,2
485,2
486,3
487,7
488,3
489,4
490,3
491,4
492,7
493,7
494,7
495,4
496,4
497,4
498,4
499,4
500,4
501,7
502,4
503,4
504,4
505,2
506,7
507,4
508,4
509,4
510,7
511,4
512,4
513,4
514,7
515,4
516,4
517,7
518,4
519,2
520,3
521,4
522,4
523,4
524,4
525,2
526,4
527,3
528,4
529,4
530,7
531,4
532,4
533,4
534,4
535,4
536,2
537,3
538,3
539,4
540,4
541,2
542,3
543,4
544,4
545,4
546,3
547,4
548,4
549,4
550,2
551,2
552,2
553,4
554,4
555,4
556,3
557,3
558,4
559,4
560,7
561,4
562,4
563,3
564,7
565,4
566,4
567,4
568,4
569,4
570,3
571,2
572,4
573,4
574,4
575,4
576,3
577,4
578,4
579,7
580,7
581,4
582,3
583,2
584,2
585,2
586,4
587,2
588,4
589,4
590,4
591,4
592,3
593,4
594,4
595,4
596,7
597,4
598,3
599,4
600,4
601,4
602,2
603,4
604,2
605,3
606,3
607,3
608,4
609,2
610,3
611,4
612,4
613,4
614,7
615,4
616,4
617,3
618,4
619,3
620,3
621,2
622,4
623,4
624,2
625,3
626,4
627,3
628,3
629,3
630,4
631,4
632,7
633,2
634,2
635,2
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,3
645,3
646,4
647,4
648,4
649,4
650,4
651,4
652,2
653,2
654,4
655,4
656,4
657,3
658,4
659,4
660,7
661,4
662,4
663,4
664,4
665,4
666,4
667,4
668,4
669,4
670,3
671,3
672,4
673,4
674,4
675,2
676,7
677,4
678,2
679,2
680,4
681,4
682,3
683,7
684,2
685,3
686,4
687,4
688,4
689,3
690,4
691,4
692,7
693,4
694,4
695,2
696,4
697,3
698,3
699,7
700,4
701,4
702,4
703,3
704,4
705,4
706,4
707,4
708,4
709,4
710,4
711,4
712,4
713,2
714,2
715,4
716,4
717,4
718,3
719,4
720,3
721,3
722,4
723,4
724,4
725,4
726,4
727,7
728,3
729,2
730,3
731,2
732,2
733,4
734,7
735,3
736,4
737,2
738,3
739,4
740,4
741,4
742,4
743,4
744,4
745,2
746,2
747,3
748,4
749,4
750,4
751,3
752,4
753,7
754,4
755,4
756,7
757,4
758,4
759,4
760,7
761,4
762,4
763,4
764,4
765,3
766,3
767,3
768,4
769,2
770,3
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,3
780,3
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,2
789,4
790,4
791,7
792,2
793,4
794,3
795,4
796,4
797,3
798,3
799,4
800,7
801,4
802,4
803,4
804,3
805,7
806,3
807,4
808,2
809,4
810,2
811,2
812,2
813,1
814,4
815,4
816,4
817,3
818,4
819,4
820,7
821,3
822,3
823,4
824,4
825,7
826,4
827,4
828,2
829,4
830,3
831,3
832,3
833,2
834,4
835,4
836,3
837,4
838,3
839,4
840,4
841,4
842,3
843,4
844,3
845,3
846,2
847,4
848,2
849,3
850,4
851,4
852,4
853,4
854,4
855,7
856,3
857,2
858,4
859,4
860,4
861,4
862,4
863,4
864,4
865,3
866,2
867,4
868,4
869,4
870,4
871,2
872,4
873,4
874,3
875,4
876,3
877,3
878,4
879,4
880,2
881,2
882,4
883,4
884,2
885,4
886,2
887,4
888,2
889,2
890,4
891,4
892,4
893,4
894,4
895,4
896,7
897,4
898,3
899,4
900,2
901,4
902,2
903,2
904,2
905,3
906,2
907,3
908,4
909,2
910,2
911,3
912,4
913,2
914,4
915,4
916,7
917,3
918,4
919,2
920,4
921,3
922,4
923,4
924,7
925,4
926,2
927,4
928,4
929,3
930,2
931,4
932,2
933,4
934,2
935,7
936,4
937,4
938,4
939,2
940,2
941,7
942,2
943,2
944,4
