R,french
1,3
2,2
3,3
4,4
5,3
6,3
7,9
8,9
9,9
10,4
11,3
12,9
13,3
14,3
15,2
16,3
17,5
18,4
19,3
20,4
21,3
22,4
23,5
24,9
25,3
26,9
27,2
28,2
29,3
30,4
31,3
32,2
33,9
34,4
35,3
36,5
37,3
38,9
39,5
40,4
41,9
42,4
43,5
44,3
45,5
46,2
47,2
48,9
49,3
50,2
51,4
52,2
53,3
54,3
55,4
56,9
57,9
58,2
59,5
60,3
61,2
62,5
63,3
64,3
65,2
66,3
67,4
68,4
69,5
70,5
71,4
72,5
73,9
74,9
75,4
76,3
77,2
78,3
79,4
80,5
81,4
82,9
83,2
84,4
85,4
86,2
87,4
88,9
89,9
90,2
91,2
92,3
93,9
94,9
95,5
96,9
97,5
98,3
99,2
100,2
101,4
102,2
103,3
104,3
105,9
106,2
107,9
108,4
109,3
110,9
111,9
112,9
113,3
114,2
115,2
116,2
117,1
118,2
119,5
120,2
121,2
122,9
123,4
124,5
125,5
126,5
127,4
128,4
129,4
130,2
131,2
132,4
133,5
134,5
135,5
136,3
137,4
138,2
139,5
140,4
141,4
142,4
143,9
144,4
145,4
146,5
147,9
148,5
149,4
150,5
151,4
152,5
153,5
154,9
155,2
156,2
157,5
158,9
159,9
160,4
161,9
162,4
163,9
164,5
165,5
166,9
167,4
168,2
169,2
170,2
171,5
172,5
173,2
174,5
175,5
176,5
177,9
178,3
179,4
180,4
181,4
182,3
183,9
184,3
185,4
186,3
187,2
188,9
189,4
190,4
191,5
192,5
193,4
194,9
195,4
196,3
197,9
198,3
199,4
200,2
201,3
202,4
203,3
204,2
205,2
206,5
207,9
208,9
209,3
210,3
211,4
212,9
213,5
214,2
215,5
216,5
217,5
218,5
219,9
220,5
221,5
222,4
223,4
224,3
225,3
226,4
227,2
228,4
229,4
230,5
231,2
232,2
233,3
234,9
235,2
236,4
237,3
238,4
239,9
240,5
241,5
242,4
243,3
244,3
245,2
246,2
247,3
248,3
249,3
250,5
251,5
252,5
253,9
254,4
255,3
256,4
257,5
258,2
259,5
260,5
261,4
262,5
263,5
264,4
265,2
266,9
267,4
268,5
269,3
270,3
271,2
272,3
273,5
274,2
275,5
276,5
277,2
278,2
279,5
280,4
281,4
282,5
283,9
284,5
285,3
286,9
287,4
288,5
289,9
290,4
291,5
292,2
293,4
294,4
295,9
296,4
297,2
298,3
299,2
300,3
301,4
302,3
303,2
304,3
305,4
306,2
307,3
308,5
309,3
310,2
311,3
312,2
313,9
314,2
315,4
316,2
317,3
318,5
319,5
320,9
321,5
322,4
323,2
324,3
325,2
326,2
327,5
328,9
329,5
330,4
331,5
332,2
333,2
334,3
335,5
336,3
337,9
338,3
339,5
340,2
341,9
342,5
343,4
344,2
345,4
346,5
347,9
348,2
349,5
350,5
351,5
352,9
353,2
354,2
355,3
356,3
357,3
358,3
359,2
360,2
361,4
362,4
363,4
364,2
365,4
366,9
367,4
368,9
369,4
370,3
371,4
372,3
373,3
374,4
375,3
376,3
377,5
378,9
379,3
380,4
381,3
382,3
383,4
384,5
385,4
386,3
387,2
388,2
389,2
390,4
391,9
392,5
393,3
394,3
395,2
396,3
397,5
398,5
399,3
400,4
401,4
402,3
403,2
404,2
405,2
406,2
407,5
408,5
409,5
410,5
411,2
412,5
413,2
414,4
