R,cajun_creole
1,3
2,9
3,3
4,3
5,3
6,3
7,2
8,9
9,4
10,3
11,2
12,4
13,3
14,2
15,2
16,3
17,9
18,2
19,3
20,2
21,2
22,3
23,4
24,2
25,2
26,4
27,2
28,2
29,3
30,5
31,2
32,9
33,5
34,2
35,2
36,5
37,3
38,3
39,5
40,3
41,9
42,2
43,5
44,9
45,5
46,2
47,9
48,5
49,9
50,3
51,4
52,2
53,3
54,3
55,2
56,9
57,3
58,2
59,5
60,9
61,3
62,3
63,5
64,2
65,9
66,9
67,9
68,9
69,3
70,4
71,9
72,3
73,4
74,4
75,2
76,9
77,9
78,3
79,2
80,2
81,2
82,9
83,3
84,2
85,2
86,3
87,2
88,5
89,4
90,2
91,9
92,2
93,4
94,3
95,5
96,3
97,3
98,9
99,3
100,5
101,9
102,3
103,3
104,3
105,5
106,3
107,9
108,9
109,3
110,4
111,4
112,4
113,9
114,2
115,2
116,3
117,5
118,9
119,5
120,3
121,3
122,4
123,3
124,5
125,9
126,9
127,9
128,3
129,5
130,2
131,9
132,9
133,5
134,5
135,5
136,2
137,2
138,3
139,5
140,2
141,5
142,9
143,2
144,2
145,9
146,5
147,5
148,5
149,4
150,5
151,2
152,4
153,5
154,9
155,2
156,3
157,3
158,5
159,2
160,2
161,9
162,9
163,2
164,5
165,5
166,4
167,2
168,2
169,3
170,3
171,5
172,5
173,3
174,5
175,5
176,9
177,3
178,3
179,2
180,2
181,9
182,2
183,3
184,2
185,3
186,3
187,2
188,9
189,2
190,2
191,5
192,5
193,5
194,9
195,3
196,9
197,4
198,9
199,5
200,3
201,3
202,2
203,9
204,2
205,2
206,1
207,2
208,3
209,2
210,2
211,2
212,2
213,5
214,5
215,5
216,5
217,4
218,5
219,9
220,5
221,5
222,3
223,2
224,9
225,2
226,2
227,2
228,2
229,2
230,2
231,3
232,2
233,5
234,5
235,2
236,5
237,2
238,9
239,2
240,5
241,3
242,2
243,2
244,9
245,3
246,2
247,2
248,3
249,3
250,2
251,2
252,2
253,9
254,5
255,9
256,3
257,9
258,9
259,5
260,9
261,2
262,9
263,9
264,9
265,9
266,4
267,4
268,4
269,2
270,3
271,3
272,2
273,5
274,5
275,5
276,3
277,9
278,9
279,9
280,2
281,3
282,2
283,2
284,2
285,9
286,5
287,3
288,5
289,5
290,4
291,4
292,3
293,5
294,3
295,3
296,3
297,9
298,3
299,3
300,2
301,3
302,9
303,3
304,2
305,5
306,2
307,2
308,5
309,5
310,3
311,3
312,2
313,3
314,2
315,5
316,5
317,3
318,5
319,5
320,2
321,5
322,4
323,4
324,9
325,9
326,9
327,5
328,5
329,5
330,5
331,5
332,3
333,9
334,9
335,4
336,2
337,4
338,2
339,5
340,2
341,4
342,9
343,2
344,3
345,3
346,5
347,4
348,9
349,3
350,5
351,9
352,4
353,2
354,9
355,5
356,5
357,9
358,5
359,3
360,3
361,3
362,5
363,5
364,2
365,5
366,3
367,5
368,9
369,9
370,3
371,5
372,3
373,9
374,4
375,2
376,9
377,3
378,9
379,2
380,9
381,4
382,3
383,5
384,5
385,9
386,2
387,5
388,9
389,9
390,9
391,3
392,5
393,9
394,2
395,3
396,3
397,3
398,2
399,2
400,3
401,3
402,2
403,3
404,5
405,5
406,9
407,5
408,5
409,5
410,4
411,5
412,5
413,3
414,4
415,5
416,9
417,9
418,3
419,2
420,5
421,3
422,5
423,9
424,3
425,5
426,9
427,2
428,2
429,2
430,3
431,3
432,3
433,2
434,9
435,3
436,2
437,5
438,5
439,9
440,5
441,2
442,3
443,5
444,5
445,5
446,2
447,3
448,9
449,9
450,5
451,2
452,3
453,2
454,9
455,2
456,2
457,5
458,5
459,2
460,9
461,5
462,2
463,2
464,3
465,3
466,5
467,5
468,5
469,9
470,9
471,5
472,2
473,9
474,9
475,2
476,2
477,9
478,2
479,9
480,5
481,9
482,5
483,3
484,9
485,5
486,5
487,2
488,5
489,9
490,3
491,3
492,2
493,2
494,3
495,2
496,5
497,5
498,5
499,5
500,5
501,9
502,2
503,5
504,9
505,5
506,2
507,3
508,5
509,5
510,3
511,3
512,5
513,5
514,5
515,5
516,5
517,9
518,5
519,9
520,9
521,9
522,9
523,9
524,3
525,4
526,2
527,5
528,2
529,3
530,3
531,9
532,5
533,5
534,3
535,3
536,5
537,5
538,2
539,4
540,5
541,3
542,5
543,3
544,5
545,9
546,5
547,5
548,5
549,5
550,5
551,9
552,9
553,9
554,5
555,5
556,3
557,9
558,9
559,9
560,9
561,5
562,5
563,9
564,3
565,5
566,5
567,3
568,5
569,5
570,5
571,9
572,5
573,5
574,5
575,5
576,9
577,9
578,2
579,2
580,2
581,5
582,5
583,5
584,5
585,5
586,9
587,5
588,5
589,5
590,5
591,5
592,5
593,5
594,3
595,2
596,9
597,5
598,5
599,5
600,5
601,5
602,9
603,5
604,9
605,3
606,5
607,9
608,2
609,5
610,3
611,5
612,5
613,5
614,5
615,5
616,3
617,5
618,3
619,2
620,9
621,5
622,3
623,2
624,5
625,2
626,9
627,9
628,9
629,5
630,4
631,5
632,2
633,5
634,9
635,9
636,3
637,2
638,5
639,5
640,5
641,5
642,5
643,9
644,5
645,3
646,2
647,4
648,9
649,5
650,9
651,5
652,5
653,9
654,5
655,3
656,5
657,2
658,9
659,2
660,5
661,9
662,5
663,2
664,3
665,3
666,5
667,5
668,5
669,5
670,5
671,9
672,4
673,3
674,3
675,3
676,9
677,3
678,3
679,4
680,5
681,5
682,5
683,2
684,3
685,5
686,5
687,5
688,5
689,9
690,5
691,5
692,2
693,3
694,5
695,2
696,5
697,2
698,5
699,9
700,5
701,3
702,5
703,5
704,5
705,5
706,3
707,2
708,5
709,5
710,5
711,9
712,3
713,3
714,5
715,9
716,2
717,2
718,2
719,2
720,9
721,9
722,5
723,5
724,9
725,5
726,2
727,9
728,3
729,5
730,2
731,5
732,3
733,5
734,2
735,2
736,5
737,9
738,5
739,3
740,9
741,3
742,9
743,2
744,5
745,5
746,5
747,9
748,9
749,2
750,3
751,2
752,9
753,9
754,5
755,5
756,3
757,5
758,3
759,5
760,9
761,5
762,2
763,9
764,5
765,3
766,3
767,9
768,9
769,9
770,5
771,5
772,3
773,3
774,2
775,5
776,2
777,5
778,2
779,5
780,5
781,5
782,9
783,5
784,5
785,2
786,2
787,9
788,3
789,5
790,5
791,2
792,9
793,5
794,3
795,5
796,5
797,5
798,9
799,5
800,3
801,2
802,3
803,5
804,5
805,3
806,9
807,5
808,5
809,5
810,5
811,5
812,5
813,5
814,5
815,5
816,2
817,5
818,5
819,5
820,5
821,3
822,5
823,5
824,3
825,3
826,5
827,9
828,5
829,2
830,5
831,5
832,5
833,9
834,5
835,3
836,2
837,5
838,2
839,9
840,5
841,5
842,5
843,5
844,3
845,5
846,9
847,5
848,5
849,9
850,2
851,9
852,3
853,5
854,9
855,9
856,5
857,2
858,5
859,3
860,3
861,3
862,5
863,5
864,3
865,5
866,2
867,5
868,3
869,3
870,5
871,3
872,5
873,2
874,2
875,5
876,5
877,5
878,5
879,5
880,2
881,2
882,4
883,5
884,3
885,3
886,9
887,3
888,5
889,9
890,2
891,5
892,2
893,3
894,9
895,9
896,3
897,3
898,3
899,9
900,5
901,5
902,5
903,5
904,5
905,3
906,3
907,2
908,2
909,5
910,9
911,5
912,3
913,5
914,5
915,5
916,5
917,9
918,5
919,5
920,5
921,5
922,5
923,2
924,2
925,2
926,3
927,9
928,5
929,2
930,5
931,5
932,2
933,5
934,9
935,9
936,2
937,5
938,5
939,5
940,9
941,3
942,3
943,2
944,2
945,9
946,3
947,5
948,5
949,5
950,3
951,5
952,9
953,5
954,2
955,5
956,5
957,5
958,2
959,9
960,2
961,3
962,3
963,3
964,5
965,2
966,2
967,2
968,3
969,9
970,9
971,5
972,9
973,9
974,5
975,9
976,5
977,5
978,5
979,9
980,9
981,5
982,5
983,9
984,5
985,5
986,5
987,5
988,5
989,3
990,5
991,5
992,5
993,9
994,5
995,5
996,9
997,3
998,3
999,5
1000,9
