R,mexican
1,2
2,2
3,2
4,3
5,3
6,2
7,2
8,3
9,4
10,11
11,2
12,5
13,2
14,3
15,11
16,3
17,3
18,3
19,3
20,3
21,2
22,4
23,2
24,2
25,2
26,11
27,3
28,6
29,3
30,3
31,3
32,4
33,11
34,2
35,3
36,5
37,4
38,2
39,4
40,3
41,2
42,3
43,6
44,6
45,11
46,3
47,4
48,5
49,3
50,4
51,11
52,4
53,3
54,3
55,3
56,2
57,2
58,11
59,2
60,3
61,3
62,2
63,6
64,3
65,4
66,11
67,2
68,3
69,2
70,2
71,2
72,2
73,2
74,2
75,2
76,11
77,3
78,2
79,3
80,2
81,2
82,2
83,4
84,11
85,2
86,4
87,11
88,11
89,11
90,4
91,4
92,11
93,5
94,3
95,6
96,2
97,3
98,4
99,4
100,4
101,11
102,4
103,6
104,3
105,2
106,3
107,2
108,3
109,2
110,2
111,2
112,2
113,6
114,4
115,3
116,4
117,6
118,4
119,6
120,3
121,2
122,11
123,3
124,6
125,11
126,3
127,3
128,3
129,3
130,4
131,11
132,11
133,3
134,11
135,5
136,2
137,2
138,3
139,6
140,2
141,11
142,2
143,3
144,2
145,3
146,5
147,5
148,11
149,4
150,6
151,2
152,6
153,6
154,2
155,4
156,4
157,11
158,3
159,2
160,2
161,4
162,4
163,2
164,11
165,6
166,5
167,11
168,4
169,2
170,11
171,6
172,5
173,4
174,6
175,6
176,4
177,3
178,4
179,2
180,3
181,2
182,3
183,2
184,4
185,11
186,11
187,4
188,11
189,2
190,2
191,4
192,6
193,4
194,2
195,3
196,4
197,2
198,2
199,3
200,4
201,3
202,2
203,3
204,3
205,4
206,5
207,11
208,4
209,4
210,3
211,3
212,2
213,11
214,11
215,6
216,5
217,2
218,6
219,2
220,11
221,6
222,3
223,2
224,3
225,4
226,2
227,4
228,3
229,2
230,11
231,6
232,4
233,11
234,6
235,3
236,11
237,2
238,2
239,4
240,2
241,6
242,11
243,3
244,4
245,3
246,3
247,11
248,4
249,3
250,6
251,11
252,6
253,3
254,11
255,2
256,4
257,4
258,11
259,1
260,2
261,2
262,2
263,2
264,2
265,11
266,3
267,11
268,2
