R,brazilian
1,4
2,4
3,4
4,2
5,2
6,7
7,7
8,4
9,4
10,4
11,7
12,2
13,2
14,2
15,7
16,2
17,4
18,7
19,2
20,2
21,2
22,2
23,7
24,7
25,2
26,3
27,2
28,4
29,2
30,4
31,2
32,7
33,4
34,2
35,2
36,4
37,7
38,3
39,4
40,2
41,2
42,7
43,3
44,4
45,4
46,2
47,2
48,3
49,7
50,2
51,7
52,2
53,2
54,2
55,2
56,2
57,2
58,2
59,2
60,2
61,2
62,2
63,4
64,2
65,4
66,4
67,4
68,7
69,4
70,3
71,7
72,4
73,2
74,7
75,2
76,4
77,7
78,2
79,2
80,4
81,7
82,7
83,2
84,4
85,2
86,4
87,2
88,3
89,2
90,4
91,7
92,4
93,4
94,7
95,4
96,4
97,2
98,7
99,2
100,7
101,4
102,7
103,4
104,2
105,7
106,4
107,2
108,2
109,7
110,7
111,2
112,7
113,4
114,2
115,7
116,4
117,4
118,2
119,4
120,7
121,3
122,7
123,7
124,4
125,4
126,7
127,7
128,2
129,4
130,3
131,2
132,4
133,4
134,4
135,4
136,2
137,7
138,4
139,7
140,4
141,4
142,2
143,2
144,2
145,7
146,2
147,4
148,4
149,3
150,7
151,2
152,4
153,4
154,7
155,4
156,4
157,4
158,3
159,2
160,4
161,4
162,4
163,2
164,4
165,4
166,4
167,4
168,3
169,2
170,4
171,4
172,4
173,7
174,4
175,4
176,7
177,4
178,4
179,7
180,2
181,2
182,7
183,2
184,4
185,7
186,7
187,7
188,4
189,3
190,2
191,4
192,4
193,2
194,4
195,4
196,2
197,4
198,7
199,4
200,2
201,7
202,2
203,7
204,2
205,2
206,7
207,4
208,3
209,3
210,2
211,2
212,3
213,4
214,4
215,4
216,3
217,2
218,4
219,7
220,4
221,4
222,2
223,2
224,2
225,4
226,2
227,2
228,3
229,2
230,4
231,4
232,4
233,7
234,4
235,3
236,7
237,7
238,3
239,2
240,4
241,2
242,2
243,2
244,4
245,7
246,2
247,2
248,7
249,7
250,4
251,4
252,4
253,7
254,4
255,2
256,2
257,2
258,2
259,4
260,4
261,2
262,2
263,4
264,7
265,2
266,4
267,3
268,7
269,7
270,4
271,4
272,7
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,3
282,4
283,7
284,4
285,4
286,4
287,7
288,4
289,4
290,4
291,4
292,7
293,4
294,4
295,7
296,3
297,2
298,4
299,7
300,2
301,7
302,7
303,2
304,2
305,4
306,2
307,2
308,4
309,2
310,2
311,4
312,7
313,7
314,7
315,4
316,4
317,7
318,4
319,4
320,2
321,4
322,4
323,7
324,4
325,7
326,7
327,3
328,2
329,4
330,2
331,4
332,4
333,4
334,4
335,4
336,2
337,7
338,7
339,4
340,7
341,7
342,4
343,2
344,4
345,7
346,4
347,2
348,4
349,7
350,4
351,4
352,4
353,7
354,7
355,4
356,2
357,4
358,4
359,7
360,7
361,7
362,4
363,7
364,7
365,4
366,7
367,4
368,3
369,4
370,2
371,4
372,7
