R,southern_us
1,4
2,9
3,3
4,4
5,3
6,3
7,2
8,9
9,9
10,4
11,2
12,9
13,4
14,3
15,3
16,2
17,2
18,2
19,2
20,3
21,2
22,4
23,9
24,2
25,3
26,9
27,2
28,3
29,3
30,4
31,3
32,4
33,5
34,2
35,3
36,9
37,2
38,4
39,5
40,3
41,4
42,3
43,9
44,9
45,5
46,3
47,2
48,9
49,2
50,2
51,3
52,2
53,2
54,4
55,3
56,9
57,3
58,4
59,9
60,2
61,3
62,5
63,5
64,2
65,2
66,3
67,3
68,3
69,4
70,9
71,2
72,4
73,9
74,4
75,9
76,4
77,4
78,3
79,2
80,9
81,4
82,2
83,3
84,4
85,3
86,9
87,3
88,9
89,9
90,2
91,3
92,3
93,9
94,4
95,5
96,9
97,3
98,3
99,4
100,4
101,3
102,3
103,5
104,4
105,4
106,3
107,9
108,9
109,4
110,9
111,9
112,9
113,4
114,2
115,3
116,2
117,4
118,2
119,5
120,2
121,3
122,9
123,4
124,5
125,5
126,9
127,9
128,2
129,9
130,2
131,3
132,4
133,4
134,5
135,9
136,3
137,2
138,3
139,9
140,3
141,5
142,4
143,3
144,4
145,5
146,4
147,9
148,3
149,4
150,5
151,4
152,5
153,5
154,9
155,3
156,3
157,2
158,9
159,4
160,9
161,5
162,9
163,4
164,4
165,5
166,5
167,9
168,9
169,5
170,3
171,5
172,9
173,2
174,9
175,9
176,2
177,3
178,3
179,4
180,2
181,9
182,4
183,4
184,4
185,4
186,4
187,2
188,9
189,3
190,3
191,5
192,5
193,2
194,4
195,9
196,4
197,9
198,3
199,2
200,2
201,2
202,2
203,4
204,2
205,3
206,2
207,2
208,2
209,2
210,2
211,2
212,2
213,5
214,2
215,5
216,5
217,9
218,5
219,4
220,5
221,5
222,9
223,3
224,2
225,4
226,4
227,3
228,2
229,2
230,2
231,2
232,4
233,3
234,5
235,3
236,9
237,2
238,3
239,2
240,9
241,2
242,2
243,3
244,2
245,2
246,3
247,2
248,2
249,4
250,3
251,9
252,4
253,9
254,5
255,2
256,2
257,5
258,2
259,9
260,9
261,3
262,4
263,4
264,3
265,4
266,9
267,4
268,9
269,2
270,3
271,3
272,3
273,3
274,3
275,2
276,2
277,4
278,5
279,2
280,2
281,2
282,3
283,2
284,2
285,5
286,5
287,3
288,5
289,5
290,4
291,9
292,2
293,2
294,2
295,4
296,3
297,9
298,4
299,4
300,3
301,2
302,2
303,2
304,3
305,9
306,3
307,2
308,9
309,4
310,2
311,3
312,3
313,9
314,2
315,5
316,2
317,3
318,5
319,5
320,3
321,9
322,5
323,4
324,4
325,4
326,3
327,5
328,4
329,5
330,5
331,5
332,2
333,4
334,3
335,9
336,4
337,9
338,2
339,5
340,2
341,9
342,5
343,9
344,3
345,3
346,5
347,9
348,9
349,4
350,5
351,2
352,9
353,2
354,3
355,3
356,4
357,2
358,2
359,2
360,2
361,2
362,5
363,9
364,2
365,5
366,2
367,5
368,4
369,9
370,3
371,4
372,2
373,5
374,4
375,3
376,3
377,4
378,9
379,4
380,9
381,9
382,3
383,5
384,9
385,5
386,2
387,5
388,9
389,4
390,2
391,2
392,5
393,4
394,2
395,3
396,5
397,2
398,2
399,4
400,2
401,2
402,3
403,3
404,5
405,3
406,2
407,5
408,4
409,9
410,9
411,5
412,3
413,4
414,4
415,5
416,9
417,3
418,5
419,2
420,4
421,2
422,5
423,3
424,2
425,4
426,9
427,3
428,3
429,2
430,2
431,2
432,2
433,3
434,3
435,2
436,2
437,9
438,3
439,5
440,4
441,4
442,4
443,4
444,4
445,9
446,2
447,9
448,4
449,9
450,5
451,3
452,3
453,4
454,4
455,2
456,2
457,9
458,4
459,2
460,5
461,2
462,2
463,3
464,3
465,4
466,9
467,9
468,9
469,3
470,5
471,3
472,2
473,2
474,4
475,2
476,2
477,3
478,2
479,3
480,9
481,3
482,4
483,2
484,9
485,5
486,5
487,3
488,5
489,9
490,5
491,3
492,3
493,3
494,3
495,9
496,9
497,5
498,9
499,5
500,5
501,2
502,2
503,5
504,3
505,4
506,3
507,5
508,5
509,5
510,2
511,9
512,2
513,2
514,3
515,4
516,9
517,9
518,4
519,9
520,5
521,3
522,9
523,3
524,4
525,9
526,4
527,2
528,3
529,3
530,4
531,9
532,5
533,5
534,2
535,2
536,5
537,3
538,2
539,9
540,5
541,2
542,3
543,9
544,4
545,4
546,5
547,9
548,5
549,5
550,5
551,4
552,9
553,3
554,5
555,3
556,2
557,9
558,5
559,5
560,4
561,3
562,4
563,2
564,2
565,4
566,4
567,9
568,9
569,5
570,5
571,5
572,4
573,2
574,2
575,2
576,9
577,9
578,3
579,2
580,2
581,5
582,5
583,5
584,5
585,5
586,9
587,5
588,9
589,4
590,5
591,5
592,4
593,3
594,9
595,2
596,2
597,5
598,9
599,5
600,5
601,5
602,4
603,4
604,5
605,3
606,3
607,2
608,2
609,5
610,3
611,4
612,5
613,9
614,4
615,9
616,4
617,5
618,5
619,3
620,5
621,9
622,3
623,3
624,5
625,4
626,5
627,3
628,3
629,5
630,4
631,4
632,3
633,5
634,5
635,3
636,5
637,3
638,9
639,4
640,5
641,3
642,5
643,5
644,5
645,4
646,4
647,4
648,4
649,5
650,4
651,5
652,5
653,9
654,2
655,2
656,3
657,3
658,5
659,5
660,4
661,5
662,5
663,5
664,3
665,3
666,5
667,5
668,5
669,9
670,5
671,2
672,5
673,4
674,9
675,3
676,4
677,4
678,3
679,4
680,4
681,3
682,9
683,2
684,3
685,9
686,5
687,5
688,9
689,3
690,9
691,5
692,2
693,2
694,5
695,9
696,5
697,4
698,4
699,2
700,2
701,2
702,5
703,5
704,9
705,5
706,5
707,4
708,5
709,9
710,5
711,5
712,4
713,3
714,5
715,9
716,2
717,2
718,2
719,2
720,4
721,2
722,2
723,4
724,2
725,5
726,2
727,5
728,9
729,5
730,4
731,5
732,4
733,9
734,4
735,3
736,3
737,4
738,4
739,2
740,5
741,9
742,4
743,3
744,4
745,5
746,4
747,4
748,5
749,4
750,4
751,3
752,3
753,9
754,5
755,4
756,3
757,5
758,5
759,5
760,4
761,9
762,2
763,4
764,4
765,9
766,2
767,9
768,4
769,9
770,9
771,3
772,4
773,3
774,9
775,9
776,4
777,9
778,4
779,5
780,5
781,5
782,9
783,4
784,2
785,1
786,2
787,2
788,4
789,2
790,2
791,3
792,3
793,5
794,2
795,4
796,4
797,9
798,3
799,4
800,2
801,2
802,3
803,5
804,5
805,4
806,9
807,5
808,9
809,5
810,5
811,9
812,3
813,5
814,5
815,5
816,4
817,9
818,5
819,5
820,5
821,2
822,4
823,5
824,4
825,2
826,5
827,9
828,5
829,3
830,5
831,5
832,5
833,9
834,3
835,2
836,2
837,4
838,3
839,3
840,3
841,5
842,9
843,5
844,5
845,3
846,9
847,3
848,9
849,9
850,2
851,2
852,5
853,9
854,4
855,9
856,5
857,3
858,5
859,2
860,4
861,3
862,4
863,5
864,3
865,5
866,3
867,5
868,3
869,5
870,5
871,4
872,3
