R,thai
1,2
2,5
3,9
4,3
5,9
6,3
7,3
8,9
9,5
10,9
11,3
12,4
13,9
14,9
15,5
16,3
17,9
18,5
19,9
20,2
21,9
22,2
23,3
24,9
25,3
26,2
27,9
28,9
29,3
30,3
31,9
32,2
33,3
34,3
35,9
36,3
37,9
38,9
39,5
40,3
41,9
42,2
43,9
44,5
45,5
46,9
47,3
48,2
49,9
50,4
51,3
52,5
53,9
54,9
55,2
56,2
57,3
58,4
59,3
60,3
61,3
62,5
63,5
64,9
65,5
66,5
67,2
68,3
69,5
70,4
71,5
72,3
73,2
74,2
75,9
76,2
77,9
78,3
79,5
80,2
81,4
82,5
83,5
84,5
85,2
86,2
87,5
88,2
89,2
90,5
91,2
92,3
93,2
94,2
95,9
96,3
97,2
98,3
99,5
100,5
101,3
102,9
103,3
104,3
105,5
106,9
107,2
108,2
109,9
110,9
111,2
112,2
113,5
114,9
115,3
116,9
117,5
118,5
119,5
120,9
121,3
122,3
123,2
124,9
125,9
126,2
127,3
128,2
129,5
130,5
131,5
132,5
133,5
134,2
135,2
136,2
137,3
138,3
139,2
140,2
141,3
142,2
143,2
144,2
145,2
146,2
147,3
148,2
149,2
150,2
151,3
152,2
153,2
154,9
155,5
156,5
157,5
158,3
159,2
160,3
161,2
162,2
163,3
164,3
165,1
166,9
167,2
168,5
169,5
170,3
171,2
172,2
173,3
174,2
175,2
176,2
177,3
178,3
179,3
180,9
181,2
182,3
183,3
184,2
185,3
186,4
187,9
188,9
189,3
190,9
191,3
192,5
193,3
194,2
195,3
196,3
197,9
198,9
199,5
200,3
201,3
202,3
203,9
204,4
205,4
206,5
207,5
208,2
209,9
210,3
211,2
212,4
213,2
214,3
215,2
216,2
217,2
218,2
219,3
220,2
221,2
222,3
223,2
224,3
225,5
226,9
227,9
228,9
229,3
230,5
231,5
232,5
233,5
234,3
235,2
236,3
237,9
238,5
239,5
240,9
241,5
242,5
243,2
244,5
245,3
246,9
247,3
248,2
249,3
250,5
251,5
252,5
253,9
254,5
255,3
256,5
257,9
258,9
259,5
260,5
261,9
262,5
263,9
264,5
265,2
266,3
267,2
268,2
269,2
270,3
271,2
272,9
273,3
274,5
275,5
276,5
277,5
278,5
279,5
280,5
281,4
282,5
283,5
284,5
285,3
286,9
287,3
288,2
289,9
290,2
291,2
292,4
293,5
294,5
295,9
296,2
297,2
298,2
299,9
300,9
301,9
302,3
303,9
304,9
305,5
306,9
307,9
308,3
309,5
310,3
311,5
312,9
313,9
314,5
315,5
316,5
317,9
318,5
319,5
320,3
321,9
322,9
323,9
324,5
325,9
326,5
327,2
328,2
329,2
330,9
331,2
332,3
333,3
334,3
335,9
336,9
337,3
338,9
339,5
340,4
341,2
342,2
343,5
344,5
345,5
346,5
347,2
348,3
349,2
350,9
351,9
352,2
353,9
354,4
355,5
356,3
357,5
358,5
359,3
360,9
361,2
362,5
363,5
364,9
365,5
366,9
367,5
368,2
369,9
370,3
371,3
372,9
373,5
374,9
375,5
376,9
377,5
378,5
379,9
380,9
381,9
382,9
383,5
384,5
385,9
386,3
387,3
388,5
389,9
390,9
391,3
392,9
393,3
394,5
395,5
396,3
397,3
398,5
399,2
400,5
401,5
402,5
403,5
404,5
405,5
406,9
407,5
408,5
409,5
410,2
411,5
412,5
413,3
414,9
415,3
416,2
417,5
418,5
419,3
420,5
421,3
422,5
423,5
424,5
425,5
426,2
427,2
428,2
429,5
430,9
431,3
432,5
433,5
434,3
435,9
436,5
437,5
438,5
439,5
440,2
441,5
442,9
443,5
444,5
445,5
446,9
447,3
448,3
449,9
450,5
451,3
452,9
453,9
454,2
455,9
456,9
457,2
458,3
459,5
460,5
461,5
462,9
463,3
464,9
465,3
466,2
467,2
468,2
469,9
470,5
471,9
472,9
473,3
474,5
475,9
476,9
477,9
478,5
479,9
480,5
481,3
482,5
483,2
484,2
485,2
486,3
487,5
488,5
489,4
490,3
491,9
492,2
493,3
494,3
495,3
496,5
497,5
498,9
499,5
500,9
501,9
502,5
503,5
504,9
505,2
506,3
507,3
508,5
509,5
510,9
511,9
512,5
513,5
514,5
515,5
516,5
517,3
518,3
519,2
520,3
521,3
522,5
523,5
524,5
525,2
526,5
527,2
528,5
529,5
530,9
531,5
532,5
533,5
534,3
535,5
536,9
537,5
538,5
539,9
540,5
541,9
542,3
543,5
544,5
545,3
546,2
547,5
548,2
549,2
550,2
551,2
552,2
553,3
554,5
555,5
556,5
557,2
558,3
559,5
560,2
561,5
562,9
563,3
564,9
565,5
566,5
567,5
568,3
569,2
570,2
571,5
572,5
573,5
574,5
575,5
576,9
577,5
578,5
579,9
580,5
581,5
582,3
583,3
584,2
585,2
586,3
587,3
588,3
589,5
590,3
591,5
592,5
593,5
594,5
595,9
596,9
597,5
598,5
599,5
600,5
601,5
602,3
603,5
604,2
605,9
606,9
607,3
608,9
609,2
610,2
611,5
612,9
613,5
614,5
615,5
616,5
617,5
618,5
619,3
620,9
621,2
622,3
623,5
624,5
625,9
626,5
627,2
628,9
629,2
630,3
631,3
632,2
633,2
634,2
635,5
636,5
637,5
638,9
639,5
640,5
641,5
642,3
643,5
644,3
645,2
646,5
647,5
648,5
649,5
650,5
651,5
652,2
653,3
654,5
655,5
656,5
657,2
658,5
659,9
660,5
661,5
662,5
663,9
664,4
665,9
666,5
667,5
668,5
669,5
670,3
671,9
672,9
673,5
674,5
675,2
676,3
677,5
678,3
679,2
680,5
681,9
682,5
683,5
684,2
685,3
686,3
687,5
688,5
689,5
690,9
691,5
692,5
693,5
694,5
695,9
696,9
697,2
698,5
699,5
700,5
701,5
702,5
703,3
704,5
705,5
706,9
707,5
708,5
709,3
710,9
711,5
712,5
713,3
714,5
715,9
716,5
717,5
718,5
719,5
720,2
721,5
722,5
723,2
724,5
725,5
726,9
727,2
728,5
729,2
730,3
731,5
732,3
733,5
734,2
735,2
736,5
737,3
738,9
739,9
740,5
741,5
742,5
743,5
744,5
745,2
746,2
747,3
748,5
749,5
750,5
751,5
752,5
753,5
754,5
755,9
756,3
757,5
758,5
759,5
760,3
761,5
762,5
763,5
764,3
765,5
766,3
767,5
768,5
769,2
770,2
771,5
772,9
773,5
774,9
775,5
776,5
777,5
778,2
779,2
780,3
781,5
782,9
783,9
784,5
785,5
786,5
787,9
788,3
789,5
790,5
791,9
792,2
793,5
794,3
795,9
796,5
797,2
798,3
799,5
800,5
801,9
802,9
803,3
804,9
805,9
806,3
807,5
808,2
809,5
810,2
811,3
812,2
813,2
814,5
815,3
816,2
817,2
818,5
819,5
820,3
821,9
822,3
823,5
824,5
825,9
826,5
827,5
828,2
829,9
830,2
831,2
832,2
833,2
834,9
835,5
836,3
837,5
838,3
839,3
840,9
841,9
842,3
843,5
844,5
845,5
846,2
847,9
848,9
849,2
850,5
851,5
852,5
853,9
854,9
855,3
856,9
857,9
858,5
859,9
860,5
861,5
862,9
863,5
864,3
865,2
866,3
867,5
868,9
869,9
870,5
871,3
872,5
873,5
874,3
875,5
876,2
877,3
878,5
879,5
880,2
881,3
882,9
883,5
884,3
885,5
886,3
887,5
888,5
889,5
890,5
891,5
892,5
893,9
894,5
895,5
896,9
897,5
898,2
899,3
900,3
901,5
902,2
903,2
904,2
905,2
906,2
907,3
908,3
909,5
910,2
911,3
912,5
913,2
914,5
915,9
916,3
917,3
918,3
919,5
920,5
921,3
922,5
923,5
924,2
925,5
926,2
927,5
928,5
929,3
930,2
931,5
932,9
933,5
934,2
935,2
936,5
937,5
938,5
939,3
940,2
941,9
942,2
943,2
944,5
945,5
946,9
947,3
948,2
949,5
950,5
951,5
952,2
953,2
954,3
955,5
956,2
957,3
958,3
959,2
960,5
961,9
962,9
963,5
964,2
965,3
966,9
967,5
968,3
969,9
970,9
971,2
972,2
973,9
974,2
975,3
976,2
977,5
978,5
979,5
980,5
