R,russian
1,4
2,7
3,4
4,7
5,2
6,7
7,7
8,4
9,4
10,2
11,7
12,2
13,2
14,2
15,2
16,2
17,4
18,4
19,2
20,2
21,2
22,7
23,4
24,7
25,7
26,3
27,2
28,4
29,2
30,4
31,2
32,7
33,4
34,7
35,2
36,4
37,2
38,7
39,2
40,2
41,7
42,4
43,4
44,4
45,4
46,2
47,2
48,4
49,2
50,2
51,7
52,2
53,2
54,2
55,7
56,7
57,3
58,2
59,4
60,2
61,7
62,4
63,4
64,2
65,2
66,2
67,4
68,2
69,4
70,4
71,7
72,4
73,4
74,4
75,7
76,7
77,7
78,2
79,4
80,4
81,4
82,4
83,4
84,4
85,7
86,2
87,2
88,4
89,3
90,7
91,7
92,7
93,4
94,7
95,4
96,2
97,3
98,7
99,4
100,2
101,7
102,2
103,4
104,2
105,4
106,2
107,7
108,3
109,3
110,3
111,4
112,7
113,4
114,2
115,4
116,2
117,4
118,7
119,4
120,4
121,7
122,3
123,2
124,4
125,7
126,3
127,7
128,7
129,7
130,2
131,2
132,7
133,4
134,4
135,4
136,7
137,7
138,4
139,4
140,3
141,4
142,4
143,4
144,7
145,2
146,4
147,4
148,4
149,4
150,4
151,7
152,4
153,4
154,4
155,2
156,2
157,2
158,4
159,7
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,2
169,2
170,2
171,4
172,4
173,7
174,4
175,4
176,4
177,2
178,7
179,7
180,7
181,4
182,4
183,4
184,2
185,4
186,4
187,2
188,4
189,4
190,7
191,4
192,4
193,2
194,2
195,2
196,2
197,4
198,7
199,4
200,2
201,2
202,7
203,2
204,2
205,2
206,4
207,4
208,4
209,2
210,4
211,3
212,4
213,4
214,2
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,4
223,2
224,2
225,3
226,7
227,2
228,7
229,4
230,4
231,7
232,4
233,4
234,4
235,7
236,4
237,2
238,7
239,4
240,4
241,4
242,4
243,7
244,7
245,7
246,2
247,4
248,4
249,2
250,4
251,7
252,4
253,7
254,4
255,4
256,4
257,4
258,7
259,4
260,4
261,7
262,4
263,4
264,2
265,2
266,4
267,4
268,4
269,7
270,4
271,7
272,7
273,4
274,4
275,4
276,4
277,7
278,4
279,4
280,4
281,2
282,4
283,4
284,7
285,4
286,4
287,2
288,4
289,4
290,7
291,4
292,2
293,4
294,4
295,4
296,4
297,4
298,4
299,7
300,7
301,2
302,2
303,2
304,2
305,4
306,7
307,2
308,4
309,4
310,2
311,7
312,7
313,2
