R,aa
1,1
2,2
3,2
4,2
5,2
6,1
7,1
8,1
9,2
10,3
11,1
12,2
13,2
14,2
15,2
16,2
17,2
18,2
19,2
20,2
21,3
22,2
23,2
24,1
25,2
26,2
27,2
28,2
29,1
30,2
31,2
32,2
33,2
34,2
35,1
36,1
37,1
38,1
39,2
40,3
41,1
42,1
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,2
51,2
52,3
53,2
54,2
55,2
56,2
57,1
58,1
59,2
60,2
61,2
62,1
63,1
64,2
65,2
66,2
67,1
68,2
69,1
70,1
71,2
72,2
73,1
74,2
75,2
76,1
77,3
78,2
79,2
80,1
81,2
82,2
83,1
84,2
85,2
86,2
87,2
88,1
89,1
90,2
91,3
92,1
93,2
94,2
95,2
96,2
97,1
98,1
99,2
100,2
101,3
102,2
103,2
104,2
105,1
106,2
107,2
108,2
109,2
110,2
111,1
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,1
121,2
122,2
123,2
124,1
125,2
126,1
127,2
128,1
129,2
130,2
131,1
132,2
133,2
134,1
135,2
136,1
137,2
138,1
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,2
148,1
149,2
150,2
151,2
152,1
153,2
154,1
155,2
156,2
157,2
158,2
159,1
160,2
161,2
162,2
163,2
164,2
165,1
166,2
167,1
168,3
169,2
170,2
171,2
172,2
173,1
174,2
175,1
176,2
177,2
178,2
179,2
180,1
181,2
182,2
183,2
184,2
185,1
186,2
187,1
188,1
189,2
190,2
191,3
192,2
193,3
194,2
195,2
196,2
197,2
198,1
199,2
200,1
