R,dl
1,1
2,1
3,2
4,2
5,2
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,2
15,2
16,2
17,2
18,2
19,1
20,2
21,1
22,2
23,2
24,1
25,2
26,2
27,1
28,2
29,1
30,2
31,2
32,1
33,2
34,3
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,1
51,2
52,1
53,2
54,1
55,2
56,1
57,1
58,1
59,3
60,2
61,3
62,1
63,1
64,3
65,1
66,2
67,1
68,1
69,1
70,1
71,2
72,2
73,1
74,2
75,2
76,1
77,2
78,2
79,2
80,1
81,1
82,2
83,1
84,2
85,2
86,2
87,2
88,1
89,1
90,2
91,3
92,1
93,2
94,2
95,2
96,2
97,2
98,1
99,2
100,2
101,1
102,2
103,2
104,2
105,1
106,2
107,2
108,2
109,2
110,2
111,1
112,2
113,2
114,1
115,2
116,2
117,1
118,2
119,1
120,1
121,2
122,1
123,2
124,1
125,2
126,1
127,1
128,1
129,1
130,2
131,1
132,2
133,2
134,1
135,3
136,1
137,2
138,1
139,1
140,1
141,2
142,3
143,2
144,2
145,2
146,2
147,2
148,1
149,2
150,2
151,2
152,1
153,1
154,3
155,1
156,2
157,2
158,2
159,1
160,2
161,1
162,2
163,2
164,2
165,1
166,2
167,1
168,1
169,1
170,2
171,2
172,2
173,1
174,2
175,1
176,2
177,2
178,2
179,2
180,1
181,2
182,2
183,1
184,2
185,2
186,2
187,1
188,1
189,1
190,2
191,1
192,1
193,1
194,2
195,2
196,2
197,2
198,1
199,2
200,1
