id,R
1,R1i
2,R2i
3,R3i
4,R4i
5,R5i
6,R6i
7,R7i
8,R8i
9,R9i
10,R10i
11,R11i
12,R12i
13,R13i
14,R14i
15,R15i
16,R16i
17,R17i
18,R18i
19,R19i
20,R20i
21,R21i
22,R22i
23,R23i
24,R24i
25,R25i
26,R26i
27,R27i
28,R28i
29,R29i
30,R30i
31,R31i
32,R32i
33,R33i
34,R34i
35,R35i
36,R36i
37,R37i
38,R38i
39,R39i
40,R40i
41,R41i
42,R42i
43,R43i
44,R44i
45,R45i
46,R46i
47,R47i
48,R48i
49,R49i
50,R50i
51,R51i
52,R52i
53,R53i
54,R54i
55,R55i
56,R56i
57,R57i
58,R58i
59,R59i
60,R60i
61,R61i
62,R62i
63,R63i
64,R64i
65,R65i
66,R66i
67,R67i
68,R68i
69,R69i
70,R70i
71,R71i
72,R72i
73,R73i
74,R74i
75,R75i
76,R76i
77,R77i
78,R78i
79,R79i
80,R80i
81,R81i
82,R82i
83,R83i
84,R84i
85,R85i
86,R86i
87,R87i
88,R88i
89,R89i
90,R90i
91,R91i
92,R92i
93,R93i
94,R94i
95,R95i
96,R96i
97,R97i
98,R98i
99,R99i
100,R100i
101,R101i
102,R102i
103,R103i
104,R104i
105,R105i
106,R106i
107,R107i
108,R108i
109,R109i
110,R110i
111,R111i
112,R112i
113,R113i
114,R114i
115,R115i
116,R116i
117,R117i
118,R118i
119,R119i
120,R120i
121,R121i
122,R122i
123,R123i
124,R124i
125,R125i
126,R126i
127,R127i
128,R128i
129,R129i
130,R130i
131,R131i
132,R132i
133,R133i
134,R134i
135,R135i
136,R136i
137,R137i
138,R138i
139,R139i
140,R140i
141,R141i
142,R142i
143,R143i
144,R144i
145,R145i
146,R146i
147,R147i
148,R148i
149,R149i
150,R150i
151,R151i
152,R152i
153,R153i
154,R154i
155,R155i
156,R156i
157,R157i
158,R158i
159,R159i
160,R160i
161,R161i
162,R162i
163,R163i
164,R164i
165,R165i
166,R166i
167,R167i
168,R168i
169,R169i
170,R170i
171,R171i
172,R172i
173,R173i
174,R174i
175,R175i
176,R176i
177,R177i
178,R178i
179,R179i
180,R180i
181,R181i
182,R182i
183,R183i
184,R184i
185,R185i
186,R186i
187,R187i
188,R188i
189,R189i
190,R190i
191,R191i
192,R192i
193,R193i
194,R194i
195,R195i
196,R196i
197,R197i
198,R198i
199,R199i
200,R200i
201,R201i
202,R202i
203,R203i
204,R204i
205,R205i
206,R206i
207,R207i
208,R208i
209,R209i
210,R210i
211,R211i
212,R212i
213,R213i
214,R214i
215,R215i
216,R216i
217,R217i
218,R218i
219,R219i
220,R220i
221,R221i
222,R222i
223,R223i
224,R224i
225,R225i
226,R226i
227,R227i
228,R228i
229,R229i
230,R230i
231,R231i
232,R232i
233,R233i
234,R234i
235,R235i
236,R236i
237,R237i
238,R238i
239,R239i
240,R240i
241,R241i
242,R242i
243,R243i
244,R244i
245,R245i
246,R246i
247,R247i
248,R248i
249,R249i
250,R250i
251,R251i
252,R252i
253,R253i
254,R254i
255,R255i
256,R256i
257,R257i
258,R258i
259,R259i
260,R260i
261,R261i
262,R262i
263,R263i
264,R264i
265,R265i
266,R266i
267,R267i
268,R268i
269,R269i
270,R270i
271,R271i
272,R272i
273,R273i
274,R274i
275,R275i
276,R276i
277,R277i
278,R278i
279,R279i
280,R280i
281,R281i
282,R282i
283,R283i
284,R284i
285,R285i
286,R286i
287,R287i
288,R288i
289,R289i
290,R290i
291,R291i
292,R292i
293,R293i
294,R294i
295,R295i
296,R296i
297,R297i
298,R298i
299,R299i
300,R300i
301,R301i
302,R302i
303,R303i
304,R304i
305,R305i
306,R306i
307,R307i
308,R308i
309,R309i
