R,british
1,4
2,4
3,4
4,7
5,2
6,7
7,7
8,4
9,4
10,2
11,7
12,3
13,3
14,7
15,2
16,2
17,2
18,7
19,2
20,7
21,7
22,7
23,4
24,7
25,7
26,3
27,2
28,4
29,7
30,4
31,7
32,7
33,2
34,7
35,7
36,4
37,7
38,3
39,7
40,7
41,3
42,4
43,3
44,2
45,4
46,2
47,2
48,3
49,2
50,2
51,2
52,2
53,2
54,7
55,4
56,4
57,3
58,7
59,7
60,2
61,7
62,4
63,7
64,2
65,2
66,2
67,4
68,2
69,4
70,4
71,2
72,4
73,3
74,4
75,7
76,4
77,7
78,2
79,4
80,4
81,3
82,2
83,4
84,4
85,7
86,2
87,2
88,3
89,3
90,2
91,3
92,7
93,3
94,3
95,4
96,7
97,7
98,2
99,7
100,2
101,4
102,7
103,4
104,7
105,4
106,7
107,3
108,7
109,3
110,4
111,3
112,3
113,4
114,2
115,4
116,2
117,4
118,7
119,4
120,4
121,3
122,7
123,7
124,4
125,7
126,4
127,7
128,7
129,7
130,2
131,2
132,3
133,4
134,7
135,4
136,3
137,3
138,4
139,4
140,4
141,4
142,3
143,3
144,3
145,4
146,4
147,4
148,4
149,7
150,4
151,7
152,4
153,4
154,4
155,4
156,2
157,4
158,4
159,7
160,7
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,7
169,7
170,2
171,4
172,4
173,2
174,4
175,4
176,3
177,7
178,7
179,4
180,7
181,4
182,4
183,4
184,7
185,2
186,3
187,2
188,4
189,4
190,3
191,4
192,4
193,2
194,4
195,7
196,2
197,4
198,7
199,7
200,2
201,2
202,7
203,2
204,2
205,7
206,4
207,4
208,3
209,7
210,4
211,3
212,7
213,4
214,2
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,7
223,3
224,2
225,3
226,3
227,2
228,2
229,7
230,4
231,2
232,4
233,7
234,4
235,4
236,3
237,7
238,7
239,4
240,4
241,4
242,4
243,7
244,4
245,7
246,7
247,4
248,2
249,7
250,4
251,4
252,4
253,4
254,4
255,4
256,2
257,4
258,7
259,4
260,4
261,3
262,4
263,4
264,7
265,7
266,3
267,7
268,4
269,7
270,4
271,7
272,7
273,4
274,7
275,7
276,4
277,4
278,4
279,4
280,2
281,2
282,4
283,2
284,4
285,2
286,4
287,7
288,4
289,4
290,3
291,4
292,2
293,2
294,4
295,4
296,3
297,7
298,3
299,7
300,7
301,2
302,7
303,2
304,2
305,4
306,7
307,2
308,4
309,2
310,2
311,2
312,2
313,7
314,2
315,4
316,2
317,2
318,4
319,4
320,4
321,4
322,4
323,2
324,7
325,2
326,4
327,4
328,4
329,4
330,4
331,4
332,2
333,7
334,4
335,7
336,7
337,3
338,2
339,2
340,2
341,7
342,7
343,3
344,2
345,7
346,4
347,4
348,4
349,7
350,4
351,7
352,4
353,2
354,2
355,4
356,4
357,4
358,4
359,7
360,2
361,2
362,4
363,4
364,2
365,2
366,7
367,4
368,4
369,4
370,7
371,4
372,2
373,4
