R,irish
1,7
2,4
3,4
4,7
5,2
6,7
7,7
8,4
9,4
10,2
11,2
12,7
13,7
14,7
15,2
16,2
17,4
18,7
19,2
20,7
21,7
22,7
23,4
24,7
25,7
26,7
27,2
28,4
29,7
30,4
31,2
32,7
33,4
34,7
35,2
36,4
37,7
38,4
39,4
40,7
41,3
42,4
43,4
44,7
45,4
46,2
47,2
48,7
49,2
50,2
51,2
52,2
53,2
54,7
55,4
56,4
57,3
58,7
59,4
60,7
61,7
62,4
63,4
64,2
65,2
66,2
67,4
68,4
69,4
70,4
71,2
72,4
73,7
74,7
75,7
76,3
77,7
78,7
79,4
80,4
81,4
82,7
83,7
84,7
85,7
86,7
87,2
88,4
89,3
90,2
91,7
92,7
93,3
94,7
95,4
96,2
97,4
98,7
99,7
100,7
101,4
102,7
103,2
104,7
105,7
106,7
107,4
108,4
109,7
110,7
111,4
112,4
113,7
114,2
115,7
116,2
117,4
118,7
119,4
120,2
121,2
122,7
123,2
124,4
125,4
126,7
127,4
128,7
129,7
130,2
131,2
132,7
133,4
134,4
135,4
136,7
137,7
138,7
139,4
140,7
141,4
142,7
143,7
144,4
145,4
146,4
147,4
148,7
149,7
150,4
151,4
152,4
153,4
154,4
155,4
156,2
157,2
158,7
159,4
160,7
161,4
162,4
163,4
164,2
165,4
166,4
167,4
168,7
169,7
170,7
171,4
172,4
173,2
174,4
175,4
176,7
177,2
178,2
179,7
180,7
181,4
182,2
183,4
184,7
185,4
186,7
187,2
188,4
189,7
190,7
191,7
192,4
193,2
194,2
195,7
196,2
197,3
198,7
199,7
200,2
201,2
202,7
203,2
204,2
205,2
206,4
207,4
208,7
209,2
210,7
211,4
212,7
213,4
214,2
215,4
216,4
217,7
218,4
219,4
220,4
221,4
222,4
223,7
224,2
225,4
226,7
227,2
228,2
229,7
230,4
231,4
232,4
233,7
234,4
235,4
236,7
237,2
238,7
239,4
240,4
241,4
242,2
243,2
244,2
245,2
246,2
247,2
248,2
249,7
250,4
251,4
252,4
253,7
254,4
255,7
256,7
257,4
258,2
259,4
260,4
261,4
262,4
263,4
264,7
265,7
266,4
267,4
268,4
269,7
270,4
271,7
272,2
273,4
274,7
275,4
276,4
277,7
278,4
279,4
280,7
281,2
282,4
283,4
284,4
285,4
286,4
287,7
288,4
289,4
290,4
291,2
292,2
293,4
294,4
295,4
296,7
297,7
298,7
299,7
300,2
301,2
302,7
303,2
304,7
305,4
306,7
307,7
308,4
309,2
310,7
311,2
312,2
313,7
314,2
315,4
316,2
317,7
318,4
319,4
320,4
321,4
322,7
323,2
324,2
325,2
326,2
327,4
328,4
329,4
330,4
331,4
332,2
333,7
334,4
335,4
336,2
337,4
338,7
339,4
340,2
341,7
342,4
343,4
344,2
345,4
346,4
347,3
348,4
349,4
350,4
351,4
352,4
353,2
354,7
355,4
356,4
357,2
358,2
359,2
360,2
361,2
362,4
363,4
364,2
365,4
366,4
367,4
368,4
369,4
370,7
371,4
372,2
373,4
374,7
375,7
376,7
377,7
378,7
379,4
380,4
381,4
382,7
383,4
384,4
385,4
386,7
387,4
388,4
389,2
390,2
391,7
392,2
393,7
394,7
395,2
396,2
397,4
398,4
399,2
400,2
401,2
402,7
403,2
404,4
405,2
406,2
407,4
408,4
409,4
410,7
411,4
412,4
413,2
414,7
415,4
416,7
417,7
418,4
419,7
420,4
421,2
422,4
423,4
424,7
425,2
426,4
427,4
428,4
429,7
430,2
431,4
432,2
433,2
434,7
435,2
436,2
437,4
438,2
439,4
440,7
441,7
442,7
443,4
444,4
445,4
446,4
447,4
448,7
449,3
450,4
451,7
452,7
453,3
454,7
455,2
456,7
457,4
458,4
459,2
460,4
461,7
462,2
463,7
464,7
465,4
466,4
467,4
468,4
469,2
470,2
471,4
472,2
473,4
474,2
475,7
476,7
477,2
478,2
479,2
480,2
481,2
482,2
483,2
484,4
485,4
486,4
487,2
488,4
489,4
490,4
491,4
492,7
493,4
494,2
495,4
496,2
497,4
498,4
499,4
500,2
501,2
502,2
503,4
504,4
505,7
506,7
507,7
508,2
509,4
510,2
511,7
512,4
513,7
514,4
515,4
516,7
517,7
518,2
519,4
520,2
521,2
522,4
523,4
524,4
525,3
526,4
527,4
528,4
529,7
530,4
531,4
532,4
533,4
534,7
535,4
536,4
537,4
538,2
539,3
540,4
541,2
542,7
543,2
544,2
545,2
546,4
547,4
548,4
549,4
550,4
551,4
552,4
553,4
554,4
555,4
556,2
557,4
558,7
559,4
560,4
561,4
562,2
563,2
564,4
565,7
566,4
567,4
568,2
569,4
570,4
571,4
572,4
573,2
574,4
575,4
576,7
577,4
578,4
579,2
580,2
581,4
582,4
583,4
584,7
585,4
586,4
587,4
588,4
589,4
590,4
591,4
592,4
593,7
594,2
595,2
596,2
597,4
598,7
599,4
600,4
601,4
602,7
603,4
604,4
605,2
606,7
607,4
608,7
609,4
610,4
611,4
612,4
613,4
614,4
615,4
616,4
617,4
618,4
619,4
620,4
621,7
622,4
623,2
624,4
625,4
626,4
627,4
628,4
629,4
630,7
631,2
632,7
633,4
634,4
635,7
636,4
637,4
638,4
639,4
640,4
641,4
642,4
643,4
644,4
645,7
646,4
647,4
648,2
649,4
650,7
651,4
652,4
653,2
654,4
655,4
656,2
657,7
658,7
659,4
660,4
661,4
662,4
663,4
664,4
665,2
666,4
667,4
668,4
669,4
670,4
671,7
672,4
673,7
674,7
675,4
