R,filipino
1,4
2,4
3,7
4,2
5,2
6,7
7,7
8,2
9,4
10,7
11,2
12,7
13,2
14,2
15,4
16,2
17,4
18,4
19,7
20,2
21,2
22,2
23,2
24,2
25,2
26,2
27,7
28,2
29,2
30,4
31,7
32,7
33,7
34,7
35,2
36,7
37,7
38,3
39,4
40,2
41,7
42,2
43,4
44,4
45,4
46,2
47,2
48,2
49,7
50,2
51,7
52,7
53,2
54,7
55,7
56,3
57,7
58,7
59,4
60,2
61,7
62,2
63,4
64,2
65,7
66,4
67,7
68,2
69,4
70,4
71,2
72,4
73,7
74,4
75,4
76,4
77,7
78,7
79,7
80,4
81,7
82,7
83,4
84,4
85,2
86,7
87,2
88,2
89,7
90,4
91,2
92,7
93,7
94,7
95,2
96,7
97,7
98,2
99,7
100,4
101,2
102,3
103,2
104,2
105,4
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,4
114,7
115,4
116,4
117,4
118,4
119,4
120,4
121,7
122,3
123,7
124,4
125,4
126,7
127,2
128,7
129,4
130,7
131,4
132,7
133,4
134,4
135,7
136,2
137,2
138,7
139,2
140,7
141,4
142,4
143,2
144,2
145,2
146,4
147,2
148,2
149,4
150,4
151,2
152,2
153,2
154,2
155,4
156,4
157,4
158,7
159,7
160,4
161,4
162,2
163,7
164,4
165,4
166,4
167,4
168,4
169,4
170,7
171,4
172,2
173,7
174,2
175,2
176,7
177,2
178,4
179,2
180,7
181,7
182,2
183,7
184,2
185,4
186,3
187,7
188,7
189,7
190,2
191,2
192,2
193,4
194,2
195,2
196,2
197,7
198,7
199,4
200,7
201,7
202,4
203,2
204,7
205,3
206,4
207,4
208,7
209,2
210,4
211,2
212,7
213,2
214,4
215,7
216,2
217,7
218,2
219,4
220,4
221,4
222,2
223,2
224,2
225,3
226,7
227,7
228,7
229,7
230,4
231,4
232,4
233,4
234,7
235,2
236,2
237,7
238,7
239,4
240,4
241,4
242,4
243,2
244,2
245,7
246,2
247,4
248,7
249,4
250,4
251,4
252,4
253,4
254,4
255,2
256,4
257,4
258,7
259,4
260,4
261,7
262,4
263,7
264,7
265,2
266,3
267,7
268,7
269,2
270,7
271,2
272,7
273,4
274,4
275,4
276,4
277,4
278,4
279,4
280,7
281,4
282,4
283,4
284,4
285,2
286,4
287,4
288,2
289,7
290,2
291,2
292,4
293,4
294,4
295,4
296,3
297,2
298,7
299,3
300,7
301,7
302,7
303,7
304,2
305,4
306,7
307,2
308,4
309,4
310,7
311,4
312,7
313,2
314,2
315,4
316,4
317,7
318,4
319,4
320,2
321,4
322,4
323,7
324,4
325,7
326,4
327,2
328,7
329,2
330,4
331,7
332,4
333,7
334,2
335,7
336,7
337,7
338,7
339,2
340,7
341,2
342,7
343,4
344,4
345,2
346,4
347,2
348,2
349,2
350,4
351,4
352,7
353,2
354,7
355,4
356,4
357,4
358,4
359,4
360,3
361,2
362,4
363,4
364,7
365,4
366,2
367,4
368,2
369,7
370,7
371,4
372,7
