R,chinese
1,3
2,5
3,9
4,2
5,3
6,9
7,3
8,9
9,9
10,2
11,3
12,4
13,9
14,3
15,9
16,2
17,9
18,5
19,9
20,2
21,9
22,2
23,9
24,3
25,3
26,2
27,9
28,5
29,2
30,3
31,3
32,3
33,2
34,9
35,3
36,3
37,3
38,9
39,5
40,2
41,4
42,2
43,4
44,5
45,5
46,9
47,2
48,2
49,9
50,9
51,2
52,3
53,3
54,9
55,2
56,3
57,9
58,4
59,3
60,2
61,3
62,5
63,5
64,3
65,3
66,9
67,2
68,2
69,5
70,4
71,4
72,2
73,9
74,3
75,5
76,9
77,9
78,3
79,9
80,2
81,4
82,5
83,5
84,5
85,2
86,2
87,9
88,2
89,2
90,3
91,2
92,2
93,2
94,2
95,1
96,2
97,2
98,2
99,9
100,3
101,2
102,9
103,9
104,3
105,5
106,3
107,9
108,9
109,9
110,9
111,9
112,2
113,5
114,3
115,3
116,9
117,5
118,9
119,5
120,9
121,3
122,5
123,3
124,5
125,5
126,2
127,3
128,9
129,9
130,3
131,5
132,4
133,5
134,2
135,3
136,2
137,2
138,3
139,2
140,2
141,2
142,9
143,2
144,2
145,2
146,2
147,2
148,2
149,9
150,2
151,2
152,2
153,2
154,5
155,5
156,9
157,5
158,2
159,2
160,3
161,2
162,2
163,3
164,3
165,3
166,5
167,3
168,5
169,9
170,9
171,2
172,2
173,2
174,2
175,2
176,2
177,2
178,3
179,9
180,9
181,9
182,2
183,9
184,2
185,2
186,4
187,9
188,3
189,2
190,3
191,2
192,2
193,2
194,2
195,2
196,2
197,9
198,4
199,5
200,3
201,2
202,3
203,9
204,3
205,9
206,5
207,5
208,2
209,2
210,9
211,2
212,3
213,2
214,3
215,9
216,3
217,9
218,5
219,9
220,9
221,2
222,3
223,2
224,2
225,4
226,4
227,9
228,3
229,9
230,9
231,5
232,5
233,5
234,2
235,2
236,2
237,3
238,5
239,5
240,5
241,5
242,5
243,2
244,9
245,3
246,9
247,2
248,2
249,3
250,5
251,5
252,5
253,5
254,5
255,9
256,3
257,9
258,9
259,5
260,3
261,2
262,5
263,9
264,4
265,3
266,9
267,9
268,3
269,2
270,3
271,2
272,9
273,2
274,3
275,9
276,9
277,5
278,5
279,5
280,5
281,4
282,5
283,9
284,9
285,3
286,3
287,2
288,2
289,2
290,2
291,2
292,9
293,5
294,5
295,5
296,2
297,5
298,9
299,9
300,9
301,3
302,2
303,9
304,9
305,5
306,3
307,9
308,9
309,3
310,2
311,5
312,9
313,3
314,9
315,5
316,9
317,3
318,5
319,5
320,2
321,5
322,5
323,5
324,5
325,3
326,5
327,3
328,9
329,3
330,2
331,2
332,9
333,2
334,3
335,9
336,3
337,9
338,3
339,3
340,9
341,2
342,2
343,4
344,5
345,2
346,5
347,9
348,3
349,2
350,9
351,3
352,2
353,9
354,9
355,3
356,5
357,5
358,5
359,3
360,9
361,2
362,5
363,5
364,9
365,5
366,2
367,5
368,2
369,4
370,2
371,2
372,9
373,5
374,5
375,5
376,3
377,5
378,4
379,5
380,9
381,5
382,3
383,5
384,5
385,5
386,9
387,3
388,5
389,3
390,3
391,9
392,5
393,9
394,5
395,9
396,9
397,9
398,5
399,3
400,3
401,5
402,3
403,5
404,5
405,5
406,9
407,5
408,5
409,5
410,3
411,5
412,2
413,3
414,3
415,5
416,9
417,5
418,5
419,9
420,2
421,3
422,5
423,9
424,9
425,5
426,3
427,2
428,3
429,5
430,9
431,2
432,9
433,5
434,2
435,9
436,9
437,5
438,5
439,5
440,3
441,5
442,3
443,5
444,5
445,5
446,5
447,3
448,9
449,4
450,5
451,3
452,3
453,9
454,2
455,9
456,9
457,2
458,2
459,9
460,5
461,9
462,3
463,2
464,3
465,3
466,2
467,2
468,2
469,9
470,5
471,3
472,9
473,3
474,5
475,3
476,9
477,5
478,9
479,9
480,3
481,9
482,5
483,2
484,2
485,2
486,2
487,5
488,2
489,9
490,3
491,9
492,3
493,3
494,2
495,2
496,5
497,5
498,5
499,5
500,9
501,3
502,5
503,2
504,2
505,3
506,2
507,5
508,5
509,5
510,5
511,5
512,5
513,5
514,3
515,5
516,9
517,3
518,3
519,9
520,3
521,2
522,9
523,9
524,9
525,3
526,9
527,9
528,5
529,5
530,3
531,5
532,5
533,5
534,2
535,5
536,2
537,2
538,2
539,4
540,5
541,2
542,9
543,9
544,5
545,5
546,2
547,5
548,2
549,5
550,2
551,9
552,2
553,3
554,5
555,5
556,3
557,3
558,9
559,5
560,9
561,5
562,5
563,5
564,3
565,5
566,5
567,5
568,3
569,3
570,9
571,3
572,5
573,5
574,5
575,9
576,3
577,5
578,5
579,3
580,3
581,5
582,2
583,5
584,2
585,2
586,3
587,2
588,3
589,5
590,5
591,5
592,5
593,9
594,5
595,9
596,5
597,5
598,2
599,5
600,5
601,5
602,3
603,5
604,2
605,3
606,5
607,3
608,3
609,2
610,2
611,9
612,9
613,5
614,3
615,5
616,9
617,9
618,5
619,2
620,2
621,2
622,9
623,5
624,9
625,2
626,5
627,3
628,3
629,3
630,2
631,9
632,2
633,2
634,2
635,3
636,5
637,5
638,9
