R,jamaican
1,3
2,3
3,3
4,2
5,2
6,2
7,2
8,3
9,3
10,2
11,2
12,6
13,6
14,2
15,2
16,6
17,3
18,6
19,6
20,2
21,6
22,2
23,6
24,2
25,2
26,2
27,6
28,3
29,2
30,3
31,2
32,6
33,3
34,2
35,2
36,6
37,6
38,6
39,3
40,2
41,6
42,2
43,6
44,3
45,3
46,6
47,6
48,2
49,2
50,2
51,2
52,6
53,2
54,6
55,6
56,6
57,2
58,6
59,6
60,2
61,2
62,3
63,3
64,2
65,6
66,3
67,2
68,6
69,6
70,6
71,6
72,3
73,2
74,6
75,3
76,6
77,6
78,6
79,2
80,2
81,6
82,3
83,3
84,3
85,6
86,6
87,3
88,2
89,2
90,6
91,3
92,6
93,6
94,2
95,3
96,6
97,2
98,6
99,3
100,3
101,3
102,6
103,3
104,2
105,6
106,6
107,6
108,6
109,6
110,6
111,2
112,3
113,3
114,6
115,6
116,3
117,2
118,6
119,3
120,2
121,6
122,2
123,2
124,3
125,3
126,6
127,6
128,2
129,6
130,6
131,3
132,3
133,3
134,3
135,3
136,2
137,6
138,3
139,3
140,6
141,3
142,2
143,6
144,2
145,2
146,3
147,3
148,3
149,6
150,3
151,2
152,3
153,3
154,6
155,3
156,3
157,3
158,3
159,2
160,6
161,3
162,6
163,6
164,2
165,3
166,3
167,3
168,6
169,3
170,3
171,3
172,3
173,2
174,6
175,6
176,6
177,2
178,3
179,3
180,2
181,2
182,6
183,2
184,3
185,2
186,6
187,6
188,3
189,6
190,2
191,3
192,2
193,2
194,2
195,6
196,2
197,6
198,6
199,3
200,6
201,2
202,6
203,2
204,6
205,6
206,3
207,3
208,6
209,6
210,2
211,6
212,2
213,3
214,2
215,3
216,3
217,6
218,3
219,6
220,3
221,3
222,3
223,2
224,6
225,6
226,6
227,6
228,2
229,2
230,6
231,3
232,3
233,3
234,2
235,2
236,3
237,6
238,3
239,2
240,3
241,6
242,3
243,2
244,3
245,6
246,2
247,3
248,2
249,6
250,3
251,6
252,3
253,6
254,3
255,6
256,3
257,2
258,6
259,3
260,3
261,6
262,2
263,3
264,6
265,2
266,6
267,2
268,6
269,6
270,6
271,6
272,6
273,3
274,3
275,3
276,3
277,3
278,3
279,3
280,3
281,6
282,3
283,3
284,3
285,3
286,3
287,6
288,3
289,3
290,3
291,3
292,6
293,3
294,3
295,3
296,6
297,3
298,6
299,6
300,2
301,6
302,6
303,6
304,6
305,3
306,3
307,2
308,2
309,2
310,2
311,2
312,2
313,2
314,6
315,3
316,3
317,6
318,3
319,3
320,2
321,3
322,3
323,6
324,3
325,6
326,3
327,6
328,2
329,3
330,3
331,6
332,3
333,3
334,2
335,6
336,6
337,2
338,6
339,2
340,2
341,2
342,2
343,3
344,6
345,3
346,3
347,2
348,6
349,3
350,3
351,3
352,3
353,2
354,3
355,2
356,3
357,3
358,2
359,3
360,2
361,2
362,3
363,3
364,6
365,3
366,6
367,3
368,6
369,3
370,2
371,3
372,2
373,3
374,6
375,3
376,6
377,3
378,6
379,3
380,3
381,3
382,6
383,3
384,3
385,3
386,6
387,3
388,3
389,6
390,2
391,3
392,3
393,3
394,6
395,3
396,6
397,2
398,2
399,3
400,6
401,6
402,3
403,3
404,3
405,3
406,3
407,3
408,3
409,3
410,6
411,2
412,3
413,2
414,6
415,3
416,6
417,3
418,3
419,3
420,3
421,6
422,3
423,3
424,2
425,3
426,3
427,2
428,6
429,3
430,2
431,3
432,2
433,3
434,2
435,6
436,6
437,3
438,3
439,3
440,3
441,6
442,2
443,3
444,6
445,3
446,3
447,6
448,6
449,6
450,2
451,6
452,2
453,6
454,3
455,6
456,3
457,6
458,3
459,2
460,3
461,3
462,2
463,6
464,6
465,2
466,3
467,3
468,3
469,2
470,3
471,3
472,6
473,6
474,3
475,6
476,2
477,3
478,2
479,3
480,3
481,3
482,6
483,2
484,6
485,3
486,3
487,6
488,3
489,6
490,6
491,6
492,6
493,2
494,2
495,3
496,3
497,3
498,3
499,3
500,3
501,6
502,3
503,3
504,3
505,6
506,2
507,3
508,2
509,3
510,2
511,3
512,3
513,3
514,3
515,3
516,3
517,6
518,2
519,3
520,3
521,6
522,3
523,6
524,2
525,6
526,2
527,2
528,3
529,3
530,2
531,3
532,6
533,3
534,2
535,2
536,3
537,3
538,3
539,6
540,2
541,6
542,2
543,3
544,2
545,3
546,3
547,6
548,3
549,3
550,3
551,3
552,6
553,3
554,3
555,3
556,6
557,3
558,3
559,3
560,6
561,3
562,3
563,3
564,6
565,3
566,3
567,3
568,3
569,3
570,6
571,3
572,3
573,3
574,3
575,3
576,3
577,3
578,3
579,6
580,6
581,3
582,2
583,3
584,3
585,3
586,3
587,3
588,3
589,3
590,3
591,3
592,3
593,3
594,6
595,2
596,6
597,3
598,2
599,3
600,3
601,3
602,2
603,3
604,6
605,2
606,3
607,3
608,6
609,6
610,2
611,2
612,3
613,3
614,3
