R,russian
1,3
2,5
3,3
4,5
5,2
6,5
7,5
8,3
9,3
10,2
11,5
12,5
13,5
14,5
15,2
16,2
17,3
18,3
19,2
20,2
21,2
22,5
23,3
24,5
25,5
26,5
27,2
28,3
29,2
30,3
31,2
32,5
33,3
34,5
35,2
36,3
37,2
38,5
39,2
40,5
41,5
42,3
43,3
44,3
45,3
46,2
47,2
48,3
49,2
50,2
51,5
52,2
53,2
54,5
55,5
56,5
57,5
58,5
59,3
60,2
61,5
62,3
63,3
64,2
65,2
66,2
67,3
68,2
69,3
70,3
71,5
72,3
73,3
74,3
75,5
76,5
77,5
78,5
79,3
80,3
81,3
82,3
83,3
84,3
85,5
86,2
87,2
88,3
89,5
90,5
91,5
92,5
93,3
94,5
95,3
96,2
97,5
98,5
99,3
100,2
101,5
102,5
103,3
104,5
105,3
106,2
107,5
108,5
109,5
110,5
111,3
112,5
113,3
114,2
115,3
116,2
117,3
118,5
119,3
120,3
121,5
122,5
123,2
124,3
125,5
126,5
127,5
128,5
129,5
130,2
131,2
132,5
133,3
134,3
135,3
136,5
137,5
138,3
139,3
140,5
141,3
142,3
143,3
144,5
145,2
146,3
147,3
148,3
149,3
150,3
151,5
152,3
153,3
154,3
155,2
156,2
157,2
158,3
159,5
160,3
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,2
169,2
170,2
171,3
172,3
173,5
174,3
175,3
176,3
177,2
178,5
179,5
180,5
181,3
182,3
183,3
184,2
185,3
186,3
187,2
188,3
189,3
190,5
191,3
192,3
193,2
194,2
195,2
196,2
197,3
198,5
199,3
200,2
201,2
202,5
203,2
204,5
205,2
206,3
207,3
208,3
209,2
210,3
211,5
212,3
213,3
214,2
215,3
216,3
217,3
218,3
219,3
220,3
221,3
222,3
223,5
224,2
225,5
226,5
227,2
228,5
229,3
230,3
231,5
232,3
233,3
234,3
235,5
236,3
237,2
238,5
239,3
240,3
241,3
242,3
243,5
244,2
245,5
246,2
247,3
248,3
249,2
250,3
251,5
252,3
253,5
254,3
255,3
256,3
257,3
258,5
259,3
260,3
261,5
262,3
263,3
264,2
265,2
266,3
267,3
268,3
269,5
270,3
271,5
272,5
273,3
274,3
275,3
276,3
277,5
278,3
279,3
280,3
281,5
282,3
283,3
284,5
285,3
286,3
287,2
288,3
289,3
290,5
291,3
292,2
293,3
294,3
295,3
296,3
297,3
298,3
299,5
300,5
301,2
302,2
303,2
304,2
305,3
306,5
307,2
308,3
309,3
310,2
311,5
312,5
313,2
314,2
315,3
316,2
317,2
318,3
319,3
320,2
321,3
322,3
323,2
324,5
325,2
326,5
327,3
328,3
329,3
330,3
331,3
332,2
333,3
334,3
335,3
336,2
337,3
338,5
339,2
340,5
341,5
342,3
343,3
344,5
345,3
346,3
347,3
348,5
349,3
350,3
351,3
352,3
353,2
354,2
355,3
356,3
357,3
358,3
359,5
360,5
361,5
362,3
363,3
364,2
365,3
366,5
367,3
368,3
369,5
370,3
371,3
372,2
373,3
374,2
375,3
376,5
377,3
378,5
379,3
380,3
381,5
382,2
383,3
384,3
385,3
386,5
387,3
388,3
389,2
390,5
391,3
392,3
393,3
394,3
395,3
396,2
397,3
398,3
399,2
400,3
401,2
402,2
403,3
404,3
405,5
406,2
407,3
408,3
409,3
410,3
411,3
412,2
413,2
414,5
415,5
416,5
417,3
418,3
419,5
420,3
421,2
422,3
423,3
424,2
425,2
426,3
427,5
428,3
429,2
430,2
431,5
432,3
433,2
434,2
435,2
436,2
437,3
438,3
439,3
440,2
441,5
442,5
443,3
444,3
445,3
446,3
447,5
448,3
449,5
450,3
451,5
452,2
453,5
454,5
455,3
456,5
457,3
458,5
459,5
460,5
461,3
462,5
463,5
464,2
465,3
466,3
467,3
468,3
469,2
470,2
471,2
472,5
473,3
474,3
475,2
476,2
477,2
478,2
479,5
480,2
481,5
482,3
483,2
484,3
485,3
486,3
487,2
488,3
489,3
490,3
491,5
492,2
493,3
494,5
495,3
496,3
497,3
498,5
499,3
500,5
501,5
502,5
503,3
504,3
505,2
506,5
507,2
508,3
509,3
510,5
511,3
512,3
513,3
514,2
515,3
516,3
517,5
518,3
519,5
520,3
521,2
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,3
530,2
531,3
532,3
533,3
534,3
535,5
536,3
537,3
538,3
539,3
540,3
541,2
542,5
543,2
544,3
545,2
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,3
554,3
555,3
556,2
557,3
558,5
559,3
560,3
561,3
562,3
563,2
564,5
565,3
566,3
567,3
568,5
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,5
577,5
578,3
579,2
580,2
581,3
582,2
583,3
584,3
585,3
586,3
587,3
588,3
589,2
590,3
591,5
592,3
593,2
594,3
595,3
596,2
597,3
598,5
599,3
600,3
601,3
602,5
603,2
604,3
605,2
606,5
607,3
608,3
609,3
610,5
611,3
612,3
613,3
614,5
615,3
616,5
617,3
618,3
619,5
620,5
621,5
622,5
623,3
624,3
625,3
626,5
627,5
628,3
629,3
630,5
631,3
632,5
633,3
634,3
635,2
636,3
637,3
638,3
639,3
