R,cajun_creole
1,2
2,7
3,3
4,2
5,2
6,3
7,2
8,7
9,7
10,3
11,2
12,7
13,3
14,2
15,2
16,3
17,7
18,2
19,3
20,2
21,2
22,3
23,7
24,2
25,2
26,7
27,2
28,2
29,3
30,4
31,2
32,7
33,4
34,2
35,2
36,4
37,2
38,3
39,4
40,3
41,7
42,2
43,4
44,7
45,4
46,2
47,3
48,4
49,3
50,3
51,7
52,2
53,3
54,3
55,2
56,7
57,3
58,2
59,4
60,7
61,3
62,3
63,4
64,2
65,7
66,7
67,7
68,3
69,3
70,7
71,7
72,3
73,7
74,7
75,2
76,3
77,3
78,3
79,2
80,2
81,2
82,7
83,3
84,2
85,2
86,3
87,2
88,4
89,7
90,2
91,3
92,2
93,7
94,2
95,4
96,3
97,2
98,3
99,3
100,4
101,7
102,3
103,3
104,2
105,4
106,3
107,7
108,7
109,3
110,7
111,7
112,7
113,7
114,2
115,2
116,3
117,4
118,7
119,4
120,3
121,3
122,7
123,3
124,4
125,7
126,7
127,3
128,3
129,4
130,2
131,7
132,3
133,4
134,4
135,4
136,2
137,2
138,2
139,4
140,2
141,4
142,7
143,2
144,2
145,7
146,4
147,4
148,4
149,7
150,4
151,2
152,7
153,4
154,3
155,2
156,3
157,3
158,4
159,2
160,2
161,7
162,7
163,2
164,4
165,4
166,7
167,2
168,2
169,3
170,3
171,4
172,4
173,2
174,4
175,4
176,7
177,3
178,3
179,2
180,2
181,7
182,2
183,3
184,2
185,3
186,3
187,2
188,7
189,2
190,2
191,4
192,4
193,4
194,7
195,3
196,3
197,7
198,7
199,4
200,3
201,3
202,2
203,7
204,2
205,2
206,1
207,2
208,2
209,2
210,2
211,2
212,2
213,4
214,4
215,4
216,4
217,7
218,4
219,7
220,4
221,4
222,3
223,2
224,3
225,2
226,2
227,2
228,2
229,2
230,2
231,3
232,2
233,4
234,4
235,2
236,4
237,2
238,7
239,2
240,4
241,3
242,2
243,2
244,7
245,2
246,2
247,2
248,3
249,3
250,2
251,2
252,2
253,7
254,4
255,7
256,3
257,3
258,7
259,4
260,7
261,2
262,7
263,7
264,7
265,3
266,7
267,7
268,7
269,2
270,2
271,3
272,2
273,4
274,4
275,4
276,3
277,7
278,3
279,7
280,2
281,3
282,2
283,2
284,2
285,7
286,4
287,3
288,4
289,4
290,7
291,7
292,2
293,4
294,3
295,3
296,3
297,7
298,3
299,3
300,2
301,3
302,7
303,2
304,2
305,4
306,2
307,2
308,4
309,4
310,3
311,3
312,2
313,3
314,2
315,4
316,4
317,3
318,4
319,4
320,2
321,4
322,7
323,7
324,7
325,3
326,7
327,4
328,4
329,4
330,4
331,4
332,3
333,7
334,7
335,7
336,2
337,7
338,2
339,4
340,2
341,7
342,7
343,2
344,3
345,3
346,4
347,7
348,7
349,2
350,4
351,7
352,7
353,2
354,3
355,4
356,4
357,3
358,4
359,3
360,3
361,3
362,4
363,4
364,2
365,4
366,3
367,4
368,7
369,7
370,3
371,4
372,3
373,3
374,7
375,2
376,7
377,3
378,7
379,2
380,7
381,7
382,2
383,4
384,4
385,7
386,2
387,4
388,7
389,3
390,7
391,3
392,4
393,7
394,2
395,3
396,3
397,3
398,2
399,2
400,3
401,3
402,2
403,3
404,4
405,4
406,7
407,4
408,4
409,4
410,7
411,4
412,4
413,3
414,7
415,4
416,7
417,7
418,3
419,2
420,4
421,2
422,4
423,7
424,3
425,4
426,7
427,2
428,2
429,2
430,3
431,3
432,3
433,2
434,7
435,3
436,2
437,4
438,4
439,7
440,4
441,2
442,3
443,4
444,4
445,4
446,2
447,3
448,7
449,3
450,4
451,2
452,3
453,2
454,7
455,2
456,2
457,4
458,4
459,2
460,7
461,4
462,2
463,2
464,3
465,2
466,4
467,4
468,4
469,7
470,7
471,4
472,2
473,7
474,7
475,2
476,2
477,7
478,2
479,7
480,4
481,7
482,4
483,3
484,7
485,4
486,4
487,2
488,4
489,7
490,3
491,3
492,2
493,2
494,3
495,2
496,4
497,4
498,4
499,4
500,4
501,3
502,2
503,4
504,7
505,4
506,2
507,3
508,4
509,4
510,3
511,3
512,4
513,4
514,4
515,4
516,4
517,7
518,4
519,7
520,7
521,7
522,7
523,7
524,3
525,7
526,2
527,4
528,2
529,3
530,3
531,7
532,4
533,4
534,3
535,3
536,4
537,4
538,2
539,7
540,4
541,3
542,4
543,3
544,4
545,7
546,4
547,4
548,4
549,4
550,4
551,7
552,7
553,3
554,4
555,4
556,2
557,3
558,7
559,7
560,7
561,4
562,4
563,7
564,3
565,4
566,4
567,3
568,4
569,4
570,4
571,3
572,4
573,4
574,4
575,4
576,7
577,7
578,2
579,2
580,2
581,4
582,4
583,4
584,4
585,4
586,7
587,4
588,4
589,4
590,4
591,4
592,4
