R,italian
415,9
416,9
417,2
418,2
419,3
420,3
421,3
422,2
423,2
424,3
425,2
426,2
427,3
428,3
429,3
430,2
431,4
432,4
433,2
434,9
435,2
436,2
437,3
438,2
439,5
440,4
441,2
442,4
443,5
444,5
445,5
446,9
447,9
448,3
449,9
450,3
451,2
452,3
453,2
454,4
455,2
456,3
457,4
458,5
459,3
460,2
461,4
462,4
463,2
464,2
465,3
466,5
467,5
468,9
469,4
470,3
471,2
472,2
473,9
474,4
475,3
476,2
477,3
478,3
479,9
480,3
481,2
482,3
483,9
484,3
485,5
486,5
487,3
488,5
489,9
490,4
491,9
492,3
493,2
494,3
495,9
496,4
497,2
498,3
499,5
500,4
501,2
502,3
503,5
504,9
505,4
506,9
507,3
508,5
509,5
510,9
511,2
512,4
513,4
514,2
515,3
516,2
517,2
518,3
519,2
520,2
521,3
522,2
523,9
524,5
525,9
526,4
527,9
528,3
529,3
530,2
531,5
532,5
533,5
534,9
535,3
536,5
537,5
538,4
539,9
540,5
541,2
542,4
543,4
544,5
545,4
546,9
547,5
548,5
549,5
550,5
551,2
552,3
553,4
554,5
555,9
556,3
557,2
558,2
559,2
560,2
561,3
562,3
563,4
564,9
565,2
566,2
567,2
568,2
569,9
570,5
571,4
572,9
573,9
574,4
575,9
576,2
577,2
578,9
579,2
580,3
581,5
582,5
583,5
584,9
585,5
586,9
587,9
588,5
589,4
590,9
591,3
592,3
593,2
594,4
595,3
596,2
597,3
598,3
599,9
600,4
601,3
602,4
603,9
604,5
605,3
606,4
607,5
608,2
609,9
610,2
611,9
612,5
613,9
614,2
615,2
616,2
617,5
618,4
619,9
620,3
621,9
622,4
623,2
624,9
625,3
626,2
627,9
628,3
629,5
630,3
631,2
632,2
633,9
634,4
635,4
636,2
637,4
638,9
639,5
640,4
641,4
642,5
643,5
644,9
645,3
646,2
647,4
648,5
649,2
650,2
651,2
652,5
653,9
654,4
655,4
656,5
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,3
666,5
667,5
668,5
669,9
670,5
671,9
672,5
673,3
674,3
675,9
676,4
677,2
678,3
679,9
680,9
681,5
682,5
683,9
684,9
685,4
686,9
687,5
688,5
689,4
690,9
691,5
692,9
693,5
694,3
695,9
696,3
697,4
698,9
699,4
700,3
701,3
702,1
703,5
704,2
705,3
706,4
707,4
708,5
709,5
710,5
711,2
712,2
713,2
714,3
715,2
716,5
717,9
718,3
719,9
720,2
721,4
722,4
723,5
724,4
725,9
726,3
727,5
728,3
729,9
730,9
731,5
732,3
733,5
734,3
735,3
736,4
737,9
738,9
739,2
740,2
741,5
742,3
743,2
744,5
745,9
746,5
747,3
748,5
749,3
750,9
751,2
752,4
753,2
754,4
755,9
756,2
757,5
758,5
759,3
760,2
761,2
762,3
763,3
764,9
765,9
766,9
767,4
768,4
769,9
770,9
771,4
772,3
773,3
774,4
775,2
776,4
777,5
778,4
779,5
780,5
781,3
782,2
783,9
784,4
785,9
786,9
787,4
788,4
789,3
790,4
791,2
792,3
793,5
794,4
795,4
796,2
797,9
798,9
799,9
800,3
801,9
802,2
803,4
804,9
805,3
806,4
807,5
808,5
809,5
810,4
811,5
812,5
813,5
814,5
815,5
816,3
817,9
818,5
819,5
820,5
821,4
822,5
823,5
824,4
825,4
826,2
827,2
828,5
829,9
830,5
831,5
832,5
833,5
834,9
835,9
836,4
837,4
838,4
839,9
840,9
841,9
842,5
843,5
844,5
845,4
846,9
847,5
848,5
849,9
850,3
851,3
852,4
853,5
854,3
855,2
856,2
857,9
858,3
859,3
860,2
861,3
862,4
863,5
864,3
865,5
866,3
867,2
868,2
869,3
870,2
871,4
872,4
873,2
874,4
875,3
876,5
877,4
878,2
879,2
880,3
881,3
882,2
883,4
884,4
885,5
886,4
887,4
888,4
889,9
890,2
891,3
892,4
893,3
894,5
895,4
896,2
897,2
898,2
899,4
900,5
901,5
902,5
903,5
904,4
905,4
906,3
907,4
908,5
909,9
910,4
911,9
912,2
913,5
914,3
915,5
916,5
917,4
918,4
919,5
920,5
921,5
922,4
923,9
924,2
925,4
926,4
927,4
928,2
929,3
930,5
931,5
932,4
933,5
934,5
935,9
936,3
937,5
938,5
939,9
940,9
941,4
942,4
943,3
944,2
945,2
946,3
947,3
948,5
949,4
950,3
951,5
952,2
953,9
954,3
955,2
956,5
957,4
958,9
959,5
960,4
961,2
962,3
963,2
964,5
965,9
966,4
967,3
968,2
969,3
970,3
971,5
972,5
973,2
974,5
975,4
976,5
977,5
978,3
979,5
980,3
981,4
982,2
983,2
984,9
985,5
986,4
987,5
988,5
989,2
990,5
991,5
992,5
993,3
994,9
995,3
996,2
997,2
998,3
999,5
1000,2
1001,3
1002,9
1003,9
1004,3
1005,4
1006,3
1007,5
1008,5
1009,2
1010,2
1011,9
1012,3
1013,4
1014,5
1015,5
1016,5
1017,5
1018,5
1019,3
1020,2
1021,2
1022,9
1023,4
1024,2
1025,3
1026,4
1027,3
1028,2
1029,4
1030,9
1031,4
1032,5
1033,3
1034,5
1035,5
1036,5
1037,3
1038,4
1039,4
1040,4
1041,4
1042,3
1043,3
1044,2
1045,2
1046,4
1047,9
1048,5
1049,5
1050,5
1051,4
1052,3
1053,5
1054,9
1055,5
1056,9
1057,4
1058,9
1059,4
1060,9
1061,9
1062,2
1063,4
1064,2
1065,3
1066,5
1067,4
1068,5
1069,5
1070,2
1071,2
1072,2
1073,5
1074,9
1075,9
1076,5
1077,9
1078,5
1079,2
1080,4
1081,3
1082,5
1083,5
1084,2
1085,3
1086,3
1087,3
1088,3
1089,3
1090,3
1091,3
1092,9
1093,5
1094,5
1095,5
1096,4
1097,2
1098,5
1099,3
1100,3
1101,9
1102,9
1103,3
1104,3
1105,2
1106,4
1107,4
1108,4
1109,4
1110,3
1111,9
1112,4
1113,2
1114,3
1115,9
1116,5
1117,4
1118,3
1119,5
1120,9
1121,3
1122,3
1123,9
1124,9
1125,3
1126,9
1127,3
1128,5
1129,5
1130,3
1131,5
1132,3
1133,5
1134,5
1135,2
1136,5
1137,2
1138,3
1139,9
1140,4
1141,2
1142,3
1143,3
1144,9
1145,4
1146,4
1147,9
1148,9
1149,4
1150,9
1151,2
1152,4
1153,4
1154,3
1155,3
1156,3
1157,2
1158,2
1159,9
1160,3
1161,4
1162,4
1163,4
1164,2
1165,4
1166,9
1167,5
1168,9
1169,4
1170,5
1171,3
1172,4
1173,2
1174,3
1175,4
1176,5
1177,9
1178,3
1179,9
1180,9
1181,5
1182,4
1183,4
1184,3
1185,4
1186,4
1187,9
1188,5
1189,5
1190,5
1191,5
1192,3
1193,3
1194,9
1195,3
1196,2
1197,3
1198,5
1199,5
1200,5
1201,9
1202,5
1203,3
1204,3
1205,9
1206,9
1207,4
1208,9
1209,4
1210,3
1211,4
1212,2
1213,2
1214,3
1215,4
1216,4
1217,2
1218,3
1219,5
1220,5
1221,5
1222,5
1223,5
1224,4
1225,5
1226,2
1227,2
1228,2
1229,2
1230,4
1231,2
1232,9
1233,3
1234,2
1235,3
1236,9
1237,9
1238,3
1239,9
1240,5
1241,5
1242,5
1243,9
1244,5
1245,5
1246,5
1247,4
1248,9
1249,2
1250,2
1251,2
1252,2
1253,4
1254,3
1255,9
1256,5
1257,4
1258,4
1259,5
1260,4
1261,2
1262,5
1263,3
1264,9
1265,9
1266,9
1267,9
1268,2
1269,2
1270,4
1271,4
1272,9
1273,2
1274,3
1275,3
1276,3
1277,2
1278,4
1279,4
1280,9
1281,5
1282,3
1283,4
1284,9
1285,5
1286,4
1287,9
1288,3
1289,5
1290,4
1291,2
1292,9
1293,5
1294,2
1295,4
1296,9
1297,5
1298,4
1299,3
1300,2
1301,5
1302,5
1303,4
1304,5
1305,5
1306,4
1307,4
1308,3
1309,2
1310,4
1311,3
1312,5
1313,9
1314,9
1315,2
1316,5
1317,3
1318,4
1319,5
1320,9
1321,2
1322,5
1323,2
1324,9
1325,4
1326,4
1327,5
1328,3
1329,2
1330,2
1331,9
1332,4
1333,3
1334,9
1335,4
1336,5
1337,5
1338,5
1339,9
1340,5
1341,3
1342,4
1343,2
1344,4
1345,3
1346,4
1347,5
1348,5
1349,5
1350,3
1351,3
1352,9
1353,4
1354,4
1355,5
1356,9
1357,9
1358,2
1359,2
1360,3
1361,3
1362,5
1363,3
1364,5
1365,4
1366,4
1367,2
1368,3
1369,4
1370,5
1371,4
1372,5
1373,3
1374,4
1375,5
1376,3
1377,5
1378,4
1379,5
1380,3
1381,9
1382,4
1383,3
1384,2
1385,4
1386,4
1387,3
1388,2
1389,4
1390,5
1391,4
1392,5
1393,3
1394,4
1395,5
1396,3
1397,2
1398,4
1399,2
1400,5
1401,9
1402,9
1403,5
1404,5
1405,9
1406,5
1407,5
1408,5
1409,5
1410,5
1411,5
1412,5
1413,5
1414,4
1415,4
1416,9
1417,4
1418,5
1419,4
1420,5
1421,5
1422,2
1423,5
1424,4
1425,5
1426,2
1427,3
1428,3
1429,4
1430,5
1431,3
1432,4
1433,5
1434,5
1435,5
1436,9
1437,2
1438,4
1439,5
1440,5
1441,2
1442,3
1443,5
1444,2
1445,4
1446,3
1447,3
1448,5
1449,2
1450,5
1451,2
1452,3
1453,4
1454,5
1455,9
1456,5
1457,5
1458,4
1459,3
1460,9
1461,3
1462,3
1463,5
1464,9
1465,9
1466,4
1467,9
1468,4
1469,2
1470,2
1471,5
1472,9
1473,5
1474,4
1475,4
1476,5
1477,5
1478,4
1479,4
1480,3
1481,9
1482,9
1483,5
1484,4
1485,3
1486,5
1487,9
1488,4
1489,3
1490,2
1491,4
1492,2
1493,9
1494,9
1495,2
1496,2
1497,4
1498,2
1499,3
1500,5
