R,thai
1,2
2,4
3,3
4,2
5,3
6,3
7,3
8,7
9,4
10,7
11,3
12,7
13,3
14,7
15,4
16,3
17,7
18,4
19,7
20,2
21,7
22,2
23,3
24,7
25,3
26,2
27,7
28,7
29,3
30,3
31,7
32,2
33,3
34,3
35,3
36,3
37,3
38,3
39,4
40,2
41,3
42,2
43,7
44,4
45,4
46,7
47,2
48,2
49,7
50,7
51,3
52,4
53,7
54,7
55,2
56,2
57,3
58,7
59,3
60,3
61,3
62,4
63,4
64,7
65,4
66,4
67,2
68,2
69,4
70,7
71,4
72,3
73,2
74,2
75,7
76,2
77,7
78,3
79,4
80,2
81,7
82,4
83,4
84,4
85,2
86,2
87,4
88,2
89,2
90,4
91,2
92,2
93,2
94,2
95,7
96,3
97,2
98,3
99,4
100,4
101,3
102,7
103,3
104,3
105,4
106,7
107,2
108,2
109,7
110,7
111,2
112,2
113,4
114,7
115,3
116,7
117,4
118,4
119,4
120,7
121,3
122,2
123,2
124,7
125,3
126,2
127,3
128,2
129,4
130,4
131,4
132,4
133,4
134,2
135,2
136,2
137,3
138,3
139,2
140,2
141,2
142,2
143,2
144,2
145,2
146,2
147,3
148,2
149,2
150,2
151,3
152,2
153,2
154,7
155,4
156,4
157,4
158,3
159,2
160,3
161,2
162,2
163,2
164,2
165,2
166,7
167,2
168,4
169,4
170,3
171,2
172,2
173,3
174,2
175,2
176,2
177,3
178,3
179,3
180,7
181,2
182,3
183,3
184,2
185,3
186,7
187,7
188,3
189,3
190,3
191,3
192,4
193,2
194,2
195,3
196,2
197,7
198,7
199,4
200,3
201,3
202,3
203,7
204,7
205,7
206,4
207,4
208,2
209,7
210,3
211,2
212,7
213,2
214,3
215,2
216,2
217,2
218,2
219,3
220,2
221,2
222,2
223,2
224,3
225,4
226,7
227,7
228,7
229,3
230,4
231,4
232,4
233,4
234,3
235,2
236,3
237,7
238,4
239,4
240,7
241,4
242,4
243,2
244,4
245,3
246,7
247,3
248,2
249,3
250,4
251,4
252,4
253,7
254,4
255,3
256,4
257,3
258,7
259,4
260,4
261,7
262,4
263,7
264,4
265,2
266,3
267,2
268,2
269,2
270,3
271,2
272,3
273,3
274,4
275,4
276,4
277,4
278,4
279,4
280,4
281,7
282,4
283,4
284,4
285,3
286,7
287,3
288,2
289,7
290,2
291,2
292,7
293,4
294,4
295,7
296,2
297,2
298,2
299,7
300,7
301,7
302,2
303,7
304,7
305,4
306,3
307,7
308,3
309,4
310,3
311,4
312,7
313,7
314,4
315,4
316,4
317,3
318,4
319,4
320,3
321,7
322,7
323,3
324,4
325,7
326,4
327,2
328,2
329,2
330,3
331,2
332,3
333,3
334,2
335,7
336,7
337,3
338,3
339,4
340,7
341,2
342,2
343,4
344,4
345,4
346,4
347,2
348,3
349,2
350,7
351,3
352,2
353,7
354,7
355,4
356,2
357,4
358,4
359,2
360,7
361,2
362,4
363,4
364,7
365,4
366,3
367,4
368,2
369,3
370,3
371,3
372,3
373,4
374,7
375,4
376,7
377,4
378,4
379,3
380,7
381,7
382,3
383,4
384,4
385,7
386,3
387,3
388,4
389,3
390,3
391,3
392,3
393,3
394,4
395,4
396,3
397,3
398,4
399,2
400,4
401,4
402,4
403,4
404,4
405,4
406,7
407,4
408,4
409,4
410,2
411,4
412,4
413,3
414,3
415,3
416,2
417,4
418,4
419,3
420,4
421,3
422,4
423,4
424,4
425,4
426,2
427,2
428,2
429,4
430,7
431,3
432,4
433,4
434,3
435,7
436,4
437,4
438,4
439,4
440,2
441,4
442,3
443,4
444,4
445,4
446,3
447,2
448,3
449,7
450,4
451,3
452,3
453,7
454,2
455,7
456,7
457,2
458,3
459,4
460,4
461,4
462,7
463,2
464,7
465,2
466,2
467,2
468,2
469,7
470,4
471,7
472,7
473,3
474,4
475,7
476,7
477,7
478,4
479,3
480,4
481,3
482,4
483,2
484,2
485,2
486,3
487,4
488,4
489,7
490,2
491,7
492,2
493,3
494,3
495,3
496,4
497,4
498,7
499,4
500,7
501,7
502,4
503,4
504,3
505,2
506,3
507,3
508,4
509,4
510,7
511,7
512,4
513,4
514,4
515,4
516,4
517,2
518,3
519,2
520,3
521,3
522,4
523,4
524,4
525,2
526,4
527,2
528,4
529,4
530,7
531,4
532,4
533,4
534,3
535,4
536,7
537,4
538,4
539,7
540,4
541,7
542,3
543,4
544,4
545,3
546,2
547,4
548,2
549,2
550,2
551,2
552,2
553,3
554,4
555,4
556,4
557,2
558,3
559,4
560,2
561,4
562,3
563,3
564,7
565,4
566,4
567,4
568,2
569,2
570,2
571,4
572,4
573,4
574,4
575,4
576,7
577,4
578,4
579,7
580,4
581,4
582,3
583,2
584,2
585,2
586,3
587,3
588,3
589,4
590,3
591,4
592,4
593,4
594,4
595,7
596,7
597,4
598,4
599,4
600,4
601,4
602,3
603,4
604,2
605,7
606,7
607,2
608,7
609,2
610,2
611,4
612,7
613,4
614,4
615,4
616,4
617,4
618,4
619,3
620,7
621,2
622,3
623,4
624,4
625,7
626,4
627,2
628,7
629,2
630,3
631,3
632,2
633,2
634,2
635,4
636,4
637,4
638,7
639,4
640,4
641,4
642,2
643,4
644,3
645,2
646,4
647,4
648,4
649,4
650,4
651,4
652,2
653,2
654,4
655,4
656,4
657,2
658,4
659,7
660,4
661,4
662,4
663,7
664,7
665,7
666,4
667,4
668,4
669,4
670,3
671,3
672,7
673,4
674,4
675,2
676,3
677,4
678,3
679,2
680,4
681,7
682,4
683,4
684,2
685,3
686,3
687,4
688,4
689,4
690,7
691,4
692,4
693,4
694,4
695,7
696,7
697,2
698,4
699,4
700,4
701,4
702,4
703,3
704,4
705,4
706,3
707,4
708,4
709,3
710,3
711,4
712,4
713,3
714,4
715,7
716,4
717,4
718,4
719,4
720,2
721,4
722,4
723,2
724,4
725,4
726,7
727,2
728,4
729,2
730,3
731,4
732,2
733,4
734,2
735,2
736,4
737,2
738,3
739,7
740,4
741,4
742,4
743,4
744,4
745,2
746,2
747,3
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,7
756,3
757,4
758,4
759,4
760,3
761,4
762,4
763,4
764,3
765,4
766,3
767,4
768,4
769,2
770,2
771,4
772,3
773,4
774,7
775,4
776,4
777,4
778,2
779,2
780,3
781,4
782,7
783,7
784,4
785,4
786,4
787,7
788,3
789,4
790,4
791,7
792,2
793,4
794,3
795,7
796,4
797,2
798,2
799,4
800,4
801,7
802,7
803,2
804,3
805,3
806,2
807,4
808,2
809,4
810,2
811,3
812,2
813,2
814,4
815,2
816,2
817,2
818,4
819,4
820,3
821,7
822,3
823,4
824,4
825,7
826,4
827,4
828,2
829,7
830,2
831,2
832,2
833,2
834,3
835,4
836,2
837,4
838,3
839,3
840,7
841,3
842,3
843,4
844,4
845,4
846,2
847,3
848,3
849,2
850,4
851,4
852,4
853,7
854,3
855,3
856,7
857,7
858,4
859,7
860,4
861,4
862,7
863,4
864,3
865,2
866,2
867,4
868,7
869,3
870,4
871,3
872,4
873,4
874,2
875,4
876,2
877,3
878,4
879,4
880,2
881,3
882,7
883,4
884,3
885,4
886,3
887,4
888,4
889,4
890,4
891,4
892,4
893,7
894,4
895,4
896,7
897,4
898,2
899,3
900,2
901,4
902,2
903,2
904,2
905,2
906,2
907,3
908,3
909,4
910,2
911,3
912,4
913,2
914,4
915,3
916,3
917,3
918,2
919,4
920,4
921,3
922,4
923,4
924,2
925,4
926,2
927,4
928,4
929,3
930,2
931,4
932,3
933,4
934,2
935,2
936,4
937,4
938,4
939,3
940,2
941,3
942,2
943,2
944,4
945,4
