R,dl
1,1
2,1
3,2
4,2
5,2
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,2
15,2
16,2
17,2
18,2
19,1
20,2
21,1
22,2
23,2
24,1
25,2
26,2
27,1
28,2
29,1
30,2
31,2
32,1
33,2
34,3
35,1
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,2
44,2
45,1
46,2
47,2
48,2
49,2
50,1
51,2
52,1
53,2
54,1
55,2
56,1
57,1
58,1
59,3
60,2
61,3
62,1
63,1
64,3
65,1
66,2
67,1
68,1
69,1
70,1
71,2
72,2
73,1
74,2
75,2
76,1
77,2
78,2
79,2
80,1
81,1
82,2
83,1
84,2
85,2
86,2
87,2
88,1
89,1
90,2
91,3
92,1
93,2
94,2
95,2
96,2
97,2
98,1
99,2
100,2
