id,L
1,L1i
2,L2i
3,L3i
4,L4i
5,L5i
6,L6i
7,L7i
8,L8i
9,L9i
10,L10i
11,L11i
12,L12i
13,L13i
14,L14i
15,L15i
16,L16i
17,L17i
18,L18i
19,L19i
20,L20i
21,L21i
22,L22i
23,L23i
24,L24i
25,L25i
26,L26i
27,L27i
28,L28i
29,L29i
30,L30i
31,L31i
32,L32i
33,L33i
34,L34i
35,L35i
36,L36i
37,L37i
38,L38i
39,L39i
40,L40i
41,L41i
42,L42i
43,L43i
44,L44i
45,L45i
46,L46i
47,L47i
48,L48i
49,L49i
50,L50i
51,L51i
52,L52i
53,L53i
54,L54i
55,L55i
56,L56i
57,L57i
58,L58i
59,L59i
60,L60i
61,L61i
62,L62i
63,L63i
64,L64i
65,L65i
66,L66i
67,L67i
68,L68i
69,L69i
70,L70i
71,L71i
72,L72i
73,L73i
74,L74i
75,L75i
76,L76i
77,L77i
78,L78i
79,L79i
80,L80i
81,L81i
82,L82i
83,L83i
84,L84i
85,L85i
86,L86i
87,L87i
88,L88i
89,L89i
90,L90i
91,L91i
92,L92i
93,L93i
94,L94i
95,L95i
96,L96i
97,L97i
98,L98i
99,L99i
100,L100i
