R,indian
1,3
2,4
3,3
4,2
5,7
6,7
7,7
8,2
9,3
10,2
11,7
12,2
13,2
14,7
15,3
16,7
17,3
18,3
19,7
20,2
21,3
22,7
23,2
24,3
25,2
26,3
27,7
28,4
29,2
30,2
31,7
32,7
33,7
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,7
48,2
49,7
50,3
51,2
52,3
53,3
54,7
55,7
56,2
57,7
58,3
59,4
60,7
61,7
62,4
63,2
64,7
65,3
66,7
67,7
68,3
69,4
70,3
71,3
72,3
73,7
74,2
75,2
76,3
77,3
78,7
79,4
80,3
81,3
82,4
83,4
84,4
85,2
86,7
87,4
88,3
89,2
90,7
91,7
92,3
93,3
94,3
95,4
96,3
97,7
98,3
99,3
100,3
101,7
102,7
103,7
104,2
105,3
106,7
107,2
108,2
109,7
110,3
111,7
112,3
113,3
114,7
115,7
116,3
117,4
118,4
119,4
120,7
121,7
122,2
123,2
124,2
125,2
126,2
127,2
128,7
129,2
130,3
131,4
132,4
133,4
134,2
135,4
136,7
137,3
138,3
139,7
140,7
141,7
142,7
143,2
144,7
145,3
146,2
147,4
148,7
149,2
150,4
151,2
152,7
153,3
154,7
155,4
156,2
157,7
158,7
159,7
160,7
161,2
162,7
163,4
164,2
165,2
166,4
167,4
168,4
169,7
170,3
171,4
172,3
173,3
174,3
175,4
176,2
177,7
178,2
179,7
180,2
181,2
182,3
183,2
184,3
185,4
186,3
187,7
188,4
189,3
190,7
191,3
192,4
193,7
194,7
195,3
196,7
197,3
198,3
199,4
200,3
201,7
202,3
203,2
204,4
205,3
206,4
207,4
208,7
209,3
210,2
211,3
212,3
213,2
214,2
215,2
216,3
217,7
218,4
219,2
220,2
221,4
222,2
223,3
224,7
225,3
226,7
227,3
228,3
229,3
230,4
231,7
232,4
233,4
234,3
235,2
236,2
237,3
238,4
239,7
240,4
241,4
242,4
243,7
244,4
245,3
246,2
247,4
248,7
249,7
250,4
251,3
252,4
253,4
254,4
255,7
256,3
257,4
258,4
259,4
260,4
261,7
262,4
263,4
264,3
265,2
266,2
267,2
268,2
269,3
270,7
271,7
272,7
273,4
274,4
275,4
276,4
277,3
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,7
286,4
287,7
288,4
289,4
290,4
291,4
292,3
293,4
294,4
295,3
296,7
297,3
298,3
299,3
300,7
301,7
