R,greek
1,7
2,7
3,7
4,7
5,7
6,7
7,2
8,7
9,7
10,7
11,7
12,1
13,7
14,7
15,2
16,7
17,4
18,4
19,7
20,7
21,7
22,2
23,4
24,7
25,7
26,2
27,7
28,4
29,7
30,7
31,7
32,7
33,4
34,7
35,7
36,4
37,7
38,2
39,7
40,2
41,7
42,2
43,4
44,4
45,4
46,7
47,7
48,4
49,7
50,7
51,2
52,2
53,7
54,7
55,2
56,3
57,2
58,7
59,4
60,7
61,7
62,4
63,4
64,2
65,2
66,4
67,4
68,2
69,4
70,4
71,2
72,7
73,3
74,2
75,7
76,7
77,7
78,7
79,2
80,2
81,7
82,4
83,4
84,4
85,2
86,2
87,2
88,3
89,4
90,4
91,7
92,2
93,4
94,7
95,4
96,2
97,2
98,2
99,2
100,7
101,2
102,7
103,4
104,7
105,4
106,2
107,2
108,7
109,7
110,2
111,2
112,2
113,2
114,7
115,7
116,2
117,4
118,4
119,4
120,2
121,7
122,4
123,2
124,7
125,4
126,2
127,7
128,3
129,7
130,7
131,4
132,2
133,2
134,4
135,4
136,7
137,7
138,2
139,4
140,7
141,4
142,2
143,2
144,7
145,2
146,4
147,4
148,2
149,7
150,4
151,2
152,4
153,4
154,7
155,4
156,7
157,4
158,7
159,2
160,2
161,4
162,2
163,2
164,4
165,4
166,3
167,2
168,7
169,7
170,7
171,4
172,4
173,7
174,4
175,4
176,4
177,4
178,2
179,7
180,7
181,3
182,4
183,2
184,2
185,4
186,7
187,2
188,2
189,2
190,7
191,4
192,4
193,4
194,4
195,2
196,7
197,2
198,7
199,2
200,7
201,2
202,2
203,7
204,3
205,7
206,4
207,4
208,4
209,7
210,7
211,2
212,7
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,2
223,7
224,7
225,7
226,7
227,7
228,2
229,2
230,2
231,2
232,7
233,2
234,4
235,2
236,2
237,7
238,2
239,2
240,4
241,4
242,4
243,7
244,4
245,7
246,7
247,2
248,2
249,7
250,4
251,4
252,4
253,2
254,4
255,4
256,4
257,4
258,4
259,4
260,4
261,2
262,4
263,2
264,7
265,2
266,2
267,2
268,4
269,2
270,7
271,7
272,7
273,4
274,4
275,4
276,4
277,7
278,4
279,4
280,4
281,3
282,4
283,4
284,4
285,4
286,4
287,2
288,4
289,4
290,4
291,4
292,2
293,2
294,4
295,4
296,7
297,2
298,2
299,7
300,7
301,7
302,7
303,7
304,7
305,2
306,7
307,7
308,4
309,4
310,2
311,7
312,2
313,7
314,7
315,4
316,7
317,7
318,4
319,4
320,7
321,2
322,2
323,2
324,4
325,7
326,7
327,4
328,4
329,4
330,4
331,4
332,4
333,4
334,2
