R,russian
1,4
2,3
3,4
4,7
5,2
6,3
7,7
8,4
9,4
10,2
11,7
12,1
13,7
14,2
15,7
16,2
17,4
18,4
19,2
20,2
21,2
22,7
23,4
24,3
25,7
26,3
27,2
28,4
29,2
30,4
31,2
32,7
33,4
34,7
35,2
36,4
37,2
38,3
39,7
40,7
41,3
42,4
43,4
44,4
45,4
46,7
47,2
48,4
49,7
50,2
51,3
52,2
53,2
54,2
55,3
56,3
57,3
58,7
59,4
60,2
61,7
62,4
63,4
64,2
65,2
66,2
67,4
68,2
69,4
70,4
71,3
72,4
73,4
74,4
75,7
76,3
77,3
78,7
79,4
80,4
81,4
82,4
83,4
84,4
85,7
86,2
87,2
88,4
89,3
90,3
91,3
92,7
93,4
94,7
95,4
96,7
97,3
98,7
99,4
100,2
101,3
102,7
103,4
104,7
105,4
106,7
107,7
108,3
109,3
110,3
111,4
112,3
113,4
114,2
115,4
116,2
117,4
118,7
119,4
120,4
121,3
122,3
123,7
124,4
125,7
126,3
127,3
128,3
129,3
130,2
131,2
132,3
133,4
134,4
135,4
136,3
137,7
138,4
139,4
140,3
141,4
142,4
143,4
144,3
145,2
146,4
147,4
148,4
149,4
150,4
151,3
152,4
153,4
154,4
155,2
156,2
157,7
158,4
159,3
160,4
161,4
162,4
163,4
164,4
165,4
166,4
167,4
168,7
169,7
170,2
171,4
172,4
173,7
174,4
175,4
176,4
177,2
178,7
179,7
180,7
181,4
182,4
183,4
184,7
185,4
186,4
187,7
188,4
189,4
190,7
191,4
192,4
193,2
194,2
195,2
196,2
197,4
198,3
199,4
200,2
