R,mexican
1,2
2,2
3,3
4,3
5,3
6,2
7,3
8,4
9,5
10,5
11,3
12,11
13,2
14,4
15,5
16,4
17,4
18,4
19,4
20,3
21,3
22,4
23,3
24,2
25,3
26,11
27,4
28,6
29,4
30,4
31,3
32,5
33,5
34,3
35,3
36,11
37,4
38,2
39,4
40,4
41,2
42,3
43,6
44,6
45,5
46,4
47,5
48,11
49,3
50,4
51,11
52,5
53,4
54,3
55,4
56,2
57,2
58,5
59,2
60,3
61,3
62,2
63,6
64,3
65,5
66,5
67,2
68,3
69,2
70,1
71,2
72,2
73,2
74,2
75,2
76,11
77,4
78,3
79,4
80,3
81,2
82,2
83,5
84,11
85,3
86,5
87,5
88,11
89,11
90,4
91,5
92,5
93,11
94,4
95,6
96,2
97,4
98,5
99,4
100,5
101,5
102,5
103,6
104,3
105,2
106,3
107,2
108,3
109,3
110,2
111,2
112,2
113,6
114,4
115,3
116,5
117,6
118,4
119,6
120,4
121,3
122,11
123,3
124,6
125,5
126,4
127,4
128,3
129,4
130,5
131,5
132,11
133,4
134,5
135,11
136,3
137,3
138,3
139,6
140,2
141,5
142,2
143,4
144,2
145,3
146,11
147,11
148,11
149,5
150,6
151,3
152,6
153,6
154,2
155,5
156,5
157,5
158,4
159,2
160,3
161,5
162,5
163,2
164,5
165,6
166,11
167,11
168,5
169,3
170,5
171,6
172,11
173,4
174,6
175,6
176,5
177,3
178,4
179,2
180,3
181,2
182,4
183,2
184,4
185,5
186,11
187,5
188,11
189,2
190,3
191,5
192,6
193,4
194,2
195,4
196,5
197,2
198,2
199,4
200,4
