R,jamaican
1,5
2,5
3,5
4,2
5,2
6,9
7,2
8,5
9,5
10,2
11,2
12,2
13,9
14,2
15,1
16,9
17,5
18,3
19,9
20,2
21,9
22,2
23,3
24,2
25,9
26,2
27,9
28,5
29,2
30,5
31,2
32,3
33,5
34,2
35,2
36,3
37,3
38,3
39,5
40,9
41,3
42,9
43,4
44,5
45,5
46,3
47,9
48,2
49,2
50,9
51,2
52,3
53,2
54,9
55,3
56,3
57,9
58,3
59,9
60,2
61,9
62,5
63,5
64,2
65,3
66,5
67,2
68,9
69,3
70,4
71,4
72,5
73,2
74,3
75,5
76,3
77,4
78,9
79,2
80,2
81,4
82,5
83,5
84,5
85,3
86,4
87,5
88,9
89,2
90,3
91,5
92,9
93,4
94,2
95,5
96,3
97,9
98,3
99,5
100,5
101,5
102,4
103,5
104,2
105,3
106,3
107,9
108,9
109,3
110,3
111,2
112,5
113,5
114,9
115,4
116,5
117,9
118,3
119,5
120,9
121,3
122,9
123,2
124,5
125,5
126,3
127,9
128,2
129,3
130,3
131,5
132,5
133,5
134,5
135,5
136,9
137,3
138,5
139,5
140,3
141,5
142,2
143,3
144,9
145,2
146,5
147,5
148,5
149,3
150,5
151,2
152,5
153,5
154,3
155,5
156,5
157,5
158,5
159,2
160,9
161,5
162,3
163,9
164,9
165,5
166,5
167,5
168,4
169,5
170,5
171,5
172,5
173,9
174,4
175,3
176,3
177,9
178,5
179,5
180,9
181,2
182,9
183,2
184,5
185,9
186,4
187,4
188,5
189,3
190,9
191,5
192,2
193,2
194,9
195,3
196,9
197,4
198,4
199,5
200,3
