R,chinese
1,3
2,6
3,11
4,3
5,4
6,11
7,3
8,11
9,5
10,3
11,4
12,5
13,11
14,4
15,5
16,3
17,11
18,6
19,11
20,3
21,11
22,2
23,4
24,4
25,4
26,2
27,11
28,6
29,3
30,4
31,4
32,4
33,2
34,11
35,4
36,4
37,4
38,11
39,6
40,2
41,5
42,2
43,5
44,6
45,6
46,11
47,3
48,2
49,11
50,11
51,2
52,4
53,4
54,11
55,3
56,4
57,11
58,5
59,4
60,3
61,4
62,6
63,6
64,3
65,4
66,11
67,3
68,2
69,6
70,5
71,5
72,3
73,4
74,4
75,6
76,11
77,11
78,3
79,11
80,3
81,5
82,6
83,6
84,6
85,2
86,3
87,11
88,2
89,2
90,4
91,3
92,2
93,2
94,2
95,1
96,3
97,2
98,2
99,11
100,4
101,3
102,11
103,4
104,3
105,6
106,4
107,4
108,11
109,11
110,11
111,11
112,2
113,6
114,4
115,3
116,11
117,6
118,11
119,6
120,11
121,4
122,6
123,3
124,6
125,6
126,2
127,4
128,11
129,11
130,4
131,6
132,5
133,6
134,3
135,4
136,3
137,3
138,4
139,2
140,2
141,3
142,4
143,2
144,2
145,3
146,2
147,2
148,3
149,11
150,3
151,3
152,3
153,2
154,6
155,6
156,11
157,6
158,2
159,2
160,4
161,2
162,2
163,4
164,3
165,4
166,6
167,4
168,6
169,11
170,11
171,2
172,2
173,3
174,2
175,2
176,2
177,3
178,4
179,11
180,11
181,11
182,3
183,4
184,3
185,2
186,5
187,11
188,4
189,3
190,3
191,2
192,2
193,3
194,2
195,2
196,3
197,11
198,5
199,6
200,4
