R,cajun_creole
1,3
2,11
3,4
4,3
5,3
6,4
7,2
8,11
9,11
10,3
11,3
12,11
13,3
14,3
15,2
16,4
17,11
18,3
19,3
20,3
21,2
22,3
23,11
24,2
25,2
26,11
27,2
28,2
29,3
30,6
31,2
32,4
33,6
34,2
35,2
36,6
37,3
38,3
39,6
40,4
41,4
42,2
43,6
44,4
45,6
46,2
47,4
48,6
49,4
50,3
51,11
52,2
53,4
54,3
55,2
56,11
57,3
58,3
59,6
60,11
61,3
62,4
63,6
64,2
65,11
66,11
67,11
68,4
69,4
70,11
71,11
72,3
73,11
74,11
75,2
76,4
77,4
78,3
79,2
80,2
81,2
82,11
83,4
84,2
85,2
86,3
87,2
88,6
89,5
90,2
91,4
92,2
93,5
94,3
95,6
96,4
97,3
98,4
99,4
100,6
101,11
102,3
103,4
104,3
105,6
106,4
107,11
108,11
109,3
110,11
111,11
112,11
113,11
114,2
115,3
116,3
117,6
118,4
119,6
120,4
121,3
122,11
123,4
124,6
125,11
126,11
127,4
128,4
129,6
130,2
131,11
132,4
133,6
134,6
135,6
136,2
137,2
138,3
139,6
140,2
141,6
142,11
143,1
144,3
145,11
146,6
147,6
148,6
149,11
150,6
151,2
152,11
153,6
154,4
155,2
156,4
157,3
158,6
159,2
160,2
161,11
162,11
163,2
164,6
165,6
166,11
167,2
168,3
169,4
170,4
171,6
172,6
173,3
174,6
175,6
176,11
177,4
178,3
179,2
180,2
181,4
182,2
183,4
184,3
185,3
186,4
187,3
188,11
189,3
190,2
191,6
192,6
193,6
194,11
195,4
196,4
197,11
198,4
199,6
200,4
