R,irish
1,3
2,5
3,5
4,9
5,2
6,3
7,9
8,5
9,5
10,2
11,2
12,2
13,3
14,2
15,2
16,2
17,5
18,9
19,2
20,9
21,9
22,3
23,5
24,9
25,9
26,3
27,2
28,5
29,2
30,5
31,2
32,9
33,5
34,3
35,2
36,5
37,3
38,5
39,5
40,3
41,4
42,5
43,5
44,9
45,5
46,2
47,2
48,3
49,2
50,2
51,9
52,2
53,2
54,9
55,5
56,5
57,4
58,3
59,5
60,9
61,9
62,5
63,5
64,2
65,2
66,2
67,5
68,5
69,5
70,5
71,2
72,5
73,3
74,4
75,3
76,4
77,3
78,9
79,5
80,5
81,5
82,9
83,9
84,9
85,3
86,9
87,2
88,5
89,4
90,2
91,3
92,9
93,4
94,9
95,5
96,9
97,5
98,3
99,3
100,9
101,5
102,9
103,9
104,9
105,3
106,9
107,5
108,5
109,3
110,3
111,5
112,5
113,9
114,2
115,9
116,2
117,5
118,9
119,5
120,2
121,2
122,4
123,9
124,5
125,5
126,3
127,5
128,3
129,9
130,2
131,9
132,3
133,5
134,5
135,5
136,3
137,3
138,3
139,5
140,3
141,5
142,3
143,3
144,5
145,5
146,5
147,5
148,3
149,3
150,5
151,5
152,5
153,5
154,5
155,5
156,2
157,2
158,3
159,5
160,9
161,5
162,5
163,5
164,2
165,5
166,5
167,5
168,3
169,3
170,9
171,5
172,5
173,2
174,5
175,5
176,3
177,1
178,2
179,3
180,9
181,5
182,9
183,5
184,9
185,5
186,3
187,2
188,5
189,3
190,3
191,9
192,5
193,2
194,2
195,3
196,2
197,4
198,9
199,9
200,2
