R,vietnamese
1,2
2,5
3,5
4,3
5,9
6,3
7,9
8,5
9,5
10,9
11,3
12,4
13,9
14,3
15,5
16,9
17,5
18,5
19,4
20,3
21,3
22,3
23,4
24,9
25,3
26,2
27,4
28,9
29,3
30,9
31,9
32,2
33,9
34,4
35,9
36,9
37,9
38,4
39,5
40,3
41,4
42,3
43,5
44,5
45,5
46,4
47,2
48,2
49,4
50,4
51,9
52,4
53,4
54,4
55,2
56,3
57,3
58,5
59,3
60,2
61,9
62,5
63,5
64,9
65,5
66,5
67,2
68,2
69,5
70,5
71,5
72,2
73,2
74,3
75,5
76,3
77,4
78,3
79,5
80,5
81,5
82,5
83,5
84,5
85,2
86,9
87,3
88,3
89,2
90,5
91,3
92,3
93,2
94,2
95,3
96,4
97,3
98,3
99,5
100,9
101,9
102,4
103,5
104,3
105,5
106,9
107,2
108,9
109,9
110,9
111,2
112,2
113,5
114,4
115,4
116,9
117,5
118,5
119,5
120,5
121,9
122,9
123,3
124,5
125,5
126,2
127,4
128,9
129,5
130,4
131,5
132,5
133,5
134,2
135,2
136,9
137,9
138,9
139,2
140,2
141,2
142,2
143,9
144,3
145,2
146,2
147,2
148,2
149,2
150,1
151,3
152,2
153,2
154,9
155,3
156,5
157,5
158,3
159,9
160,9
161,2
162,3
163,5
164,5
165,5
166,5
167,9
168,5
169,5
170,4
171,5
172,3
173,9
174,2
175,3
176,2
177,3
178,2
179,9
180,4
181,3
182,3
183,3
184,9
185,9
186,4
187,4
188,5
189,3
190,4
191,3
192,3
193,9
194,2
195,2
196,2
197,4
198,4
199,5
200,4
