R,british
1,5
2,5
3,5
4,3
5,2
6,3
7,9
8,5
9,5
10,1
11,9
12,9
13,3
14,9
15,2
16,2
17,2
18,3
19,2
20,9
21,9
22,9
23,5
24,3
25,9
26,4
27,2
28,5
29,9
30,5
31,9
32,9
33,2
34,9
35,2
36,5
37,9
38,4
39,9
40,9
41,3
42,5
43,3
44,2
45,5
46,2
47,2
48,3
49,2
50,2
51,2
52,2
53,2
54,3
55,5
56,5
57,4
58,3
59,9
60,2
61,9
62,5
63,9
64,2
65,2
66,2
67,5
68,2
69,5
70,5
71,2
72,5
73,3
74,5
75,3
76,5
77,3
78,9
79,5
80,5
81,3
82,2
83,5
84,5
85,9
86,2
87,2
88,3
89,3
90,2
91,3
92,9
93,4
94,3
95,5
96,3
97,3
98,9
99,3
100,2
101,5
102,9
103,5
104,3
105,5
106,9
107,3
108,3
109,3
110,5
111,4
112,3
113,5
114,2
115,5
116,2
117,5
118,9
119,5
120,5
121,3
122,9
123,9
124,5
125,9
126,5
127,9
128,9
129,9
130,2
131,2
132,3
133,5
134,9
135,5
136,4
137,3
138,5
139,5
140,5
141,5
142,3
143,3
144,3
145,5
146,5
147,5
148,5
149,3
150,5
151,3
152,5
153,5
154,5
155,5
156,2
157,5
158,5
159,3
160,9
161,5
162,5
163,5
164,5
165,5
166,5
167,5
168,3
169,3
170,2
171,5
172,5
173,2
174,5
175,5
176,3
177,9
178,9
179,5
180,9
181,5
182,5
183,5
184,9
185,2
186,3
187,2
188,5
189,5
190,3
191,5
192,5
193,2
194,5
195,9
196,2
197,5
198,9
199,9
200,2
