R,japanese
1,5
2,5
3,4
4,3
5,9
6,4
7,3
8,5
9,5
10,2
11,3
12,4
13,9
14,9
15,5
16,3
17,5
18,5
19,3
20,2
21,2
22,3
23,3
24,9
25,3
26,2
27,9
28,5
29,2
30,5
31,9
32,3
33,2
34,9
35,9
36,2
37,3
38,9
39,5
40,2
41,4
42,2
43,2
44,3
45,5
46,9
47,2
48,2
49,4
50,9
51,3
52,4
53,3
54,4
55,3
56,9
57,4
58,4
59,3
60,3
61,3
62,5
63,5
64,3
65,9
66,5
67,3
68,2
69,5
70,4
71,5
72,4
73,9
74,4
75,3
76,4
77,9
78,3
79,5
80,9
81,5
82,4
83,5
84,5
85,2
86,2
87,5
88,2
89,2
90,3
91,3
92,3
93,2
94,2
95,3
96,5
97,9
98,2
99,4
100,9
101,9
102,9
103,5
104,9
105,5
106,2
107,9
108,9
109,4
110,2
111,9
112,2
113,5
114,9
115,4
116,9
117,5
118,5
119,5
120,5
121,9
122,3
123,3
124,5
125,5
126,3
127,2
128,3
129,5
130,9
131,9
132,4
133,5
134,5
135,4
136,9
137,9
138,3
139,2
140,2
141,3
142,3
143,3
144,3
145,2
146,9
147,3
148,9
149,4
150,5
151,2
152,3
153,2
154,4
155,5
156,5
157,5
158,1
159,9
160,5
161,2
162,2
163,5
164,5
165,5
166,5
167,4
168,5
169,5
170,3
171,5
172,2
173,2
174,3
175,2
176,4
177,2
178,5
179,4
180,4
181,3
182,2
183,9
184,4
185,9
186,4
187,9
188,5
189,9
190,4
191,9
192,5
193,9
194,2
195,2
196,2
197,5
198,5
199,5
200,3
