R,french
1,3
2,2
3,3
4,4
5,3
6,3
7,11
8,11
9,11
10,3
11,3
12,11
13,3
14,3
15,2
16,3
17,6
18,4
19,3
20,4
21,3
22,4
23,6
24,11
25,3
26,11
27,2
28,2
29,3
30,4
31,3
32,2
33,11
34,4
35,3
36,6
37,3
38,11
39,6
40,11
41,11
42,4
43,6
44,3
45,6
46,2
47,2
48,11
49,3
50,2
51,4
52,2
53,3
54,3
55,4
56,11
57,5
58,2
59,6
60,4
61,2
62,6
63,3
64,3
65,2
66,3
67,4
68,4
69,6
70,6
71,4
72,6
73,11
74,11
75,4
76,3
77,2
78,3
79,4
80,6
81,4
82,11
83,2
84,4
85,4
86,2
87,3
88,11
89,11
90,2
91,2
92,3
93,5
94,11
95,6
96,11
97,6
98,3
99,2
100,2
101,4
102,2
103,3
104,3
105,11
106,2
107,11
108,11
109,3
110,11
111,11
112,11
113,3
114,2
115,2
116,2
117,1
118,2
119,6
120,2
121,2
122,11
123,11
124,6
125,6
126,6
127,4
128,4
129,4
130,2
131,2
132,4
133,6
134,6
135,6
136,3
137,4
138,2
139,6
140,4
141,4
142,4
143,11
144,4
145,3
146,6
147,11
148,6
149,4
150,6
151,11
152,6
153,6
154,11
155,2
156,2
157,6
158,11
159,11
160,4
161,11
162,4
163,11
164,6
165,6
166,11
167,4
168,2
169,2
170,2
171,6
172,6
173,2
174,6
175,6
176,6
177,11
178,3
179,4
180,4
181,4
182,2
183,11
184,3
185,3
186,3
187,2
188,11
189,4
190,4
191,6
192,6
193,4
194,11
195,4
196,3
197,5
198,3
199,4
200,2
