R,southern_us
1,4
2,11
3,3
4,4
5,3
6,4
7,2
8,5
9,11
10,4
11,2
12,11
13,4
14,3
15,3
16,2
17,1
18,2
19,2
20,3
21,2
22,4
23,5
24,2
25,3
26,5
27,2
28,3
29,3
30,4
31,3
32,4
33,6
34,2
35,4
36,5
37,2
38,4
39,6
40,4
41,11
42,3
43,5
44,11
45,6
46,3
47,2
48,5
49,2
50,2
51,3
52,2
53,2
54,4
55,3
56,11
57,3
58,4
59,11
60,2
61,3
62,6
63,6
64,2
65,2
66,3
67,3
68,3
69,11
70,5
71,2
72,4
73,11
74,11
75,11
76,4
77,4
78,3
79,2
80,11
81,11
82,2
83,3
84,4
85,3
86,11
87,2
88,11
89,11
90,2
91,3
92,3
93,5
94,4
95,6
96,5
97,3
98,3
99,11
100,11
101,3
102,3
103,6
104,4
105,4
106,3
107,11
108,11
109,4
110,11
111,11
112,11
113,4
114,2
115,3
116,2
117,4
118,2
119,6
120,2
121,3
122,11
123,4
124,6
125,6
126,5
127,11
128,2
129,11
130,2
131,3
132,4
133,11
134,6
135,11
136,3
137,2
138,2
139,11
140,3
141,6
142,4
143,4
144,4
145,6
146,11
147,5
148,4
149,4
150,6
151,11
152,6
153,6
154,11
155,3
156,3
157,2
158,11
159,4
160,11
161,6
162,11
163,11
164,11
165,6
166,6
167,11
168,11
169,6
170,3
171,6
172,5
173,2
174,5
175,5
176,2
177,3
178,4
179,4
180,2
181,11
182,4
183,4
184,4
185,4
186,4
187,2
188,5
189,3
190,3
191,6
192,6
193,2
194,4
195,5
196,4
197,5
198,3
199,2
200,2
