R,filipino
1,5
2,5
3,9
4,2
5,2
6,9
7,3
8,2
9,5
10,3
11,2
12,9
13,3
14,2
15,5
16,2
17,5
18,5
19,3
20,3
21,3
22,1
23,3
24,3
25,2
26,2
27,3
28,2
29,2
30,5
31,9
32,3
33,9
34,4
35,2
36,4
37,9
38,4
39,5
40,2
41,4
42,2
43,5
44,5
45,5
46,2
47,3
48,2
49,4
50,3
51,9
52,3
53,3
54,9
55,9
56,4
57,9
58,4
59,5
60,2
61,3
62,3
63,5
64,3
65,9
66,5
67,3
68,2
69,5
70,5
71,2
72,5
73,9
74,5
75,5
76,5
77,4
78,9
79,3
80,5
81,4
82,9
83,5
84,5
85,2
86,9
87,3
88,2
89,3
90,5
91,2
92,9
93,3
94,9
95,3
96,9
97,9
98,2
99,9
100,5
101,3
102,4
103,3
104,3
105,5
106,4
107,9
108,4
109,9
110,4
111,9
112,9
113,5
114,9
115,5
116,5
117,5
118,5
119,5
120,5
121,4
122,4
123,9
124,5
125,5
126,9
127,2
128,3
129,5
130,9
131,5
132,4
133,5
134,5
135,9
136,3
137,2
138,9
139,2
140,9
141,5
142,5
143,3
144,3
145,2
146,5
147,2
148,3
149,5
150,5
151,2
152,2
153,2
154,2
155,5
156,5
157,5
158,9
159,3
160,5
161,5
162,2
163,9
164,5
165,5
166,5
167,5
168,5
169,5
170,9
171,5
172,2
173,9
174,2
175,3
176,3
177,2
178,5
179,3
180,9
181,3
182,3
183,9
184,3
185,5
186,4
187,4
188,9
189,4
190,3
191,2
192,3
193,5
194,2
195,2
196,2
197,4
198,9
199,5
200,9
