R,indian
1,11
2,6
3,4
4,3
5,4
6,3
7,4
8,2
9,11
10,2
11,4
12,11
13,2
14,4
15,11
16,4
17,11
18,11
19,3
20,3
21,11
22,3
23,2
24,4
25,3
26,11
27,4
28,6
29,3
30,4
31,3
32,4
33,4
34,2
35,2
36,2
37,2
38,2
39,2
40,2
41,2
42,2
43,1
44,2
45,2
46,2
47,4
48,2
49,3
50,11
51,2
52,4
53,4
54,4
55,4
56,2
57,3
58,11
59,6
60,3
61,3
62,6
63,2
64,4
65,11
66,4
67,4
68,11
69,6
70,5
71,11
72,11
73,3
74,2
75,2
76,11
77,11
78,3
79,6
80,11
81,5
82,6
83,6
84,6
85,2
86,4
87,6
88,5
89,2
90,3
91,3
92,4
93,11
94,11
95,6
96,11
97,3
98,4
99,11
100,11
101,3
102,3
103,4
104,3
105,11
106,3
107,3
108,2
109,3
110,5
111,3
112,11
113,11
114,4
115,3
116,11
117,6
118,6
119,6
120,4
121,4
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,11
131,6
132,6
133,6
134,4
135,6
136,4
137,4
138,11
139,4
140,4
141,4
142,3
143,2
144,3
145,11
146,3
147,6
148,11
149,2
150,6
151,2
152,11
153,5
154,3
155,6
156,3
157,11
158,4
159,3
160,4
161,3
162,4
163,6
164,3
165,3
166,6
167,6
168,6
169,4
170,4
171,6
172,11
173,11
174,5
175,6
176,3
177,4
178,3
179,3
180,2
181,2
182,11
183,2
184,11
185,6
186,5
187,3
188,6
189,11
190,4
191,11
192,6
193,4
194,3
195,5
196,3
197,5
198,11
199,6
200,11
