R,korean
1,9
2,5
3,5
4,2
5,9
6,3
7,2
8,5
9,5
10,9
11,9
12,3
13,4
14,9
15,5
16,9
17,5
18,5
19,4
20,9
21,9
22,9
23,9
24,3
25,9
26,2
27,4
28,5
29,2
30,9
31,2
32,3
33,5
34,3
35,9
36,9
37,3
38,3
39,5
40,9
41,5
42,9
43,5
44,5
45,5
46,4
47,2
48,9
49,4
50,3
51,2
52,5
53,3
54,3
55,9
56,3
57,9
58,4
59,2
60,2
61,2
62,5
63,5
64,9
65,5
66,5
67,5
68,2
69,5
70,3
71,3
72,9
73,3
74,3
75,5
76,5
77,4
78,9
79,5
80,2
81,5
82,5
83,5
84,5
85,2
86,2
87,9
88,2
89,2
90,3
91,9
92,9
93,2
94,2
95,5
96,9
97,2
98,9
99,5
100,2
101,2
102,3
103,5
104,9
105,5
106,3
107,4
108,4
109,4
110,4
111,3
112,2
113,5
114,3
115,3
116,3
117,5
118,3
119,5
120,5
121,3
122,5
123,3
124,5
125,5
126,2
127,2
128,9
129,3
130,5
131,5
132,5
133,5
134,5
135,2
136,3
137,3
138,3
139,2
140,2
141,5
142,3
143,2
144,3
145,2
146,5
147,9
148,5
149,5
150,3
151,2
152,3
153,2
154,3
155,5
156,5
157,5
158,1
159,2
160,9
161,2
162,9
163,9
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,5
172,2
173,2
174,9
175,9
176,9
177,2
178,5
179,5
180,3
181,3
182,2
183,9
184,3
185,5
186,5
187,3
188,5
189,5
190,3
191,5
192,5
193,9
194,2
195,9
196,2
197,5
198,3
199,5
200,9
