R,spanish
1,9
2,3
3,3
4,9
5,3
6,3
7,9
8,2
9,4
10,4
11,2
12,4
13,2
14,2
15,3
16,3
17,4
18,4
19,3
20,9
21,3
22,4
23,4
24,4
25,2
26,4
27,4
28,5
29,3
30,5
31,3
32,3
33,3
34,3
35,3
36,5
37,3
38,4
39,5
40,4
41,3
42,3
43,5
44,5
45,5
46,2
47,3
48,5
49,3
50,3
51,4
52,9
53,4
54,2
55,2
56,9
57,3
58,2
59,3
60,3
61,2
62,1
63,3
64,3
65,9
66,9
67,9
68,3
69,5
70,4
71,4
72,4
73,9
74,3
75,3
76,9
77,2
78,2
79,2
80,2
81,3
82,4
83,9
84,5
85,4
86,3
87,2
88,5
89,4
90,9
91,2
92,9
93,5
94,9
95,5
96,9
97,3
98,9
99,2
100,4
101,2
102,2
103,5
104,2
105,3
106,3
107,9
108,4
109,2
110,9
111,4
112,4
113,4
114,9
115,2
116,2
117,5
118,3
119,5
120,9
121,2
122,9
123,9
124,5
125,4
126,4
127,3
128,9
129,5
130,9
131,9
132,4
133,5
134,5
135,5
136,2
137,3
138,9
139,5
140,9
141,5
142,3
143,3
144,4
145,9
146,5
147,5
148,5
149,2
150,5
151,2
152,5
153,5
154,3
155,5
156,2
157,5
158,4
159,2
160,2
161,5
162,5
163,2
164,5
165,5
166,9
167,9
168,2
169,2
170,2
171,5
172,5
173,9
174,5
175,5
176,5
177,4
178,9
179,2
180,2
181,3
182,2
183,9
184,4
185,9
186,4
187,9
188,9
189,9
190,2
191,5
192,5
193,4
194,5
195,9
196,9
197,4
198,4
199,5
200,2
