R,irish
1,3
2,5
3,5
4,2
5,2
6,3
7,3
8,5
9,5
10,2
11,9
12,1
13,3
14,2
15,2
16,2
17,5
18,3
19,2
20,2
21,3
22,4
23,5
24,9
25,9
26,3
27,2
28,5
29,2
30,5
31,2
32,9
33,5
34,3
35,2
36,5
37,3
38,5
39,5
40,3
41,4
42,5
43,5
44,9
45,5
46,9
47,2
48,4
49,9
50,2
51,9
52,2
53,2
54,2
55,5
56,5
57,4
58,3
59,5
60,3
61,9
62,5
63,5
64,2
65,9
66,2
67,5
68,5
69,5
70,5
71,9
72,5
73,4
74,4
75,3
76,4
77,3
78,9
79,5
80,5
81,5
82,3
83,3
84,3
85,3
86,9
87,9
88,5
89,4
90,9
91,3
92,9
93,4
94,9
95,5
96,9
97,5
98,9
99,3
100,9
