R,chinese
1,3
2,6
3,4
4,3
5,11
6,4
7,3
8,4
9,4
10,3
11,3
12,3
13,4
14,11
15,4
16,3
17,4
18,6
19,4
20,3
21,11
22,2
23,11
24,11
25,11
26,2
27,4
28,6
29,3
30,3
31,11
32,11
33,2
34,4
35,11
36,3
37,11
38,4
39,6
40,2
41,5
42,2
43,5
44,6
45,6
46,4
47,3
48,2
49,4
50,4
51,2
52,11
53,11
54,4
55,3
56,11
57,4
58,5
59,11
60,2
61,11
62,6
63,6
64,3
65,3
66,11
67,2
68,2
69,6
70,5
71,5
72,2
73,11
74,11
75,6
76,4
77,5
78,11
79,4
80,3
81,5
82,6
83,6
84,6
85,3
86,2
87,4
88,2
89,2
90,11
91,3
92,2
93,2
94,2
95,1
96,3
97,2
98,2
99,4
100,3
