R,thai
1,9
2,5
3,3
4,2
5,3
6,9
7,3
8,4
9,5
10,4
11,3
12,2
13,3
14,3
15,5
16,9
17,4
18,5
19,4
20,2
21,4
22,2
23,3
24,3
25,3
26,2
27,4
28,3
29,2
30,9
31,3
32,2
33,3
34,3
35,9
36,3
37,3
38,3
39,5
40,9
41,3
42,2
43,4
44,5
45,5
46,4
47,2
48,2
49,4
50,4
51,9
52,5
53,4
54,9
55,2
56,2
57,9
58,4
59,9
60,9
61,3
62,5
63,5
64,4
65,5
66,5
67,2
68,9
69,5
70,4
71,5
72,9
73,1
74,2
75,4
76,2
77,4
78,3
79,5
80,2
81,4
82,5
83,5
84,5
85,9
86,9
87,5
88,2
89,2
90,5
91,2
92,9
93,9
94,9
95,4
96,3
97,9
98,9
99,5
100,5
