R,moroccan
1,5
2,9
3,5
4,2
5,9
6,9
7,3
8,2
9,3
10,3
11,9
12,2
13,9
14,2
15,3
16,9
17,5
18,5
19,4
20,9
21,3
22,4
23,4
24,4
25,9
26,4
27,9
28,5
29,2
30,9
31,2
32,9
33,3
34,2
35,2
36,5
37,2
38,3
39,5
40,3
41,2
42,2
43,3
44,5
45,9
46,3
47,9
48,3
49,2
50,4
51,1
52,9
53,3
54,2
55,5
56,9
57,4
58,2
59,5
60,3
61,9
62,5
63,2
64,9
65,4
66,2
67,5
68,5
69,5
70,5
71,5
72,5
73,4
74,2
75,2
76,4
77,2
78,9
79,3
80,5
81,4
82,5
83,5
84,5
85,3
86,4
87,5
88,5
89,9
90,5
91,3
92,3
93,5
94,4
95,5
96,3
97,3
98,5
99,9
100,3
