R,japanese
1,5
2,5
3,4
4,2
5,9
6,4
7,9
8,5
9,5
10,2
11,3
12,2
13,3
14,9
15,5
16,2
17,5
18,5
19,9
20,2
21,2
22,3
23,9
24,3
25,3
26,1
27,9
28,5
29,2
30,5
31,3
32,3
33,2
34,3
35,2
36,2
37,9
38,3
39,5
40,2
41,4
42,2
43,9
44,9
45,5
46,3
47,2
48,2
49,4
50,3
51,3
52,4
53,9
54,3
55,3
56,4
57,4
58,4
59,9
60,3
61,9
62,5
63,5
64,9
65,4
66,5
67,9
68,9
69,5
70,4
71,5
72,4
73,4
74,4
75,3
76,4
77,4
78,9
79,5
80,3
81,5
82,4
83,5
84,5
85,9
86,9
87,5
88,2
89,2
90,3
91,9
92,9
93,2
94,2
95,3
96,5
97,4
98,2
99,4
100,3
