R,vietnamese
1,2
2,5
3,5
4,2
5,9
6,9
7,3
8,5
9,5
10,4
11,3
12,2
13,3
14,2
15,5
16,3
17,5
18,5
19,4
20,2
21,9
22,9
23,4
24,3
25,9
26,2
27,3
28,3
29,2
30,9
31,9
32,2
33,3
34,4
35,2
36,3
37,3
38,4
39,5
40,9
41,4
42,9
43,5
44,5
45,5
46,4
47,1
48,2
49,4
50,4
51,3
52,4
53,3
54,3
55,2
56,9
57,9
58,5
59,9
60,9
61,3
62,5
63,5
64,3
65,5
66,5
67,2
68,2
69,5
70,5
71,5
72,9
73,2
74,9
75,5
76,9
77,4
78,2
79,5
80,5
81,5
82,5
83,5
84,5
85,2
86,3
87,3
88,9
89,2
90,5
91,9
92,9
93,2
94,2
95,3
96,4
97,3
98,9
99,5
100,3
